year,fips,percent_high_school_or_above
1995,00000,77.8
1995,01000,71.1
1995,01001,74.3
1995,01003,77.6
1995,01005,60.2
1995,01007,57.5
1995,01009,65.4
1995,01011,54.8
1995,01013,60.3
1995,01015,70.7
1995,01017,59.2
1995,01019,58.5
1995,01021,61.4
1995,01023,59.6
1995,01025,65.6
1995,01027,59.9
1995,01029,56.3
1995,01031,70.2
1995,01033,69.2
1995,01035,60.2
1995,01037,59.8
1995,01039,62.9
1995,01041,55.7
1995,01043,64.6
1995,01045,76
1995,01047,65
1995,01049,58.4
1995,01051,72
1995,01053,64.2
1995,01055,69.1
1995,01057,61.3
1995,01059,58.6
1995,01061,60.5
1995,01063,59.3
1995,01065,59.8
1995,01067,62.6
1995,01069,72.4
1995,01071,62.5
1995,01073,77.3
1995,01075,59
1995,01077,72.2
1995,01079,60.6
1995,01081,77.3
1995,01083,68.8
1995,01085,60.5
1995,01087,66
1995,01089,82.8
1995,01091,66.7
1995,01093,56.6
1995,01095,65.4
1995,01097,73.4
1995,01099,63.6
1995,01101,77.8
1995,01103,72.8
1995,01105,56.7
1995,01107,63
1995,01109,64
1995,01111,56.1
1995,01113,61.8
1995,01115,66.2
1995,01117,82.5
1995,01119,58.6
1995,01121,65.2
1995,01123,63.9
1995,01125,74.2
1995,01127,61.6
1995,01129,65.2
1995,01131,55.3
1995,01133,55.7
1995,02000,87.4
1995,02010,74.5
1995,02013,70.6
1995,02016,82.2
1995,02020,90.3
1995,02050,66.7
1995,02060,89.3
1995,02063,94.7
1995,02066,95.5
1995,02068,92.3
1995,02070,73.2
1995,02090,90.8
1995,02100,83.7
1995,02105,93.1
1995,02110,91.6
1995,02122,87.8
1995,02130,87.5
1995,02150,85.1
1995,02158,62
1995,02160,44.9
1995,02164,66.4
1995,02170,87.9
1995,02180,69.9
1995,02185,73
1995,02188,67.9
1995,02195,90.8
1995,02198,88.8
1995,02201,80.8
1995,02220,88.8
1995,02230,95.1
1995,02231,79.7
1995,02232,84
1995,02240,86.3
1995,02250,48.8
1995,02261,86.2
1995,02275,90.8
1995,02280,83.4
1995,02282,84.4
1995,02290,73.8
1995,04000,79.8
1995,04001,59.2
1995,04003,77.6
1995,04005,81.4
1995,04007,73.2
1995,04009,71.6
1995,04011,78.3
1995,04012,66.2
1995,04013,82
1995,04015,75.2
1995,04017,67.9
1995,04019,82
1995,04021,69.1
1995,04023,59
1995,04025,81.8
1995,04027,65.3
1995,05000,70.8
1995,05001,66.8
1995,05003,67.7
1995,05005,72.7
1995,05007,77.6
1995,05009,72.2
1995,05011,61.3
1995,05013,66
1995,05015,70.1
1995,05017,57.7
1995,05019,70.1
1995,05021,54.2
1995,05023,67.9
1995,05025,66.5
1995,05027,69.2
1995,05029,68.8
1995,05031,72.4
1995,05033,67.7
1995,05035,63.4
1995,05037,62
1995,05039,63
1995,05041,60.8
1995,05043,68.1
1995,05045,77.8
1995,05047,65.6
1995,05049,63.5
1995,05051,74.2
1995,05053,73.1
1995,05055,65.3
1995,05057,65.6
1995,05059,68.9
1995,05061,66.2
1995,05063,69.3
1995,05065,67.2
1995,05067,58.8
1995,05069,70.3
1995,05071,65.4
1995,05073,58.5
1995,05075,58.3
1995,05077,50.2
1995,05079,61.8
1995,05081,69
1995,05083,64
1995,05085,72.3
1995,05087,63.7
1995,05089,70.1
1995,05091,69.1
1995,05093,62.4
1995,05095,58.3
1995,05097,65
1995,05099,64.8
1995,05101,64.2
1995,05103,69.2
1995,05105,67.4
1995,05107,56.9
1995,05109,65
1995,05111,55.5
1995,05113,67.5
1995,05115,72
1995,05117,62.2
1995,05119,81.7
1995,05121,61.8
1995,05123,60.1
1995,05125,77.6
1995,05127,59.6
1995,05129,60.3
1995,05131,74.2
1995,05133,61.8
1995,05135,68.7
1995,05137,63.8
1995,05139,70.2
1995,05141,67.1
1995,05143,76.3
1995,05145,67.8
1995,05147,54.7
1995,05149,60.6
1995,06000,76.5
1995,06001,81.9
1995,06003,87.9
1995,06005,83.2
1995,06007,79.9
1995,06009,83.7
1995,06011,63.5
1995,06013,86.7
1995,06015,71.2
1995,06017,87.5
1995,06019,66.8
1995,06021,67.7
1995,06023,82.7
1995,06025,56.1
1995,06027,82
1995,06029,68
1995,06031,67.2
1995,06033,74.1
1995,06035,76.2
1995,06037,70
1995,06039,64.4
1995,06041,91.6
1995,06043,81.4
1995,06045,79.8
1995,06047,63.5
1995,06049,74.7
1995,06051,87.8
1995,06053,70.7
1995,06055,80.6
1995,06057,88.3
1995,06059,80.3
1995,06061,87.8
1995,06063,85.3
1995,06065,74.6
1995,06067,82.8
1995,06069,71.7
1995,06071,74.8
1995,06073,82.2
1995,06075,79.6
1995,06077,69.9
1995,06079,84.4
1995,06081,84.7
1995,06083,79.6
1995,06085,82.7
1995,06087,82.6
1995,06089,80.8
1995,06091,80.3
1995,06093,80.6
1995,06095,83.2
1995,06097,84.7
1995,06099,69.4
1995,06101,72.7
1995,06103,74
1995,06105,77.6
1995,06107,61
1995,06109,82.2
1995,06111,79.8
1995,06113,79.4
1995,06115,70.2
1995,08000,85.7
1995,08003,79.8
1995,08005,91.1
1995,08007,84.1
1995,08009,75.2
1995,08011,75
1995,08014,86.78
1995,08015,84.8
1995,08017,82.4
1995,08019,92.6
1995,08021,67.9
1995,08023,64.3
1995,08025,73.9
1995,08027,87
1995,08029,76.6
1995,08031,79.1
1995,08033,73.9
1995,08035,95.9
1995,08037,88.2
1995,08039,88.3
1995,08041,89.8
1995,08043,78
1995,08045,85.3
1995,08047,93.6
1995,08049,89.8
1995,08051,92.3
1995,08053,93
1995,08055,71.4
1995,08057,84.2
1995,08061,78
1995,08063,75.2
1995,08065,80.6
1995,08067,88.6
1995,08069,90.4
1995,08071,72.2
1995,08073,78.2
1995,08075,80.7
1995,08077,82.2
1995,08079,88.2
1995,08081,79.8
1995,08083,77.9
1995,08085,77.6
1995,08087,69.5
1995,08089,72.6
1995,08091,90.4
1995,08093,92.2
1995,08095,80.3
1995,08097,95.5
1995,08099,71.1
1995,08101,77.6
1995,08103,84.8
1995,08105,73.9
1995,08107,93.5
1995,08109,68
1995,08111,87.4
1995,08113,93.6
1995,08115,75.1
1995,08117,94.4
1995,08119,93
1995,08121,78.8
1995,08125,79
1995,09000,81.6
1995,09001,82.7
1995,09003,80.1
1995,09005,83.4
1995,09007,85.7
1995,09009,80.2
1995,09011,83.4
1995,09013,87
1995,09015,75.3
1995,10000,80
1995,10001,76.2
1995,10003,83
1995,10005,73.1
1995,11000,75.4
1995,11001,75.4
1995,12000,77.2
1995,12001,85.4
1995,12003,68
1995,12005,77.8
1995,12007,69.6
1995,12009,84.3
1995,12011,79.4
1995,12013,62.5
1995,12015,78.9
1995,12017,73.4
1995,12019,83.8
1995,12021,80.4
1995,12023,71.8
1995,12027,59
1995,12029,61.8
1995,12031,79.8
1995,12033,79.2
1995,12035,82.3
1995,12037,63.9
1995,12039,65.3
1995,12041,67.7
1995,12043,63.6
1995,12045,69.5
1995,12047,60.6
1995,12049,56.4
1995,12051,55.4
1995,12053,74.5
1995,12055,71.3
1995,12057,78.2
1995,12059,61.2
1995,12061,79
1995,12063,65.3
1995,12065,68.7
1995,12067,63.2
1995,12069,75.2
1995,12071,79.6
1995,12073,87
1995,12075,68.3
1995,12077,61.1
1995,12079,62
1995,12081,78.5
1995,12083,73.9
1995,12085,82.5
1995,12086,66.4
1995,12087,82.3
1995,12089,76.1
1995,12091,85.9
1995,12093,62.1
1995,12095,80.3
1995,12097,76.4
1995,12099,81.2
1995,12101,72.2
1995,12103,81
1995,12105,71.4
1995,12107,67.3
1995,12109,83.6
1995,12111,74.7
1995,12113,82
1995,12115,84.2
1995,12117,86.7
1995,12119,70.8
1995,12121,68.5
1995,12123,66
1995,12125,70.1
1995,12127,78.7
1995,12129,75
1995,12131,71.2
1995,12133,66
1995,13000,74.8
1995,13001,62.2
1995,13003,53.9
1995,13005,62.9
1995,13007,59.8
1995,13009,68.7
1995,13011,61
1995,13013,66
1995,13015,65.2
1995,13017,61.3
1995,13019,61.8
1995,13021,72.7
1995,13023,66
1995,13025,68.3
1995,13027,63.1
1995,13029,73.8
1995,13031,72.8
1995,13033,60.1
1995,13035,64.1
1995,13037,58.9
1995,13039,81.4
1995,13043,55
1995,13045,65.8
1995,13047,69.9
1995,13049,60.6
1995,13051,77
1995,13053,88.7
1995,13055,55.2
1995,13057,79.8
1995,13059,79
1995,13061,57.8
1995,13063,78.7
1995,13065,52.5
1995,13067,87.3
1995,13069,61.4
1995,13071,61
1995,13073,84.5
1995,13075,59.9
1995,13077,74.5
1995,13079,63.8
1995,13081,61.1
1995,13083,61.1
1995,13085,69.8
1995,13087,64.8
1995,13089,84.5
1995,13091,61.5
1995,13093,61.6
1995,13095,70.6
1995,13097,76.7
1995,13099,61.2
1995,13101,60.8
1995,13103,72.4
1995,13105,60.8
1995,13107,57
1995,13109,62.1
1995,13111,63.4
1995,13113,89.4
1995,13115,67.7
1995,13117,76.7
1995,13119,60.5
1995,13121,80.9
1995,13123,59.1
1995,13125,58.2
1995,13127,78.2
1995,13129,62.2
1995,13131,62.2
1995,13133,60.6
1995,13135,87
1995,13137,65
1995,13139,67.8
1995,13141,55.9
1995,13143,59.5
1995,13145,72
1995,13147,64
1995,13149,57.5
1995,13151,78.6
1995,13153,81.9
1995,13155,60.4
1995,13157,61.3
1995,13159,67.2
1995,13161,59.2
1995,13163,54.1
1995,13165,56
1995,13167,57.2
1995,13169,74.1
1995,13171,64.7
1995,13173,59.1
1995,13175,65.7
1995,13177,75.6
1995,13179,84.4
1995,13181,65.1
1995,13183,69
1995,13185,73.8
1995,13187,66.1
1995,13189,61.4
1995,13191,64
1995,13193,58.5
1995,13195,65.2
1995,13197,60
1995,13199,58.7
1995,13201,63.2
1995,13205,60.1
1995,13207,72
1995,13209,64.4
1995,13211,66.8
1995,13213,56.6
1995,13215,75.2
1995,13217,67.2
1995,13219,81.9
1995,13221,66.9
1995,13223,72.4
1995,13225,70.4
1995,13227,63.5
1995,13229,64.9
1995,13231,70.1
1995,13233,57.5
1995,13235,67
1995,13237,68.7
1995,13239,53.6
1995,13241,69.1
1995,13243,55.8
1995,13245,74.4
1995,13247,80.1
1995,13249,63.2
1995,13251,62.9
1995,13253,60.3
1995,13255,63.9
1995,13257,65.6
1995,13259,57.3
1995,13261,66.3
1995,13263,60.5
1995,13265,52.4
1995,13267,61.8
1995,13269,57.4
1995,13271,57.9
1995,13273,58.5
1995,13275,68.4
1995,13277,64.6
1995,13279,63.1
1995,13281,66.7
1995,13283,57.2
1995,13285,66.9
1995,13287,61.5
1995,13289,55.8
1995,13291,66.4
1995,13293,60.7
1995,13295,62.5
1995,13297,65.7
1995,13299,65.7
1995,13301,50
1995,13303,63.2
1995,13305,66.5
1995,13307,55.8
1995,13309,62.3
1995,13311,69.4
1995,13313,61.4
1995,13315,60.5
1995,13317,60.8
1995,13319,66.2
1995,13321,63.2
1995,15000,82.3
1995,15001,81.2
1995,15003,83
1995,15005,45.5
1995,15007,78.2
1995,15009,80.2
1995,16000,82.2
1995,16001,89
1995,16003,78
1995,16005,85.2
1995,16007,82.7
1995,16009,77
1995,16011,78.7
1995,16013,91
1995,16015,83.2
1995,16017,81.9
1995,16019,85.9
1995,16021,77.3
1995,16023,81.5
1995,16025,85.1
1995,16027,73.5
1995,16029,85.4
1995,16031,74.8
1995,16033,69.3
1995,16035,76.8
1995,16037,83.1
1995,16039,85.2
1995,16041,85.2
1995,16043,78
1995,16045,74.8
1995,16047,72.6
1995,16049,79
1995,16051,81
1995,16053,73.8
1995,16055,84.2
1995,16057,88.8
1995,16059,78.2
1995,16061,81.5
1995,16063,78.6
1995,16065,88
1995,16067,71.1
1995,16069,82.7
1995,16071,82.6
1995,16073,64.8
1995,16075,71
1995,16077,73.4
1995,16079,74
1995,16081,83.8
1995,16083,78.3
1995,16085,86.3
1995,16087,74.7
1995,17000,78.8
1995,17001,79.4
1995,17003,63.4
1995,17005,71
1995,17007,78.2
1995,17009,66.1
1995,17011,80.3
1995,17013,71.3
1995,17015,79.7
1995,17017,76.2
1995,17019,89.2
1995,17021,77
1995,17023,75.7
1995,17025,70.8
1995,17027,72.3
1995,17029,79.5
1995,17031,75.6
1995,17033,77.7
1995,17035,76.2
1995,17037,85.7
1995,17039,79
1995,17041,76.7
1995,17043,89.3
1995,17045,77.4
1995,17047,76
1995,17049,79.2
1995,17051,70.5
1995,17053,81.6
1995,17055,71.7
1995,17057,76
1995,17059,66
1995,17061,74
1995,17063,83
1995,17065,67.2
1995,17067,81.6
1995,17069,63.9
1995,17071,77.8
1995,17073,80.8
1995,17075,76.8
1995,17077,82
1995,17079,76.2
1995,17081,73.4
1995,17083,77.2
1995,17085,78.8
1995,17087,66.7
1995,17089,79
1995,17091,76.4
1995,17093,86.8
1995,17095,79.2
1995,17097,85.7
1995,17099,77.2
1995,17101,75.2
1995,17103,78.2
1995,17105,76.1
1995,17107,78.2
1995,17109,83.6
1995,17111,86.8
1995,17113,87.7
1995,17115,79.7
1995,17117,77.4
1995,17119,80
1995,17121,74.6
1995,17123,81.4
1995,17125,76.2
1995,17127,70.9
1995,17129,82.8
1995,17131,81.2
1995,17133,81.6
1995,17135,74.7
1995,17137,77.9
1995,17139,74.6
1995,17141,80.3
1995,17143,80.8
1995,17145,70
1995,17147,85.8
1995,17149,74.8
1995,17151,70.5
1995,17153,65.2
1995,17155,79.8
1995,17157,67.8
1995,17159,78.4
1995,17161,80
1995,17163,76.8
1995,17165,69.7
1995,17167,84.9
1995,17169,76.5
1995,17171,78.3
1995,17173,77.8
1995,17175,80.2
1995,17177,80.4
1995,17179,81.8
1995,17181,69.5
1995,17183,75.8
1995,17185,78.6
1995,17187,79.3
1995,17189,72.4
1995,17191,69.2
1995,17193,70.4
1995,17195,76.6
1995,17197,83.7
1995,17199,75.8
1995,17201,78.8
1995,17203,83.9
1995,18000,78.8
1995,18001,77.2
1995,18003,83.4
1995,18005,80.3
1995,18007,81.7
1995,18009,77.2
1995,18011,85.4
1995,18013,80
1995,18015,79.7
1995,18017,78.8
1995,18019,76.3
1995,18021,79.1
1995,18023,78.2
1995,18025,65.1
1995,18027,69
1995,18029,77.8
1995,18031,75.7
1995,18033,81.1
1995,18035,78
1995,18037,76.2
1995,18039,74.2
1995,18041,68.8
1995,18043,77.8
1995,18045,76.8
1995,18047,70.7
1995,18049,77.8
1995,18051,76.8
1995,18053,75.5
1995,18055,75.4
1995,18057,91.4
1995,18059,83.9
1995,18061,75.7
1995,18063,86.3
1995,18065,75.5
1995,18067,80.9
1995,18069,81.8
1995,18071,74.6
1995,18073,79
1995,18075,73.7
1995,18077,75.7
1995,18079,70.2
1995,18081,83.1
1995,18083,78.1
1995,18085,79.6
1995,18087,58.5
1995,18089,77.1
1995,18091,77.2
1995,18093,73.6
1995,18095,76.8
1995,18097,79.2
1995,18099,76.9
1995,18101,69.3
1995,18103,79.2
1995,18105,85.3
1995,18107,82.8
1995,18109,77.2
1995,18111,75.6
1995,18113,74.7
1995,18115,73.1
1995,18117,69.3
1995,18119,70.6
1995,18121,78.6
1995,18123,70.1
1995,18125,70.6
1995,18127,85.3
1995,18129,80.3
1995,18131,75.8
1995,18133,78.7
1995,18135,75.8
1995,18137,73.8
1995,18139,76.6
1995,18141,79.2
1995,18143,65.7
1995,18145,76.9
1995,18147,76.6
1995,18149,66
