year,fips,percent_high_school_or_above
2010,00000,84.9
2010,01000,81.3
2010,01001,85.8
2010,01003,87.4
2010,01005,71.7
2010,01007,74.7
2010,01009,72.9
2010,01011,71
2010,01013,74.1
2010,01015,77.5
2010,01017,73.3
2010,01019,72.6
2010,01021,74
2010,01023,72.8
2010,01025,77.4
2010,01027,72.2
2010,01029,72.1
2010,01031,79.6
2010,01033,80.1
2010,01035,72.2
2010,01037,75.2
2010,01039,75.9
2010,01041,74.6
2010,01043,76
2010,01045,82.6
2010,01047,75.7
2010,01049,69.7
2010,01051,84.2
2010,01053,73.2
2010,01055,81
2010,01057,73.8
2010,01059,70.7
2010,01061,73.8
2010,01063,72.3
2010,01065,70.5
2010,01067,75.5
2010,01069,82.3
2010,01071,73.7
2010,01073,86.2
2010,01075,75.3
2010,01077,82.3
2010,01079,76.6
2010,01081,85.1
2010,01083,79.9
2010,01085,73.4
2010,01087,78.1
2010,01089,88.6
2010,01091,80.1
2010,01093,68.7
2010,01095,74
2010,01097,82.3
2010,01099,74.7
2010,01101,84.2
2010,01103,81.4
2010,01105,70.9
2010,01107,76.3
2010,01109,78.9
2010,01111,70.4
2010,01113,76.4
2010,01115,79.1
2010,01117,91
2010,01119,74.4
2010,01121,76
2010,01123,76.9
2010,01125,84.7
2010,01127,75.2
2010,01129,79.9
2010,01131,71.2
2010,01133,70.1
2010,02000,91.1
2010,02010,71.8
2010,02013,79.5
2010,02016,78.9
2010,02020,91.9
2010,02050,78.5
2010,02060,91
2010,02063,95.2
2010,02066,95.4
2010,02068,90.9
2010,02070,81.9
2010,02090,92.9
2010,02100,94.4
2010,02105,90.3
2010,02110,95.7
2010,02122,92
2010,02130,92.7
2010,02150,90.7
2010,02158,73.8
2010,02160,50
2010,02164,85.2
2010,02170,91.9
2010,02180,83
2010,02185,82.4
2010,02188,78.8
2010,02195,94.4
2010,02198,88.6
2010,02201,74.5
2010,02220,92.7
2010,02230,95
2010,02231,81
2010,02232,74.2
2010,02240,91.3
2010,02250,54.6
2010,02261,91.3
2010,02275,90.4
2010,02280,85.5
2010,02282,92.9
2010,02290,79.2
2010,04000,84.8
2010,04001,72.2
2010,04003,84.5
2010,04005,86.5
2010,04007,83.6
2010,04009,82
2010,04011,86
2010,04012,74.8
2010,04013,85.5
2010,04015,83.3
2010,04017,79.6
2010,04019,86.7
2010,04021,83.4
2010,04023,70.2
2010,04025,89.3
2010,04027,71.3
2010,05000,82
2010,05001,80
2010,05003,80.8
2010,05005,84.6
