year,fips,percent_high_school_or_above
2007,00000,83.6
2007,01000,79.5
2007,01001,83.7
2007,01003,85.8
2007,01005,69.6
2007,01007,71.3
2007,01009,72.2
2007,01011,67.8
2007,01013,72.2
2007,01015,76.4
2007,01017,70.6
2007,01019,69.9
2007,01021,71.7
2007,01023,70.5
2007,01025,75.4
2007,01027,70.3
2007,01029,69.3
2007,01031,77.7
2007,01033,78.1
2007,01035,70.9
2007,01037,72.4
2007,01039,73.6
2007,01041,70.3
2007,01043,74.3
2007,01045,81.2
2007,01047,74.1
2007,01049,67.9
2007,01051,82.2
2007,01053,71.8
2007,01055,78.9
2007,01057,71.5
2007,01059,68.1
2007,01061,71.3
2007,01063,70
2007,01065,68.9
2007,01067,72.9
2007,01069,80.6
2007,01071,71.7
2007,01073,84.6
2007,01075,72.2
2007,01077,80.5
2007,01079,73.3
2007,01081,84
2007,01083,78.3
2007,01085,70.7
2007,01087,75.7
2007,01089,87.6
2007,01091,77.6
2007,01093,67
2007,01095,72.6
2007,01097,80.6
2007,01099,72.7
2007,01101,83
2007,01103,79.9
2007,01105,68.3
2007,01107,74.3
2007,01109,76
2007,01111,67.8
2007,01113,73.4
2007,01115,76.8
2007,01117,89.7
2007,01119,71.5
2007,01121,74.1
2007,01123,74.9
2007,01125,82.9
2007,01127,72.8
2007,01129,77.6
2007,01131,67.7
2007,01133,67.9
2007,02000,90.3
2007,02010,72.4
2007,02013,78.1
2007,02016,78.8
2007,02020,91.4
2007,02050,76.2
2007,02060,90.4
2007,02063,95.1
2007,02066,95.5
2007,02068,91.1
2007,02070,80.3
2007,02090,92.6
2007,02100,92.8
2007,02105,90.9
2007,02110,94.9
2007,02122,91
2007,02130,91.8
2007,02150,89.1
2007,02158,71.6
2007,02160,49
2007,02164,81.3
2007,02170,90.8
2007,02180,80.5
2007,02185,80.9
2007,02188,76.8
2007,02195,93.6
2007,02198,88.7
2007,02201,77.4
2007,02220,92.1
2007,02230,95
2007,02231,80.7
2007,02232,77.2
2007,02240,90
2007,02250,53.4
2007,02261,90.5
2007,02275,90.5
2007,02280,85.6
2007,02282,90.3
2007,02290,77.7
2007,04000,83.7
2007,04001,69.6
2007,04003,83
2007,04005,85.7
2007,04007,82
2007,04009,80.1
2007,04011,85
2007,04012,73.2
2007,04013,84.6
2007,04015,81.6
2007,04017,77.1
2007,04019,85.7
2007,04021,80.2
2007,04023,67.4
2007,04025,87.9
2007,04027,69.7
2007,05000,80
2007,05001,77.7
2007,05003,78.3
2007,05005,82.5
2007,05007,83.3
2007,05009,81.8
2007,05011,71.2
2007,05013,75.6
2007,05015,77.3
2007,05017,68.3
2007,05019,80.9
2007,05021,69.4
2007,05023,79.1
2007,05025,81
2007,05027,80.7
2007,05029,79
2007,05031,81.6
2007,05033,76.2
2007,05035,74.3
2007,05037,74.3
2007,05039,75.2
2007,05041,71.7
2007,05043,78.7
2007,05045,86
2007,05047,79.1
2007,05049,77.8
2007,05051,82.6
2007,05053,81.5
2007,05055,78.5
2007,05057,76.4
2007,05059,78.3
2007,05061,74.8
2007,05063,79.3
2007,05065,77.6
2007,05067,71.9
2007,05069,79.8
2007,05071,73.2
2007,05073,73.1
2007,05075,71.3
2007,05077,64.2
2007,05079,68.8
2007,05081,78.9
2007,05083,75.1
2007,05085,82.7
2007,05087,72.6
2007,05089,81.6
2007,05091,79.8
2007,05093,71.7
2007,05095,68.7
2007,05097,77.1
2007,05099,73.7
2007,05101,76.3
2007,05103,79.7
2007,05105,78.7
2007,05107,69
2007,05109,75.2
2007,05111,68.9
2007,05113,78.3
2007,05115,80.5
