year,fips,percent_high_school_or_above
2003,00000,81.8
2003,01000,77.1
2003,01001,80.8
2003,01003,83.6
2003,01005,66.8
2003,01007,66.7
2003,01009,71.2
2003,01011,63.6
2003,01013,69.7
2003,01015,75
2003,01017,66.9
2003,01019,66.2
2003,01021,68.5
2003,01023,67.3
2003,01025,72.8
2003,01027,67.9
2003,01029,65.7
2003,01031,75.1
2003,01033,75.3
2003,01035,69.1
2003,01037,68.6
2003,01039,70.6
2003,01041,64.5
2003,01043,72.1
2003,01045,79.2
2003,01047,71.9
2003,01049,65.6
2003,01051,79.6
2003,01053,69.9
2003,01055,76.2
2003,01057,68.4
2003,01059,64.7
2003,01061,68.1
2003,01063,67
2003,01065,66.8
2003,01067,69.3
2003,01069,78.2
2003,01071,69
2003,01073,82.5
2003,01075,68.2
2003,01077,78.2
2003,01079,68.9
2003,01081,82.5
2003,01083,76.1
2003,01085,67
2003,01087,72.4
2003,01089,86.4
2003,01091,74.4
2003,01093,64.8
2003,01095,70.8
2003,01097,78.4
2003,01099,69.9
2003,01101,81.5
2003,01103,77.8
2003,01105,64.9
2003,01107,71.7
2003,01109,72
2003,01111,64.4
2003,01113,69.5
2003,01115,73.6
2003,01117,88.1
2003,01119,67.7
2003,01121,71.6
2003,01123,72.1
2003,01125,80.6
2003,01127,69.6
2003,01129,74.6
2003,01131,63
2003,01133,64.9
2003,02000,89.1
2003,02010,73.1
2003,02013,76.1
2003,02016,78.6
2003,02020,90.8
2003,02050,73.2
2003,02060,89.5
2003,02063,95
2003,02066,95.5
2003,02068,91.5
2003,02070,78.2
2003,02090,92.1
2003,02100,90.6
2003,02105,91.6
2003,02110,93.9
2003,02122,89.6
2003,02130,90.5
2003,02150,87
2003,02158,68.6
2003,02160,47.6
2003,02164,76.1
2003,02170,89.2
2003,02180,77.3
2003,02185,78.9
2003,02188,74
2003,02195,92.7
2003,02198,88.7
2003,02201,81.2
2003,02220,91.2
2003,02230,95
2003,02231,80.4
2003,02232,81.3
2003,02240,88.2
2003,02250,51.9
2003,02261,89.3
2003,02275,90.6
2003,02280,85.7
2003,02282,86.9
2003,02290,75.8
2003,04000,82.1
2003,04001,66.2
2003,04003,81
2003,04005,84.6
2003,04007,79.8
2003,04009,77.5
2003,04011,83.6
2003,04012,71
2003,04013,83.4
2003,04015,79.2
2003,04017,73.7
2003,04019,84.4
2003,04021,75.9
2003,04023,63.6
2003,04025,86.1
2003,04027,67.5
2003,05000,77.3
2003,05001,74.7
2003,05003,75
2003,05005,79.6
2003,05007,81.7
2003,05009,79
2003,05011,68.6
2003,05013,71.7
2003,05015,74.1
2003,05017,66
2003,05019,77.7
2003,05021,64.4
2003,05023,76.6
2003,05025,76.5
2003,05027,76.9
2003,05029,75.7
2003,05031,79.2
2003,05033,73.5
2003,05035,71.4
2003,05037,70.9
2003,05039,70.4
2003,05041,67.9
2003,05043,75.5
2003,05045,84.5
2003,05047,74.5
2003,05049,74.6
2003,05051,80.2
2003,05053,79.1
2003,05055,74.9
2003,05057,72.3
2003,05059,75.5
2003,05061,72.4
2003,05063,77.1
2003,05065,75.2
2003,05067,68.5
2003,05069,76.9
2003,05071,70
2003,05073,68.7
2003,05075,66.7
2003,05077,59.6
2003,05079,66.6
2003,05081,75.8
2003,05083,72.1
2003,05085,79.8
2003,05087,69.8
2003,05089,78.4
2003,05091,76.7
2003,05093,67.7
2003,05095,65.9
2003,05097,72.9
2003,05099,71.1
2003,05101,72.8
2003,05103,76.1
2003,05105,75.9
2003,05107,65.1
2003,05109,71.5
2003,05111,64.9
2003,05113,75.1
2003,05115,78.7
2003,05117,70.5
2003,05119,85.6
2003,05121,72.1
2003,05123,67.6
2003,05125,84
2003,05127,68.3
2003,05129,69.3
2003,05131,78.1
2003,05133,66.1
2003,05135,75.7
2003,05137,71.1
2003,05139,76.4
2003,05141,74.2
2003,05143,80.2
2003,05145,75.5
2003,05147,64
2003,05149,65.9
2003,06000,77.9
2003,06001,83.4
2003,06003,89.3
2003,06005,84.9
2003,06007,83.3
2003,06009,87.5
2003,06011,65.8
2003,06013,87.3
2003,06015,73.4
2003,06017,90.2
2003,06019,68.9
2003,06021,70
2003,06023,86.3
2003,06025,60.2
2003,06027,84.1
2003,06029,69.2
2003,06031,69.3
2003,06033,80
2003,06035,79.7
2003,06037,71.6
2003,06039,66.1
2003,06041,91.4
2003,06043,86.1
2003,06045,81.6
2003,06047,64.6
2003,06049,78.7
2003,06051,87.5
2003,06053,69
2003,06055,81
