year,fips,percent_high_school_or_above
2004,00000,82.2
2004,01000,77.7
2004,01001,81.5
2004,01003,84.1
2004,01005,67.5
2004,01007,67.8
2004,01009,71.4
2004,01011,64.7
2004,01013,70.3
2004,01015,75.4
2004,01017,67.8
2004,01019,67.1
2004,01021,69.3
2004,01023,68.1
2004,01025,73.5
2004,01027,68.5
2004,01029,66.6
2004,01031,75.7
2004,01033,76
2004,01035,69.5
2004,01037,69.5
2004,01039,71.4
2004,01041,65.9
2004,01043,72.7
2004,01045,79.7
2004,01047,72.4
2004,01049,66.2
2004,01051,80.3
2004,01053,70.4
2004,01055,76.9
2004,01057,69.2
2004,01059,65.6
2004,01061,68.9
2004,01063,67.8
2004,01065,67.3
2004,01067,70.2
2004,01069,78.8
2004,01071,69.7
2004,01073,83
2004,01075,69.2
2004,01077,78.8
2004,01079,70
2004,01081,82.9
2004,01083,76.6
2004,01085,67.9
2004,01087,73.2
2004,01089,86.7
2004,01091,75.2
2004,01093,65.4
2004,01095,71.3
2004,01097,79
2004,01099,70.6
2004,01101,81.9
2004,01103,78.3
2004,01105,65.8
2004,01107,72.4
2004,01109,73
2004,01111,65.3
2004,01113,70.5
2004,01115,74.4
2004,01117,88.5
2004,01119,68.7
2004,01121,72.2
2004,01123,72.8
2004,01125,81.2
2004,01127,70.4
2004,01129,75.4
2004,01131,64.2
2004,01133,65.6
2004,02000,89.4
2004,02010,72.9
2004,02013,76.6
2004,02016,78.6
2004,02020,91
2004,02050,74
2004,02060,89.7
2004,02063,95
2004,02066,95.5
2004,02068,91.4
2004,02070,78.7
2004,02090,92.2
2004,02100,91.1
2004,02105,91.4
2004,02110,94.2
2004,02122,89.9
2004,02130,90.8
2004,02150,87.5
2004,02158,69.3
2004,02160,48
2004,02164,77.4
2004,02170,89.6
2004,02180,78.1
2004,02185,79.4
2004,02188,74.7
2004,02195,92.9
2004,02198,88.7
2004,02201,80.3
2004,02220,91.4
2004,02230,95
2004,02231,80.5
2004,02232,80.3
2004,02240,88.6
2004,02250,52.3
2004,02261,89.6
2004,02275,90.6
2004,02280,85.7
2004,02282,87.8
2004,02290,76.3
2004,04000,82.5
2004,04001,67.1
2004,04003,81.5
2004,04005,84.9
2004,04007,80.3
2004,04009,78.1
2004,04011,83.9
2004,04012,71.5
2004,04013,83.7
2004,04015,79.8
2004,04017,74.5
2004,04019,84.7
2004,04021,77
2004,04023,64.5
2004,04025,86.6
2004,04027,68
2004,05000,78
2004,05001,75.5
2004,05003,75.8
2004,05005,80.3
2004,05007,82.1
2004,05009,79.7
2004,05011,69.2
2004,05013,72.7
2004,05015,74.9
2004,05017,66.6
2004,05019,78.5
2004,05021,65.7
2004,05023,77.2
2004,05025,77.6
2004,05027,77.8
2004,05029,76.5
2004,05031,79.8
2004,05033,74.2
2004,05035,72.1
2004,05037,71.8
2004,05039,71.6
2004,05041,68.8
2004,05043,76.3
2004,05045,84.9
2004,05047,75.7
2004,05049,75.4
2004,05051,80.8
2004,05053,79.7
2004,05055,75.8
2004,05057,73.3
2004,05059,76.2
2004,05061,73
2004,05063,77.7
2004,05065,75.8
2004,05067,69.4
2004,05069,77.6
2004,05071,70.8
2004,05073,69.8
2004,05075,67.8
2004,05077,60.7
2004,05079,67.1
2004,05081,76.6
2004,05083,72.9
2004,05085,80.5
2004,05087,70.5
2004,05089,79.2
2004,05091,77.5
2004,05093,68.7
2004,05095,66.6
2004,05097,74
2004,05099,71.8
2004,05101,73.7
2004,05103,77
2004,05105,76.6
2004,05107,66.1
2004,05109,72.4
2004,05111,65.9
2004,05113,75.9
2004,05115,79.1
2004,05117,71.3
2004,05119,86
2004,05121,73.1
2004,05123,68.4
2004,05125,84.6
2004,05127,69.3
2004,05129,69.8
2004,05131,78.6
2004,05133,66.6
2004,05135,76.6
2004,05137,72.1
2004,05139,77.1
2004,05141,75.1
2004,05143,80.4
2004,05145,76.4
2004,05147,65.1
2004,05149,66.5
2004,06000,78.3
2004,06001,83.7
2004,06003,89.6
2004,06005,85.2
2004,06007,83.7
2004,06009,88.1
2004,06011,66.4
2004,06013,87.5
2004,06015,74
2004,06017,90.5
2004,06019,69.4
2004,06021,70.5
2004,06023,86.8
2004,06025,60.6
2004,06027,84.7
2004,06029,69.5
2004,06031,69.5
2004,06033,80.9
2004,06035,79.7
2004,06037,72.2
2004,06039,66.3
2004,06041,91.5
2004,06043,86.4
2004,06045,81.8
2004,06047,64.9
2004,06049,79.3
2004,06051,87.3
2004,06053,69.2
2004,06055,81.2
2004,06057,92
2004,06059,80.9
2004,06061,91.6
2004,06063,89
2004,06065,76.6
2004,06067,84
2004,06069,75
2004,06071,75.5
2004,06073,83.6
2004,06075,82.8
2004,06077,73.2
2004,06079,86.8
2004,06081,86.4
2004,06083,79.6
2004,06085,84.5
2004,06087,83.5
2004,06089,84.9
2004,06091,86.3
2004,06093,85.6
2004,06095,84.7
2004,06097,85.4
2004,06099,72.3
2004,06101,74.9
2004,06103,77.4
2004,06105,84.4
2004,06107,63.9
2004,06109,85.8
2004,06111,81
2004,06113,81.4
2004,06115,74.2
2004,08000,87.9
2004,08003,84.2
2004,08005,90.7
2004,08007,89
2004,08009,81.1
2004,08011,77.6
2004,08014,88.36
2004,08015,89.3
2004,08017,84.1
2004,08019,94.5
2004,08021,75.7
2004,08023,71
2004,08025,74.4
2004,08027,91.8
2004,08029,82.6
2004,08031,81
2004,08033,80.4
2004,08035,97.2
2004,08037,87
2004,08039,94.1
2004,08041,91.8
2004,08043,81.7
2004,08045,85.4
2004,08047,94.1
2004,08049,93
2004,08051,93.6
2004,08053,93.8
2004,08055,79.8
2004,08057,87.6
2004,08061,88.1
2004,08063,79.5
2004,08065,80
2004,08067,92.3
2004,08069,92.9
2004,08071,79.3
2004,08073,81.1
2004,08075,84.2
2004,08077,86.7
2004,08079,93.8
2004,08081,82.1
2004,08083,84
2004,08085,82.1
2004,08087,73.8
2004,08089,77.5
2004,08091,94.7
2004,08093,93.8
2004,08095,83.1
2004,08097,96
2004,08099,75.2
2004,08101,82.9
2004,08103,90.2
2004,08105,80.7
2004,08107,96
2004,08109,72.7
2004,08111,91.6
2004,08113,94.4
2004,08115,81.4
2004,08117,93.8
2004,08119,94
2004,08121,83.6
2004,08125,82
2004,09000,85.7
2004,09001,85.9
2004,09003,84.2
2004,09005,87.9
2004,09007,90.3
2004,09009,84.7
2004,09011,87.5
2004,09013,90.4
2004,09015,81.7
2004,10000,84.3
2004,10001,81.4
2004,10003,86.7
2004,10005,79.7
2004,11000,81.2
2004,11001,81.2
2004,12000,81.9
2004,12001,88.9
2004,12003,74.3
2004,12005,83.2
2004,12007,74.3
2004,12009,87.8
2004,12011,83.9
2004,12013,70.1
2004,12015,84.4
2004,12017,80.8
2004,12019,87.7
2004,12021,83.1
2004,12023,77.1
2004,12027,65.5
2004,12029,69.5
2004,12031,84.4
2004,12033,83.9
2004,12035,87.4
2004,12037,72.3
2004,12039,72.7
2004,12041,75.6
2004,12043,71.3
2004,12045,74.3
2004,12047,67.2
2004,12049,59.9
2004,12051,57.6
2004,12053,81.2
2004,12055,76.2
2004,12057,82.7
2004,12059,67.7
2004,12061,83.5
2004,12063,72.7
2004,12065,76
2004,12067,73.1
2004,12069,82.5
2004,12071,84
2004,12073,89.9
2004,12075,76.4
2004,12077,68.4
2004,12079,70.7
2004,12081,83.3
2004,12083,80.6
2004,12085,86.5
2004,12086,71.4
2004,12087,86.5
2004,12089,83
2004,12091,89
2004,12093,66.5
2004,12095,83.7
2004,12097,81
2004,12099,84.9
2004,12101,80.9
2004,12103,85.6
2004,12105,77.5
2004,12107,73.1
2004,12109,89.1
2004,12111,79.7
2004,12113,86.8
2004,12115,88.6
2004,12117,89.6
2004,12119,80.3
2004,12121,75.9
2004,12123,72.8
2004,12125,73.8
2004,12127,84
2004,12129,81.3
2004,12131,79.7
2004,12133,74.3
2004,13000,80.6
2004,13001,70.1
2004,13003,59.4
2004,13005,69.2
2004,13007,71.6
2004,13009,75.8
2004,13011,69
2004,13013,75.6
2004,13015,74.6
2004,13017,68.5
