year,fips,percent_high_school_or_above
2015,00000,86.8
2015,01000,84.1
2015,01001,87.5
2015,01003,89.1
2015,01005,73.4
2015,01007,78.1
2015,01009,77.5
2015,01011,73.3
2015,01013,79.9
2015,01015,81.1
2015,01017,77.9
2015,01019,77.6
2015,01021,77.9
2015,01023,77.6
2015,01025,80.1
2015,01027,76.6
2015,01029,77.1
2015,01031,82.6
2015,01033,83
2015,01035,78.2
2015,01037,79.3
2015,01039,80.5
2015,01041,77.3
2015,01043,79.1
2015,01045,84.1
2015,01047,79.6
2015,01049,73.7
2015,01051,86
2015,01053,76.7
2015,01055,83.3
2015,01057,78.9
2015,01059,74.8
2015,01061,77.8
2015,01063,76.5
2015,01065,75.3
2015,01067,78.2
2015,01069,84.7
2015,01071,78.4
2015,01073,88.4
2015,01075,79.3
2015,01077,85.4
2015,01079,79.1
2015,01081,87.7
2015,01083,82.6
2015,01085,77.8
2015,01087,81
2015,01089,90.1
2015,01091,82.9
2015,01093,74.5
2015,01095,78.4
2015,01097,84.9
2015,01099,79
2015,01101,85.8
2015,01103,82.8
2015,01105,74.7
2015,01107,79.6
2015,01109,83.2
2015,01111,76
2015,01113,80.9
2015,01115,82.5
2015,01117,92.2
2015,01119,79.8
2015,01121,78.9
2015,01123,79.2
2015,01125,87.2
2015,01127,78.5
2015,01129,83
2015,01131,75.5
2015,01133,74.2
2015,02000,92.2
2015,02010,71
2015,02013,82.9
2015,02016,84.6
2015,02020,92.9
2015,02050,81.1
2015,02060,92.4
2015,02063,95.4
2015,02066,95.4
2015,02068,93.9
2015,02070,84.2
2015,02090,93.7
2015,02100,96.3
2015,02105,91.8
2015,02110,96
2015,02122,92.7
2015,02130,93.4
2015,02150,90.5
2015,02158,76.4
2015,02160,51.8
2015,02164,87.3
2015,02170,92.9
2015,02180,84.8
2015,02185,85.5
2015,02188,81.7
2015,02195,92.2
2015,02198,89.8
2015,02201,69.7
2015,02220,93.9
2015,02230,92.1
2015,02231,81.4
2015,02232,69
2015,02240,91.5
2015,02250,56.6
2015,02261,91.5
2015,02275,89.5
2015,02280,85.4
2015,02282,94.1
2015,02290,83.4
2015,04000,86.4
2015,04001,76.8
2015,04003,86.6
2015,04005,88.7
2015,04007,85.5
2015,04009,83.8
2015,04011,85.9
2015,04012,77.7
2015,04013,87
2015,04015,85
2015,04017,81.9
2015,04019,87.9
2015,04021,85.7
2015,04023,74.2
2015,04025,90.7
2015,04027,73.1
2015,05000,84.7
2015,05001,83.1
2015,05003,83.2
2015,05005,86.9
2015,05007,87
2015,05009,86.3
2015,05011,78
2015,05013,81.6
2015,05015,83
2015,05017,74
2015,05019,86.2
2015,05021,78.5
2015,05023,83.8
2015,05025,87.3
2015,05027,85.5
2015,05029,84.2
2015,05031,86.5
2015,05033,81.4
2015,05035,80.1
2015,05037,79.4
2015,05039,83.2
2015,05041,77.5
2015,05043,84
2015,05045,89.6
2015,05047,84.8
2015,05049,82.5
2015,05051,87
2015,05053,86.8
2015,05055,85.2
2015,05057,82.1
2015,05059,84
2015,05061,81.1
2015,05063,83.3
2015,05065,80.9
2015,05067,78.8
2015,05069,84.7
2015,05071,77.9
2015,05073,78.2
2015,05075,79.3
2015,05077,72.9
2015,05079,74.6
2015,05081,85.5
2015,05083,82
2015,05085,87.5
2015,05087,79.4
2015,05089,85.4
2015,05091,84.2
2015,05093,78.5
2015,05095,74.8
2015,05097,82.1
2015,05099,82.2
2015,05101,82.6
2015,05103,84.5
2015,05105,85
2015,05107,76.8
2015,05109,81.6
2015,05111,76.3
2015,05113,83.2
2015,05115,83.4
2015,05117,80.8
2015,05119,89.9
2015,05121,82
2015,05123,77.3
2015,05125,89.8
2015,05127,77.6
2015,05129,76.4
2015,05131,83.1
2015,05133,72.5
2015,05135,83.2
2015,05137,79.3
2015,05139,83.7
2015,05141,82.9
2015,05143,83.6
2015,05145,84
2015,05147,77.2
2015,05149,74.1
2015,06000,82.2
2015,06001,87.2
2015,06003,93.5
2015,06005,89
2015,06007,87.7
2015,06009,91.2
2015,06011,71.5
2015,06013,89.1
2015,06015,78.9
2015,06017,93.4
2015,06019,74.8
2015,06021,74.2
2015,06023,90.4
2015,06025,66.4
2015,06027,89.6
2015,06029,73
2015,06031,72.2
2015,06033,86.8
2015,06035,80.1
2015,06037,77.7
2015,06039,69.7
2015,06041,92.7
2015,06043,89.7
2015,06045,85
2015,06047,68
2015,06049,83.8
2015,06051,87.1
2015,06053,71.6
2015,06055,83.9
2015,06057,94.8
2015,06059,84.6
2015,06061,94.2
2015,06063,92.5
2015,06065,80.9
2015,06067,86.4
2015,06069,78.2
2015,06071,79.1
2015,06073,86.5
2015,06075,87
2015,06077,78.2
2015,06079,90.2
2015,06081,89.3
