"","exposure_year","outcome_year","lag","wtd_pop_ctrl"
"1",2006,1995,-11,91659.5127586309
"2",2006,1996,-10,93339.846864832
"3",2006,1997,-9,95065.6459494794
"4",2006,1998,-8,96977.8255063042
"5",2006,1999,-7,98862.238095915
"6",2006,2000,-6,100693.589427891
"7",2006,2001,-5,102673.582524009
"8",2006,2002,-4,104455.641995376
"9",2006,2003,-3,106092.858538175
"10",2006,2004,-2,108195.474810808
"11",2006,2005,-1,110600.775519243
"12",2006,2006,0,113557.25678994
"13",2006,2007,1,116248.350472601
"14",2006,2008,2,118518.870395338
"15",2006,2009,3,120540.266680687
"16",2006,2010,4,122663.389097997
"17",2006,2011,5,124541.3596134
"18",2006,2012,6,126403.83177961
"19",2006,2013,7,128233.444157794
"20",2006,2014,8,130118.207051414
"21",2006,2015,9,132181.573606436
"22",2006,2016,10,134329.145999163
"23",2006,2017,11,136345.78306966
"24",2006,2018,12,138056.041038846
