"","exposure_year","outcome_year","lag","wtd_pop_ctrl"
"1",2011,1995,-16,215124.809431639
"2",2011,1996,-15,217526.113600965
"3",2011,1997,-14,220058.218754121
"4",2011,1998,-13,222711.214314951
"5",2011,1999,-12,225299.477545521
"6",2011,2000,-11,227696.236853866
"7",2011,2001,-10,229986.835476917
"8",2011,2002,-9,231471.804769464
"9",2011,2003,-8,232445.641351602
"10",2011,2004,-7,233162.605299599
"11",2011,2005,-6,234353.809361402
"12",2011,2006,-5,236139.916784315
"13",2011,2007,-4,238495.576424282
"14",2011,2008,-3,241152.437950942
"15",2011,2009,-2,243983.84137062
"16",2011,2010,-1,246552.114875099
"17",2011,2011,0,249074.278797489
"18",2011,2012,1,251802.753857714
"19",2011,2013,2,254584.664513934
"20",2011,2014,3,257262.321740288
"21",2011,2015,4,259532.119777988
"22",2011,2016,5,261792.483536404
"23",2011,2017,6,263902.194557142
"24",2011,2018,7,265298.667895028
