"","exposure_year","outcome_year","lag","wtd_pop_ctrl"
"1",2012,1995,-17,227269.347581094
"2",2012,1996,-16,229010.699992309
"3",2012,1997,-15,230886.172870713
"4",2012,1998,-14,232907.144988068
"5",2012,1999,-13,234904.885812142
"6",2012,2000,-12,236348.224126178
"7",2012,2001,-11,237632.411227083
"8",2012,2002,-10,238135.49161852
"9",2012,2003,-9,238258.740765046
"10",2012,2004,-8,238189.608085158
"11",2012,2005,-7,238287.745787109
"12",2012,2006,-6,238574.116009995
"13",2012,2007,-5,239796.708328858
"14",2012,2008,-4,241585.566983181
"15",2012,2009,-3,243598.33791052
"16",2012,2010,-2,245208.161660187
"17",2012,2011,-1,247008.397282143
"18",2012,2012,0,248793.840045131
"19",2012,2013,1,250341.2527054
"20",2012,2014,2,251846.776424097
"21",2012,2015,3,253121.994420825
"22",2012,2016,4,254249.424500644
"23",2012,2017,5,255184.990141484
"24",2012,2018,6,255428.094106926
