"","exposure_year","outcome_year","lag","wtd_pop_ctrl"
"1",2016,1995,-21,103096.845486264
"2",2016,1996,-20,104439.599312906
"3",2016,1997,-19,106252.77185556
"4",2016,1998,-18,107543.430515878
"5",2016,1999,-17,108776.259791258
"6",2016,2000,-16,110208.684242194
"7",2016,2001,-15,111428.324386889
"8",2016,2002,-14,112831.842462462
"9",2016,2003,-13,114040.632758089
"10",2016,2004,-12,116523.818556807
"11",2016,2005,-11,118110.104968315
"12",2016,2006,-10,120059.092741975
"13",2016,2007,-9,121194.755233482
"14",2016,2008,-8,122348.399643195
"15",2016,2009,-7,123531.757708336
"16",2016,2010,-6,125541.471919944
"17",2016,2011,-5,126616.411390611
"18",2016,2012,-4,127381.319129303
"19",2016,2013,-3,128653.384369399
"20",2016,2014,-2,129808.90072549
"21",2016,2015,-1,130996.488066904
"22",2016,2016,0,132763.012695626
"23",2016,2017,1,134056.270656584
"24",2016,2018,2,135545.340275748
