"","exposure_year","outcome_year","lag","wtd_pop_ctrl"
"1",2005,1995,-10,107524.520074805
"2",2005,1996,-9,109449.270056964
"3",2005,1997,-8,111697.720256898
"4",2005,1998,-7,113973.38448501
"5",2005,1999,-6,115708.943730395
"6",2005,2000,-5,117902.598521357
"7",2005,2001,-4,120197.529665387
"8",2005,2002,-3,122348.499221753
"9",2005,2003,-2,124580.028541465
"10",2005,2004,-1,127536.431224837
"11",2005,2005,0,131072.792208917
"12",2005,2006,1,134016.691538314
"13",2005,2007,2,135768.373255893
"14",2005,2008,3,137285.439096826
"15",2005,2009,4,138669.130348705
"16",2005,2010,5,140100.7117519
"17",2005,2011,6,141617.847189024
"18",2005,2012,7,143790.961034453
"19",2005,2013,8,145548.431657931
"20",2005,2014,9,147825.565559328
"21",2005,2015,10,150558.036531068
"22",2005,2016,11,153491.747956854
"23",2005,2017,12,156091.949749674
"24",2005,2018,13,158342.514058336
