"","exposure_year","outcome_year","lag","wtd_pop_ctrl"
"1",2010,1995,-15,129842.047746251
"2",2010,1996,-14,132144.24989927
"3",2010,1997,-13,134707.15540439
"4",2010,1998,-12,137626.463640359
"5",2010,1999,-11,140376.243543958
"6",2010,2000,-10,143104.67705588
"7",2010,2001,-9,145924.817620164
"8",2010,2002,-8,148561.006912111
"9",2010,2003,-7,150809.563718834
"10",2010,2004,-6,152898.201552384
"11",2010,2005,-5,155440.094986117
"12",2010,2006,-4,158133.394095735
"13",2010,2007,-3,161043.731823412
"14",2010,2008,-2,164199.789779299
"15",2010,2009,-1,166981.734791242
"16",2010,2010,0,169134.833541912
"17",2010,2011,1,171508.227301499
"18",2010,2012,2,174158.159743768
"19",2010,2013,3,176925.910593938
"20",2010,2014,4,179830.666382416
"21",2010,2015,5,182871.701146854
"22",2010,2016,6,185706.233953878
"23",2010,2017,7,188098.938716366
"24",2010,2018,8,189900.141384216
