"","exposure_year","acee_2010","acee_2014","acee_2016","acee_2018","acee_2020","wtd_pop_size","iter"
"1",2005,-0.00275297858619594,-0.00475545841539982,0.00637758396916321,-8.22990641531907e-05,-0.00136592837473659,69943.7800355481,1
"2",2005,-0.0076737648626759,-0.00924049357661688,-0.0188511022753319,-0.0241126409852324,-0.00794498155700418,110152.118496773,2
"3",2005,0.00615175986065863,0.00923843458038548,0.0162470530532461,0.00734085132267015,-0.00498740048594487,81253.4474994897,3
"4",2005,0.0108417151254402,0.0123232089103952,0.016160147478782,0.008228444014309,0.00122742560303712,40710.965670025,4
"5",2005,-0.0122536048265826,1.04839536970158e-05,-0.00189846961617901,-0.00348895166649665,0.00116871634393617,113011.728471895,5
"6",2005,0.00312395969453871,0.0128879424117644,0.00467263155453346,-0.00610218684157787,0.00526659863950868,68836.3186122399,6
"7",2005,0.00209887586462781,0.0149954074691648,0.0130455885120989,0.0109532216053019,-0.014858979543693,93395.6687171662,7
"8",2005,0.0124405734548705,-0.000308520474499141,0.0058955996164799,-0.00129504995398605,0.00104597425423325,107552.849497656,8
"9",2005,0.0117760368044364,0.00661513964659599,0.0116082847850679,0.0157838503250767,0.0107976746138434,78975.5653428685,9
"10",2005,0.0106272384340346,0.0146985211634863,0.00651154535897353,0.00277525230979836,0.00550925807642955,76089.5660749511,10
"11",2005,-0.00510423150651307,-0.0164627696517425,-0.0220848223653434,-0.0201636903532249,-0.0295024128971396,62796.0999690033,11
"12",2005,0.0139562420965334,0.00137926870002741,0.0213666475322178,0.0228806915127748,0.0229748388689709,94265.4102475619,12
"13",2005,0.0191231992590797,0.0218969731134088,0.00795822458344492,0.00978979288051224,0.00118731799113464,79845.929781127,13
"14",2005,0.0204654118497291,0.0107551250872236,0.0167892576957688,0.00674795125516797,0.0068387547289615,75347.2362471622,14
"15",2005,0.0124418594483486,0.00116065242496949,0.00770590652818387,0.0229856297471204,0.0268047958741954,83719.2286473324,15
"16",2005,0.0173080344025057,0.00765678111370005,0.0103675271398929,0.0115248236169152,0.00844521936920462,78492.0828902523,16
"17",2005,-0.00585628824077533,-0.0157962739290012,-0.00896329448387329,-0.00528726358452569,-0.0131530345671481,93444.0650992116,17
"18",2005,0.00738827819512017,-0.00289276656909598,0.00684402184092875,0.0120331898602246,0.0053135893115181,63072.5845698932,18
"19",2005,0.00901150937238177,0.00528956601593011,0.00762688464842853,0.0055844775695072,0.0123721834916969,62779.4263358287,19
"20",2005,0.00205326731686295,-0.00513818798630972,0.00704284487453072,0.00336475023772226,0.00151153640435397,47796.6566852872,20
"21",2005,0.000652233307780581,0.000495405915570402,0.00719121694487629,-0.00481294537795762,-0.00569465761779192,102155.090491895,21
"22",2005,0.0113550771773775,-0.00519041022365935,-6.31367554929652e-05,0.00963120061808481,0.0112942814283347,74720.2903054249,22
"23",2005,0.0228287315534177,0.00502616259551064,0.000202657635095693,0.00320781086208943,0.0109955126826051,71397.8809186614,23
"24",2005,0.0132820959111037,0.00669719921762152,0.0155875975222813,0.0134982269835904,0.00145283815089986,68323.8338682714,24
"25",2005,-0.00469285342570852,-0.00696791481000253,0.00409044700344668,0.00756878692902463,0.00643452876103506,108843.509392668,25
"26",2005,-0.0135095487414105,-0.0192821526970832,-0.0120664201488391,-0.00699135054597838,-0.0103631383274542,90808.5810000662,26
"27",2005,-0.000130013459704315,-0.0095351092421217,0.00146867240103699,0.00431234159947785,0.00188444118279069,57864.5330079807,27
"28",2005,0.00632971774662205,-0.00803686635721312,-0.0172130666377129,-0.0105989993837378,-0.00462141146278527,79292.2184635686,28
"29",2005,0.01807865860889,0.000749665037060254,0.00287153136159141,-0.0129160092782395,-0.00290398247987955,112307.385695488,29
"30",2005,0.00898642464837468,0.00524199604200737,0.00558330659642209,0.00784934990302721,0.00727663437968157,64823.3202868373,30
"31",2005,0.00792752387690049,-0.000641836973472032,0.00447820499228374,0.00433050303979715,0.00539747966926829,99143.2972292674,31
"32",2005,0.000253949017978816,-0.00322284671353251,-0.005891671359739,-0.001888391072975,-0.00793144758456943,71326.5377821477,32
"33",2005,0.0047613830029406,0.0172900814238232,0.00998089807940378,0.000381918022526517,0.000600736774389654,80904.8310446716,33
"34",2005,0.00444919621137146,-0.0067307822565229,-0.00018560077533486,-0.00512569236184007,-0.00371440311445087,37344.7176204623,34
"35",2005,-0.00823686755977648,-0.00396412837619137,-0.0052530948827938,-0.0220324699999668,-0.00648575709771082,74532.4028034587,35
"36",2005,-0.00793694561386871,-0.0181506619185173,-0.0279827630240705,-0.0237198674206319,-0.0139732853023107,109992.315159008,36
"37",2005,0.0100143906011646,0.0200748860940702,0.0217351673990035,0.0352143561207718,0.0405069670384203,60453.0588181811,37
"38",2005,0.00763917755328231,-0.0250336655698282,-0.0198744881582958,-0.013097244486299,-0.00969419413901818,84360.4487508892,38
"39",2005,0.00120691807332973,-0.0144655220321866,-0.0075732605938833,0.0081980047045005,0.00949451276902991,64330.2716036411,39
"40",2005,0.0199561190032066,0.00899280796463325,0.00345151497919371,0.0064181195248949,0.0134466868685071,83922.103181416,40
"41",2005,0.00335945193335402,0.0156987605253229,0.00778650563475869,0.0103664231862989,-0.00647804191060364,112880.579398933,41
"42",2005,0.00923882593970632,0.0159883526918581,0.0142911950640242,0.0162569614263823,-0.00120831781900588,54729.1307031344,42
"43",2005,0.0118129357153485,-0.000796417497371749,-0.0144541446412865,-0.00578671746917381,-0.0103735410265791,82504.40299362,43
"44",2005,0.013858863273794,0.0181440388036405,0.0109819296953407,0.00531320286433301,0.0152846760016372,51156.3886951076,44
