"","exposure_year","acee_2010","acee_2014","acee_2016","acee_2018","acee_2020","wtd_pop_size","iter"
"1",2005,0.00987611618206558,0.0085223434202672,0.0165567112995231,0.00656180134156947,0.0167470194984061,69943.7800355481,1
"2",2005,-0.0139639692212564,-0.00668469265362226,0.000545461195654628,0.00271759479997702,0.00934048790758907,110152.118496773,2
"3",2005,0.0229733803120264,0.0202734135706474,0.02856882875718,0.0104416002732901,0.00772018822863374,81253.4474994897,3
"4",2005,-0.00969385569072789,-0.0223740310867598,-0.0285216025475392,-0.042791053344181,-0.0246763496448758,40710.965670025,4
"5",2005,0.00365226696196524,-0.019639036080138,-0.0194332869539441,-0.0155399001614526,0.00221562343606752,113011.728471895,5
"6",2005,0.0102704756149467,0.00218148676622254,0.0135470591582652,0.014678014281606,0.0100802315853676,68836.3186122399,6
"7",2005,0.0133015505212832,0.010703669454416,-0.000878616587993708,0.00734321731451859,0.0162708744040817,93395.6687171662,7
"8",2005,-0.0177763556887083,-0.0156417320452793,-0.0139110092527286,0.00853354385034821,0.00753054000364284,107552.849497656,8
"9",2005,0.0150783948956488,0.0135026230295024,0.0219730231751383,0.0449650741159353,0.0467172151799806,78975.5653428685,9
"10",2005,-0.00977626053749714,-0.0108036260587664,-0.0102134018025346,-0.00793205238191819,0.000625064237587458,76089.5660749511,10
"11",2005,0.000542598629044599,0.00897000357325095,0.00280553527819161,0.00187848801627488,-0.00592174946097163,62796.0999690033,11
"12",2005,0.0069337569617201,0.0278128354771792,0.0112065503549112,-0.000201724985147089,0.00161379390034244,94265.4102475619,12
"13",2005,0.011683491731923,0.0058789033520299,-0.00931523656849226,-0.0154094017570229,-0.00188558603310757,79845.929781127,13
"14",2005,0.0231802978687121,0.0219584137329121,0.0402082662704062,0.0387062130456488,0.0280522763515592,75347.2362471622,14
"15",2005,-0.00888536567214471,-0.0150922696449098,-0.00758289020920289,-0.00476149474042614,0.00472510295307327,83719.2286473324,15
"16",2005,0.00827849153450105,-0.00559401695281159,-0.00253300651225552,0.00912135556517768,0.000177722974815553,78492.0828902523,16
"17",2005,-0.000578868658381082,-0.00470185176993465,0.008146541566382,-0.00537503482842067,-0.0110361480997844,93444.0650992116,17
"18",2005,-0.00964521802029333,-0.0214588909906416,-0.0126576220343731,-0.020995742784937,-0.0139681212270101,63072.5845698932,18
"19",2005,-0.00663229480417676,-0.00247215300159709,0.0102316660660559,0.00610477358046296,0.00906893657359553,62779.4263358287,19
"20",2005,-0.000720993717805984,-0.0181326056158143,-0.0130284327454788,-0.013007535059386,-0.00868860566593394,47796.6566852872,20
"21",2005,-0.0037446063589357,-0.0137673421780937,-0.012865983929943,-0.0269584512429463,-0.0192749691639034,102155.090491895,21
"22",2005,0.0126184848923044,0.0124051100423611,0.0164692756541496,0.0204107770360492,-0.0123999222561239,74720.2903054249,22
"23",2005,0.0193518867462906,0.00341519057842882,0.00208970050417062,0.0151812227543696,0.0336353672272196,71397.8809186614,23
"24",2005,0.00454791572100482,-0.00509209309265329,-0.000733258114946733,-0.00869762629147303,0.00850647719183883,68323.8338682714,24
"25",2005,0.0233800013674021,0.0113156385096007,0.0175147078959406,0.0230052936929447,0.0207330838317134,108843.509392668,25
"26",2005,-0.000836329933877833,0.000362790030994042,0.00618738789984363,0.00349252124982324,0.0219529362750519,90808.5810000662,26
"27",2005,-0.011887144170044,-0.00370745488252744,-0.00118597580320223,0.00764415871461471,0.0123842901579228,57864.5330079807,27
"28",2005,-0.0157053299515747,-0.0253109117236514,-0.0179353988237987,-0.010474294669451,-0.00832385471841607,79292.2184635686,28
"29",2005,0.0099441834933473,0.00538276196435794,0.00710326086330298,0.00951906021340698,0.0131829992795728,112307.385695488,29
"30",2005,-0.00117419084364162,-0.00950884652520018,0.00320111983473198,0.00496517997258233,0.0260223895631126,64823.3202868373,30
"31",2005,-0.00358926771293006,-0.0222183561583695,-0.000740850392976056,-0.00610354589242557,0.00528246026121609,99143.2972292674,31
"32",2005,-0.0116105896022752,-0.0080070992029922,0.0103825672700814,0.025055513654989,0.0202895692339297,71326.5377821477,32
"33",2005,-0.00549767445571869,0.0105855490838158,-0.000373430383513174,0.000294873346569802,-0.0238324577454839,80904.8310446716,33
"34",2005,-0.00267397114878631,0.00787569154473411,-0.00582962514291824,-0.0199328484720716,-0.0214438683795005,37344.7176204623,34
"35",2005,0.00438606275874054,-0.0100867869854572,-0.0089964389453619,-0.0145616294944517,-0.00176353862769912,74532.4028034587,35
"36",2005,0.00467817465544734,-0.00328572205915156,-0.0141600155698168,-0.00130757714984187,0.0126265814914324,109992.315159008,36
"37",2005,-0.0230499019958103,-0.0243545102228532,-0.0255745216296737,-0.0261356826993454,0.00326216239924321,60453.0588181811,37
"38",2005,0.00180707057451912,-0.0210875758982128,-0.0193450137202698,-0.0034952629922817,0.00291648365079472,84360.4487508892,38
"39",2005,0.0036250374351528,0.00438087624671341,0.0177385932467258,0.0147991273531652,0.0279016953062803,64330.2716036411,39
"40",2005,-0.0143879057098708,-0.0116309270680359,-0.0126938016605375,-0.0171020019357506,0.00819101553854334,83922.103181416,40
"41",2005,-0.0182941784470815,-0.0220669724927975,-0.0138196846690029,-0.00900532974237034,-0.00317834438812231,112880.579398933,41
"42",2005,0.012427105658882,-0.00135770838677357,0.0103311755528862,-0.00363593363560344,-0.0150131262252816,54729.1307031344,42
"43",2005,0.00867647133098426,0.0112536875682797,0.0119510206114314,0.0260682568244884,0.0168914798534563,82504.40299362,43
