"","fips","2010","2014","2016","2018","2020"
"1","01001",0.1604,0.198,0.1964,0.185,0.1827
"2","01003",0.6317,0.6281,0.6437,0.6428,0.6496
"3","01005",0.3596,0.3964,0.4174,0.4893,0.5216
"4","01007",0.2094,0.2677,0.2585,0.32,0.2623
"5","01009",0.4105,0.4429,0.4909,0.4715,0.409
"6","01011",0.2788,0.2767,0.2732,0.2572,0.24
"7","01013",0.6199,0.61,0.5845,0.5928,0.6728
"8","01015",0.3707,0.3747,0.3575,0.3664,0.373
"9","01017",0.6225,0.6281,0.6151,0.5817,0.5602
"10","01019",0.7294,0.7571,0.773,0.8055,0.816
"11","01021",0.2918,0.3085,0.2833,0.2748,0.2788
"12","01023",0.7479,0.7841,0.7991,0.8249,0.8269
"13","01025",0.5668,0.5603,0.5845,0.5928,0.5999
"14","01027",0.7036,0.6829,0.7011,0.6679,0.6419
"15","01029",0.5267,0.5985,0.5944,0.5718,0.6598
"16","01031",0.3809,0.3639,0.3464,0.32,0.3116
"17","01033",0.688,0.6377,0.6243,0.6234,0.5894
"18","01035",0.725,0.7421,0.773,0.8004,0.8062
"19","01037",0.6559,0.5985,0.6437,0.8093,0.8348
"20","01039",0.7597,0.7644,0.7676,0.7249,0.712
"21","01041",0.5394,0.5174,0.5237,0.5215,0.5407
"22","01043",0.5429,0.5466,0.5524,0.4893,0.4535
"23","01045",0.2772,0.2767,0.3034,0.2983,0.302
"24","01047",0.338,0.3317,0.3346,0.3664,0.409
"25","01049",0.3189,0.3212,0.3133,0.32,0.3116
"26","01051",0.1549,0.1656,0.1885,0.1786,0.198
"27","01053",0.4598,0.4333,0.4352,0.419,0.4204
"28","01055",0.5315,0.5068,0.5119,0.5215,0.5108
"29","01057",0.7288,0.7033,0.7109,0.7249,0.6913
"30","01059",0.4649,0.4222,0.3684,0.3098,0.2712
"31","01061",0.6938,0.6829,0.6686,0.6323,0.6346
"32","01063",0.5607,0.5466,0.5753,0.7163,0.7826
"33","01065",0.4478,0.4951,0.5435,0.5215,0.5407
"34","01067",0.7049,0.7571,0.7943,0.8004,0.7941
"35","01069",0.3844,0.3862,0.3684,0.3763,0.373
"36","01071",0.5996,0.5985,0.6243,0.5995,0.6111
"37","01073",0.2504,0.2187,0.2162,0.2114,0.219
"38","01075",0.7807,0.7498,0.7676,0.7666,0.7422
"39","01077",0.6323,0.61,0.6049,0.6234,0.6111
"40","01079",0.3933,0.3964,0.3894,0.432,0.409
"41","01081",0.0346,0.0353,0.0334,0.0379,0.0481
"42","01083",0.181,0.177,0.1885,0.1917,0.1827
"43","01085",0.4035,0.4333,0.5018,0.4817,0.5003
"44","01087",0.345,0.3964,0.4352,0.5521,0.5999
"45","01089",0.1737,0.1703,0.1748,0.1687,0.1661
"46","01091",0.5808,0.6281,0.6332,0.5817,0.5818
"47","01093",0.7581,0.7571,0.7593,0.7456,0.712
"48","01095",0.4312,0.4078,0.4091,0.3664,0.3304
"49","01097",0.232,0.2276,0.2311,0.2359,0.2467
"50","01099",0.5124,0.5466,0.5524,0.5817,0.6111
"51","01101",0.1578,0.1519,0.1544,0.1614,0.1661
"52","01103",0.3437,0.3442,0.3464,0.3566,0.3577
"53","01105",0.6241,0.6902,0.659,0.5521,0.5602
"54","01107",0.6394,0.618,0.5651,0.5352,0.5003
"55","01109",0.2211,0.198,0.2162,0.185,0.1891
"56","01111",0.6448,0.6765,0.7011,0.6851,0.6598
"57","01113",0.2106,0.1519,0.1165,0.1238,0.1334
"58","01115",0.2434,0.2595,0.2833,0.2811,0.2931
"59","01117",0.0903,0.1172,0.1394,0.1687,0.1891
"60","01119",0.4427,0.4078,0.3894,0.3763,0.4319
"61","01121",0.3405,0.3559,0.3789,0.3989,0.3851
"62","01123",0.676,0.6829,0.7109,0.7163,0.7263
"63","01125",0.0986,0.0872,0.078,0.0831,0.0863
"64","01127",0.5782,0.5836,0.5845,0.5521,0.5516
"65","01129",0.4121,0.3747,0.4352,0.5215,0.5894
"66","01131",0.4439,0.4951,0.5524,0.5352,0.5602
"67","01133",0.7126,0.7326,0.7529,0.7666,0.7543
"68","02013",9e-04,6e-04,0.0022,0.0092,0.0283
"69","02016",0,0.0016,0.001,6e-04,0.0025
"70","02020",0.0105,0.015,0.0159,0.0191,0.0255
"71","02050",0.0035,0.0022,0.0022,0.0019,0.0019
"72","02060",0.0206,0.0041,0.007,0.0159,0.0347
"73","02068",0.0136,0.0013,0.0048,0.0022,0.0175
"74","02070",0.0146,0.0118,0.0083,0.0067,0.0302
"75","02090",0.005,0.007,0.0067,0.0127,0.0162
"76","02100",0.309,0.1869,0.4273,0.9035,0.8227
"77","02105",0.2714,0.3639,0.4352,0.6428,0.802
"78","02110",0.0232,0.0271,0.0357,0.064,0.0961
