"","fips","2010","2014","2016","2018","2020"
"105","04015",0.1705,0.1372,0.1044,0.0786,0.0668
"106","04017",0.9586,0.9491,0.9414,0.9338,0.916
"107","04019",0.4493,0.4288,0.3976,0.3629,0.3186
"108","04021",0.8663,0.8405,0.737,0.6406,0.5659
"109","04023",0.9732,0.9592,0.9538,0.9427,0.9338
"110","04025",0.0757,0.0665,0.0528,0.0487,0.0417
"111","04027",0.9239,0.9032,0.8883,0.8653,0.8555
"112","05001",0.4898,0.5798,0.581,0.5915,0.6117
"113","05003",0.653,0.6393,0.6307,0.6291,0.5974
"114","05005",0.0461,0.0605,0.0614,0.0675,0.0792
"115","05007",0.9175,0.9172,0.9207,0.915,0.9096
"116","05009",0.4879,0.5046,0.4467,0.5578,0.5837
"117","05011",0.4942,0.5616,0.6339,0.6826,0.7769
"118","05013",0.1626,0.0805,0.1652,0.2089,0.1404
"119","05015",0.3863,0.425,0.4384,0.4502,0.4714
"120","05017",0.4624,0.533,0.5536,0.545,0.4968
"121","05019",0.0935,0.1436,0.1592,0.1439,0.1604
"122","05021",0.3542,0.2961,0.3114,0.4502,0.4077
"123","05023",0.118,0.1582,0.1767,0.1344,0.1604
"124","05025",0.7075,0.6775,0.5664,0.5304,0.5659
"125","05027",0.4248,0.3776,0.3477,0.3419,0.3113
"126","05029",0.6276,0.5772,0.5743,0.5715,0.5974
"127","05031",0.7412,0.7791,0.8036,0.8106,0.8189
"128","05033",0.8583,0.8485,0.8268,0.8106,0.8049
"129","05035",0.9468,0.9427,0.9446,0.937,0.9383
"130","05037",0.7558,0.7568,0.7857,0.7262,0.7282
"131","05039",0.5343,0.631,0.623,0.5578,0.3791
"132","05041",0.8322,0.8545,0.8628,0.8714,0.8851
"133","05043",0.5321,0.4798,0.4804,0.3999,0.4398
"134","05045",0.6677,0.6858,0.6711,0.6581,0.6359
"135","05047",0.6623,0.6374,0.6734,0.6581,0.6117
"136","05049",0.2294,0.1933,0.2162,0.2642,0.3186
"137","05051",0.2036,0.2521,0.2792,0.255,0.2559
"138","05053",0.6244,0.6351,0.6227,0.5715,0.5522
"139","05055",0.7577,0.7822,0.772,0.7927,0.7941
"140","05057",0.8351,0.8758,0.8946,0.8867,0.8657
"141","05059",0.5025,0.3964,0.3381,0.3091,0.3791
"142","05061",0.8513,0.8844,0.8762,0.8787,0.8985
"143","05063",0.6012,0.6772,0.703,0.7122,0.7562
"144","05065",0.0779,0.093,0.1,0.093,0.0792
"145","05067",0.182,0.2082,0.2229,0.2353,0.2387
"146","05069",0.5712,0.5829,0.5893,0.504,0.4806
"147","05071",0.7091,0.7163,0.7501,0.766,0.7855
"148","05073",0.485,0.3362,0.2509,0.1936,0.1604
"149","05075",0.4427,0.4269,0.4559,0.504,0.4806
"150","05077",0.1801,0.1509,0.1786,0.1289,0.1165
"151","05079",0.091,0.077,0.0669,0.0605,0.0602
"152","05081",0.5744,0.5419,0.5205,0.4642,0.508
"153","05083",0.676,0.5501,0.4779,0.4756,0.4398
"154","05085",0.9073,0.9051,0.8975,0.8911,0.8803
"155","05087",0.625,0.6339,0.6406,0.6826,0.6359
"156","05089",0.0401,0.0465,0.0602,0.107,0.1073
"157","05091",0.6381,0.6925,0.7265,0.695,0.7136
"158","05093",0.9239,0.916,0.9156,0.9074,0.9055
"159","05095",0.3956,0.4126,0.3181,0.255,0.3428
"160","05097",0.2151,0.1646,0.1716,0.1289,0.1295
