outcome_year,exposure_year,lag,exposed_svi,synthetic_control_svi,acee
2000,2012,-12,0.3805365217391305,0.38364833154458083,-0.0031118098054503385
2010,2012,-2,0.3959252173913041,0.38954956060003665,0.006375656791267448
2014,2012,2,0.38661391304347825,0.3732136143672717,0.013400298676206568
2016,2012,4,0.39160000000000017,0.3813781051133803,0.010221894886619898
2018,2012,6,0.3942043478260871,0.40414807629590493,-0.009943728469817836
2020,2012,8,0.43234173913043455,0.45354073140575984,-0.02119899227532529
