fips,year,income_adjusted_to_2000
00000,2000,30672
01000,2000,24306
01001,2000,23631
01003,2000,26829
01005,2000,18844
01007,2000,17530
01009,2000,20142
01011,2000,15684
01013,2000,18976
01015,2000,22088
01017,2000,20262
01019,2000,18401
01021,2000,19568
01023,2000,19425
01025,2000,20259
01027,2000,18894
01029,2000,18573
01031,2000,24158
01033,2000,21478
01035,2000,19565
01037,2000,18527
01039,2000,19878
01041,2000,21764
01043,2000,22071
01045,2000,21480
01047,2000,19533
01049,2000,20619
01051,2000,24032
01053,2000,19027
01055,2000,21735
01057,2000,19016
01059,2000,20170
01061,2000,20174
01063,2000,17797
01065,2000,16325
01067,2000,19566
01069,2000,24872
01071,2000,22011
01073,2000,31334
01075,2000,19059
01077,2000,22338
01079,2000,19891
01081,2000,20951
01083,2000,22599
01085,2000,17704
01087,2000,16064
01089,2000,29802
01091,2000,21647
01093,2000,18613
01095,2000,21907
01097,2000,22057
01099,2000,19392
01101,2000,28390
01103,2000,25223
01105,2000,17308
01107,2000,19017
01109,2000,21092
01111,2000,18355
01113,2000,19832
01115,2000,21438
01117,2000,33097
01119,2000,17213
01121,2000,19095
01123,2000,21744
01125,2000,24949
01127,2000,21494
01129,2000,18275
01131,2000,16123
01133,2000,19153
02000,2000,32044
02010,2000,NA
02013,2000,22091
02016,2000,21313
02020,2000,35835
02050,2000,21441
02060,2000,37857
02063,2000,NA
02066,2000,NA
02068,2000,39297
02070,2000,29037
02090,2000,29699
02100,2000,34148
02105,2000,NA
02110,2000,38415
02122,2000,29711
02130,2000,37310
02150,2000,29190
02158,2000,15647
02164,2000,23370
02170,2000,26863
02180,2000,23306
02185,2000,44906
02188,2000,24988
02195,2000,NA
02198,2000,NA
02201,2000,22943
02220,2000,31131
02230,2000,NA
02231,2000,NA
02232,2000,31747
02240,2000,23946
02261,2000,32904
02275,2000,NA
02280,2000,30771
02282,2000,29785
02290,2000,21293
02901,2000,NA
02903,2000,NA
02904,2000,NA
02905,2000,NA
02907,2000,NA
02908,2000,NA
02910,2000,NA
02912,2000,NA
02916,2000,NA
02919,2000,NA
02920,2000,NA
02921,2000,NA
02922,2000,NA
02923,2000,NA
02924,2000,NA
02925,2000,NA
02926,2000,NA
02928,2000,NA
02929,2000,NA
04000,2000,26388
04001,2000,14333
04003,2000,20713
04005,2000,23821
04007,2000,19607
04009,2000,14905
04011,2000,23754
04012,2000,15652
04013,2000,29723
04015,2000,19042
04017,2000,15043
04019,2000,24984
04021,2000,17474
04023,2000,17234
04025,2000,21867
04027,2000,17894
05000,2000,22781
05001,2000,22936
05003,2000,21685
05005,2000,22218
05007,2000,31527
05009,2000,21216
05011,2000,18214
05013,2000,19076
05015,2000,18561
05017,2000,18541
05019,2000,19004
05021,2000,19992
05023,2000,21917
05025,2000,21542
05027,2000,21183
05029,2000,22408
05031,2000,22461
05033,2000,19065
05035,2000,20273
05037,2000,18921
05039,2000,20299
05041,2000,18600
05043,2000,20037
05045,2000,22874
05047,2000,19767
05049,2000,17044
05051,2000,23775
05053,2000,22623
05055,2000,19813
05057,2000,19497
05059,2000,18644
05061,2000,21475
05063,2000,21135
05065,2000,17919
05067,2000,20479
05069,2000,20076
05071,2000,18316
05073,2000,19400
05075,2000,18751
05077,2000,15762
05079,2000,16031
05081,2000,20108
05083,2000,18611
05085,2000,22909
05087,2000,19246
05089,2000,17321
05091,2000,21720
05093,2000,18745
05095,2000,18277
05097,2000,18165
05099,2000,19094
05101,2000,15166
05103,2000,19476
05105,2000,20631
05107,2000,17603
05109,2000,17956
05111,2000,18670
05113,2000,17609
05115,2000,21260
05117,2000,19793
05119,2000,30552
05121,2000,17625
05123,2000,16728
05125,2000,23536
05127,2000,18565
05129,2000,15793
05131,2000,25668
05133,2000,20084
05135,2000,16761
05137,2000,17333
05139,2000,25558
05141,2000,17892
05143,2000,22217
05145,2000,19244
05147,2000,18612
05149,2000,19854
06000,2000,33410
06001,2000,39231
06003,2000,27775
06005,2000,24500
06007,2000,23127
06009,2000,26122
06011,2000,25804
06013,2000,45438
06015,2000,18941
06017,2000,37379
06019,2000,23048
06021,2000,19705
06023,2000,23909
06025,2000,19048
06027,2000,25751
06029,2000,21410
06031,2000,17355
06033,2000,23821
06035,2000,18580
06037,2000,30080
06039,2000,18925
06041,2000,70038
06043,2000,22595
06045,2000,25357
06047,2000,19847
06049,2000,20674
06051,2000,26583
06053,2000,31795
06055,2000,38503
06057,2000,31596
06059,2000,38205
06061,2000,37778
06063,2000,25992
06065,2000,24431
06067,2000,30001
06069,2000,29224
06071,2000,22720
06073,2000,33869
06075,2000,57037
06077,2000,25103
06079,2000,28290
06081,2000,61297
06083,2000,33631
06085,2000,54738
06087,2000,39966
06089,2000,25580
06091,2000,23539
06093,2000,23018
06095,2000,28400
06097,2000,36903
06099,2000,24260
06101,2000,25959
06103,2000,19428
06105,2000,20520
06107,2000,20014
06109,2000,23972
06111,2000,34159
06113,2000,27865
06115,2000,20003
08000,2000,34029
08001,2000,27029
08003,2000,22335
08005,2000,42669
08007,2000,19911
08009,2000,24328
08011,2000,19415
08013,2000,41654
08014,2000,NA
08015,2000,22492
08017,2000,28355
08019,2000,35797
08021,2000,16100
08023,2000,19034
08025,2000,15933
08027,2000,22101
08029,2000,21599
08031,2000,39281
08033,2000,19990
08035,2000,44375
08037,2000,40102
08039,2000,31640
08041,2000,30780
08043,2000,19375
08045,2000,31103
08047,2000,35339
08049,2000,28834
08051,2000,23922
08053,2000,23070
08055,2000,17765
08057,2000,20670
08059,2000,38615
08061,2000,30636
08063,2000,25262
08065,2000,20974
08067,2000,28370
08069,2000,30898
08071,2000,20712
08073,2000,18438
08075,2000,24197
08077,2000,25644
08079,2000,23460
08081,2000,23345
08083,2000,22930
08085,2000,22997
08087,2000,22021
08089,2000,22993
08091,2000,27078
08093,2000,29833
08095,2000,25789
08097,2000,81354
08099,2000,22369
08101,2000,23714
08103,2000,24773
08105,2000,22976
08107,2000,34286
08109,2000,17803
08111,2000,25265
08113,2000,37527
08115,2000,24747
08117,2000,35904
08119,2000,30809
08121,2000,21986
