fips,year,income_adjusted_to_2000
00000,1998,29177
01000,1998,24001
01001,1998,23286
01003,1998,26098
01005,1998,18577
01007,1998,16981
01009,1998,20241
01011,1998,16538
01013,1998,18547
01015,1998,22232
01017,1998,20151
01019,1998,18619
01021,1998,19554
01023,1998,19413
01025,1998,20036
01027,1998,20310
01029,1998,19459
01031,1998,24302
01033,1998,21620
01035,1998,20347
01037,1998,18227
01039,1998,20283
01041,1998,21514
01043,1998,22356
01045,1998,21752
01047,1998,19278
01049,1998,20815
01051,1998,23830
01053,1998,18648
01055,1998,21513
01057,1998,19365
01059,1998,20137
01061,1998,21007
01063,1998,16673
01065,1998,16396
01067,1998,19932
01069,1998,24618
01071,1998,20737
01073,1998,29646
01075,1998,19802
01077,1998,22423
01079,1998,20261
01081,1998,20812
01083,1998,22627
01085,1998,16832
01087,1998,16262
01089,1998,29105
01091,1998,21223
01093,1998,19736
01095,1998,22443
01097,1998,22569
01099,1998,19754
01101,1998,27669
01103,1998,25437
01105,1998,16370
01107,1998,18887
01109,1998,21018
01111,1998,18968
01113,1998,19663
01115,1998,21453
01117,1998,32856
01119,1998,17110
01121,1998,19292
01123,1998,22290
01125,1998,24448
01127,1998,22018
01129,1998,18285
01131,1998,15443
01133,1998,20560
02000,1998,30975
02010,1998,NA
02013,1998,21431
02016,1998,22905
02020,1998,34903
02050,1998,21029
02060,1998,34745
02063,1998,NA
02066,1998,NA
02068,1998,34128
02070,1998,28114
02090,1998,28218
02100,1998,32070
02105,1998,NA
02110,1998,37292
02122,1998,27445
02130,1998,35462
02150,1998,27917
02158,1998,14751
02164,1998,19664
02170,1998,26436
02180,1998,23092
02185,1998,47134
02188,1998,23596
02195,1998,NA
02198,1998,NA
02201,1998,21830
02220,1998,29667
02230,1998,NA
02231,1998,NA
02232,1998,27748
02240,1998,22909
02261,1998,32366
02275,1998,NA
02280,1998,28932
02282,1998,28423
02290,1998,20046
02901,1998,NA
02903,1998,NA
02904,1998,NA
02905,1998,NA
02907,1998,NA
02908,1998,NA
02910,1998,NA
02912,1998,NA
02916,1998,NA
02919,1998,NA
02920,1998,NA
02921,1998,NA
02922,1998,NA
02923,1998,NA
02924,1998,NA
02925,1998,NA
02926,1998,NA
02928,1998,NA
02929,1998,NA
04000,1998,25594
04001,1998,13700
04003,1998,20086
04005,1998,22636
04007,1998,19584
04009,1998,15208
04011,1998,21831
04012,1998,15370
04013,1998,28619
04015,1998,18757
04017,1998,15064
04019,1998,24482
04021,1998,17327
04023,1998,17726
04025,1998,21886
04027,1998,18999
05000,1998,22455
05001,1998,23910
05003,1998,22190
05005,1998,22583
05007,1998,30099
05009,1998,21061
05011,1998,19548
05013,1998,18701
05015,1998,19015
05017,1998,18337
05019,1998,18528
05021,1998,19342
05023,1998,21938
05025,1998,21579
05027,1998,21350
05029,1998,21870
05031,1998,21716
05033,1998,18491
05035,1998,20547
05037,1998,19324
05039,1998,20119
05041,1998,18804
05043,1998,20226
05045,1998,23229
05047,1998,20217
05049,1998,15642
05051,1998,24251
05053,1998,22129
05055,1998,19318
05057,1998,19451
05059,1998,18283
05061,1998,22009
05063,1998,21463
05065,1998,17622
05067,1998,20181
05069,1998,19930
05071,1998,18398
05073,1998,17991
05075,1998,18557
05077,1998,14780
05079,1998,16154
05081,1998,20245
05083,1998,19099
05085,1998,22793
05087,1998,19177
05089,1998,16977
05091,1998,20827
05093,1998,19124
