"","exposure_year","acee_2010","acee_2014","acee_2016","acee_2018","acee_2020","wtd_pop_size","iter"
"2010",2005,0.0118892538967306,0.0123517433454177,0.0126215138375991,0.0201993160542282,0.0260171449856043,69943.7800355481,1
"20101",2005,0.00189237986638024,0.00654770774014557,0.00278642420687703,0.00825694997537707,0.00561315315344346,110152.118496773,2
"20102",2005,0.00254972099691153,0.00172149511731545,-0.00241479859937388,-0.00193426400577512,0.000977773424986506,81253.4474994897,3
"20103",2005,-0.00995876856867095,-0.0100072555088134,-0.0105849244709749,-0.00878458166327822,-0.0131320298196688,40710.965670025,4
"20104",2005,-0.00629496331071466,-0.0115805220169538,-0.0100538751566194,-0.00924903897566198,-0.0103220680397068,113011.728471895,5
"20105",2005,-0.010027037953503,-0.00640152986914633,-0.00887631088237817,-0.0160411958633392,-0.0146098864432215,68836.3186122399,6
"20106",2005,0.00740189965419102,0.010898358076264,0.0154810615835683,0.00532458323567409,0.00956969809933406,93395.6687171662,7
"20107",2005,0.00284272776643479,0.00325475969965061,0.0037204523445038,0.00770519438719608,0.0127212627262661,107552.849497656,8
"20108",2005,0.000957978955669403,0.00469970856538898,0.00824583537746321,0.00446771621020364,0.000297499859918948,78975.5653428685,9
"20109",2005,-0.00256384250629138,-0.00452845567440885,-0.00749580546597406,-0.00476154974296594,0.000467375215119192,76089.5660749511,10
"201010",2005,0.00314408908093178,0.00655631794824207,0.0112948829948089,0.0143423446419209,0.0147798164046711,62796.0999690033,11
"201011",2005,-0.0018190828477137,-0.0105894013633501,-0.00846942193822686,-0.00765104072129075,-0.0066800632590549,94265.4102475619,12
"201012",2005,-0.00985556184369463,-0.00764564202616791,-0.0110441311537975,-0.0185653674624124,-0.0188568512057175,79845.929781127,13
"201013",2005,0.00611359658048283,0.00185732132469241,0.0042198163344036,0.00456051231607979,0.00678568806185131,75347.2362471622,14
"201014",2005,-0.004056301976338,-0.00557304128992842,-0.0066822617719885,-0.00835651096311435,-0.0124245246162851,83719.2286473324,15
"201015",2005,0.00514735417520029,0.00373165128705322,0.00687691587030614,0.00700254521758881,0.00995762554622581,78492.0828902523,16
"201016",2005,0.00489492749848763,-0.00308908592127249,0.00298692535066669,0.00414720061039903,0.00723929335763701,93444.0650992116,17
"201017",2005,-0.0074474860785233,-0.006596540279456,-0.00583966737438957,-0.000399547579199688,0.00032938883128153,63072.5845698932,18
"201018",2005,0.000706819603758624,0.000225992786701434,-0.000281070952517948,0.00465317838678869,0.00926301406110608,62779.4263358287,19
"201019",2005,0.00350092836267157,0.00163699991273003,0.00499928217620205,0.00829670183009257,0.00835653121866342,47796.6566852872,20
"201020",2005,-0.00386857019730724,0.001318888936651,0.000529685791915147,-0.00246715066398129,-0.00164378554600264,102155.090491895,21
"201021",2005,-0.000907589513468143,0.00448132665083956,0.00643789007160378,0.0116919705935922,0.00757551998416772,74720.2903054249,22
"201022",2005,0.00995655149317387,-0.00153044443558492,0.00181978606297861,0.0119049629984106,0.00593323079283459,71397.8809186614,23
"201023",2005,0.0117266270961979,0.00883203119961684,0.00778671756564464,0.00202411626092014,0.00185892827070055,68323.8338682714,24
"201024",2005,-0.00743660195547591,-0.0101923604112518,-0.0096230355837017,-0.00871740239693608,-0.00753398387484105,108843.509392668,25
"201025",2005,-0.00335583572476827,-0.00568668269096928,-0.000263280752869965,0.00138707333610311,0.00687855861869446,90808.5810000662,26
"201026",2005,0.00728758284020814,0.00582473980110787,0.00280718266218438,0.00732880866671981,0.0060408920680034,57864.5330079807,27
"201027",2005,-0.00203203997921242,-0.00150541679765337,-0.00160729501639778,0.00105380856685822,0.00457473656318352,79292.2184635686,28
"201028",2005,0.0110205674029248,0.0127518178812043,0.0136827942504436,0.0106859605611551,0.00881832764976492,112307.385695488,29
