"","fips","2000","2010","2014","2016","2018","2020"
"91","02270",0.9863,0.9895,0.9895,NA,NA,NA
"92","02280",0.2805,NA,NA,NA,NA,NA
"93","02282",0.45,0.0232,0.1079,0.1382,0.2115,0.3692
"94","02290",0.9308,0.9042,0.8937,0.8914,0.8873,0.8514
"95","04001",0.9958,0.9917,0.9917,0.985,0.9793,0.8972
"96","04003",0.6621,0.5119,0.5692,0.6651,0.6732,0.6903
"97","04005",0.6394,0.5056,0.6355,0.6167,0.6373,0.8132
"98","04007",0.7566,0.6593,0.8077,0.83,0.8573,0.7629
"99","04009",0.9254,0.8535,0.8488,0.8959,0.8901,0.6868
"100","04011",0.5031,0.5365,0.5374,0.5422,0.5178,0.1206
"101","04012",0.8264,0.7084,0.8029,0.893,0.9105,0.9099
"102","04013",0.25,0.3493,0.4585,0.4374,0.4175,0.6534
"103","04015",0.6184,0.6883,0.8052,0.7985,0.7541,0.8071
"104","04017",0.9621,0.9128,0.9621,0.9592,0.9599,0.9252
"105","04019",0.3621,0.4546,0.5727,0.6033,0.6061,0.7728
"106","04021",0.7627,0.5263,0.7007,0.709,0.6962,0.668
"107","04023",0.948,0.9698,0.9417,0.9255,0.9497,0.985
"108","04025",0.2015,0.2935,0.4766,0.4358,0.4411,0.6143
"109","04027",0.9232,0.9137,0.9236,0.936,0.9408,0.9739
"110","05001",0.7509,0.6504,0.5696,0.7533,0.7459,0.4507
"111","05003",0.7815,0.8026,0.7889,0.8208,0.828,0.6158
"112","05005",0.3598,0.5893,0.5428,0.4731,0.4268,0.4596
"113","05007",0.1926,0.2824,0.2292,0.2152,0.1742,0.1782
"114","05009",0.591,0.5785,0.6301,0.7033,0.5207,0.3606
"115","05011",0.9589,0.8351,0.7733,0.9207,0.8761,0.8262
"116","05013",0.7203,0.6463,0.6377,0.7096,0.6761,0.5344
"117","05015",0.7073,0.7211,0.625,0.6399,0.5506,0.5847
"118","05017",0.9735,0.9927,0.9309,0.9379,0.9363,0.9609
"119","05019",0.7066,0.8367,0.8032,0.7819,0.5443,0.6229
"120","05021",0.8248,0.8828,0.8793,0.8227,0.8029,0.6595
"121","05023",0.4713,0.6848,0.6145,0.6078,0.5102,0.4398
"122","05025",0.7025,0.6106,0.687,0.7466,0.6401,0.2307
"123","05027",0.8442,0.8052,0.794,0.8373,0.8978,0.7813
"124","05029",0.7429,0.6154,0.6842,0.7128,0.6847,0.6321
"125","05031",0.6414,0.6565,0.5954,0.5333,0.5662,0.6362
"126","05033",0.7589,0.6877,0.6724,0.695,0.6121,0.6139
"127","05035",0.9085,0.9354,0.8889,0.8679,0.893,0.9287
"128","05037",0.8694,0.7453,0.7959,0.7746,0.6809,0.8068
"129","05039",0.8818,0.8411,0.5893,0.6937,0.6662,0.5404
"130","05041",0.9576,0.9647,0.9456,0.979,0.9726,0.8431
"131","05043",0.8226,0.8752,0.923,0.9389,0.7424,0.3374
"132","05045",0.5003,0.4311,0.3263,0.3693,0.4334,0.4752
"133","05047",0.7652,0.7157,0.7927,0.8434,0.7041,0.6779
"134","05049",0.6945,0.8628,0.7278,0.7943,0.8551,0.7775
"135","05051",0.4216,0.5769,0.6422,0.6466,0.6376,0.7371
"136","05053",0.3649,0.2757,0.4982,0.432,0.5051,0.1521
"137","05055",0.6531,0.7173,0.7004,0.6991,0.7016,0.6935
"138","05057",0.8917,0.8004,0.8746,0.9096,0.8382,0.6808
"139","05059",0.6512,0.7163,0.5785,0.646,0.7984,0.4892
"140","05061",0.6936,0.7685,0.8007,0.7431,0.7443,0.8399
"141","05063",0.6366,0.6667,0.731,0.6667,0.6344,0.5143
"142","05065",0.6359,0.7386,0.7997,0.8555,0.8328,0.7489
"143","05067",0.8286,0.9653,0.8717,0.9032,0.8968,0.8835
"144","05069",0.841,0.873,0.8415,0.8637,0.8803,0.7966
"145","05071",0.8624,0.8211,0.7408,0.7714,0.7838,0.7263
"146","05073",0.9226,0.8863,0.9513,0.8424,0.7271,0.8297
"147","05075",0.8302,0.921,0.8144,0.8672,0.7978,0.6184
"148","05077",0.9917,0.993,0.9955,0.9959,0.9898,0.9698
"149","05079",0.8445,0.9701,0.9815,0.9522,0.7277,0.3806
"150","05081",0.7436,0.7752,0.5871,0.7619,0.6643,0.3625
"151","05083",0.7292,0.7192,0.6724,0.7736,0.8475,0.5134
"152","05085",0.3681,0.4413,0.3868,0.3569,0.3634,0.3237
"153","05087",0.6742,0.6628,0.787,0.6132,0.7564,0.6999
"154","05089",0.6248,0.5823,0.7568,0.8188,0.8318,0.6394
