"","fips","2000","2010","2014","2016","2018","2020"
"91","02270",0.9595,0.9357,0.8806,NA,NA,NA
"92","02280",0.6012,NA,NA,NA,NA,NA
"93","02282",0.8716,0.5381,0.8586,0.8255,0.7663,0.9554
"94","02290",0.7805,0.7065,0.7205,0.581,0.5422,0.9809
"95","04001",0.9901,0.9793,0.972,0.9723,0.9761,0.9838
"96","04003",0.9353,0.9245,0.9204,0.9239,0.9226,0.8469
"97","04005",0.9292,0.9124,0.8965,0.8755,0.8749,0.8549
"98","04007",0.8308,0.731,0.7921,0.8074,0.8093,0.7718
"99","04009",0.8939,0.9092,0.9061,0.9077,0.8902,0.8724
"100","04011",0.8987,0.8415,0.8943,0.8984,0.915,0.8921
"101","04012",0.92,0.9131,0.9096,0.9175,0.9051,0.8186
"102","04013",0.9267,0.9344,0.9242,0.9242,0.9274,0.8469
"103","04015",0.7191,0.6925,0.7268,0.7233,0.7081,0.5996
"104","04017",0.9662,0.9414,0.9414,0.9424,0.9341,0.9179
"105","04019",0.9308,0.9293,0.921,0.9233,0.9277,0.8711
"106","04021",0.9356,0.9086,0.8978,0.8991,0.8962,0.8285
"107","04023",0.9971,0.9961,0.9962,0.9949,0.9959,0.9876
"108","04025",0.7159,0.7224,0.6858,0.6858,0.6609,0.5481
"109","04027",0.985,0.9882,0.9889,0.9898,0.9898,0.9621
"110","05001",0.4458,0.753,0.6256,0.4785,0.3715,0.6964
"111","05003",0.7837,0.6731,0.6899,0.6762,0.7415,0.7066
"112","05005",0.049,0.1476,0.1757,0.1703,0.0729,0.1903
"113","05007",0.7595,0.808,0.8074,0.7953,0.8087,0.6805
"114","05009",0.1012,0.2915,0.0961,0.0748,0.0637,0.1655
"115","05011",0.8764,0.9016,0.8787,0.8937,0.8943,0.837
"116","05013",0.4993,0.5945,0.3056,0.2996,0.312,0.6544
"117","05015",0.7926,0.732,0.7603,0.7781,0.7813,0.5732
"118","05017",0.8767,0.7488,0.7635,0.801,0.8271,0.9316
"119","05019",0.7754,0.6737,0.5718,0.6135,0.6351,0.7027
"120","05021",0.0687,0.1008,0.1929,0.0735,0.0544,0.0977
"121","05023",0.0878,0.203,0.2264,0.1137,0.0417,0.1569
"122","05025",0.5369,0.2759,0.3028,0.4744,0.383,0.4701
"123","05027",0.5624,0.5146,0.5801,0.7284,0.723,0.8004
"124","05029",0.5519,0.5289,0.4766,0.5247,0.5622,0.5274
"125","05031",0.6191,0.5951,0.5677,0.5868,0.6062,0.6251
"126","05033",0.5687,0.6317,0.617,0.5731,0.5785,0.4854
"127","05035",0.8296,0.6715,0.5365,0.66,0.6714,0.9192
"128","05037",0.5328,0.3456,0.397,0.411,0.3512,0.6528
"129","05039",0.7363,0.5041,0.7561,0.752,0.7058,0.859
"130","05041",0.8111,0.8481,0.8504,0.8695,0.9124,0.901
"131","05043",0.6974,0.5903,0.6043,0.4311,0.391,0.7237
"132","05045",0.513,0.6304,0.4928,0.4457,0.5244,0.5541
"133","05047",0.405,0.232,0.233,0.3095,0.2677,0.2778
"134","05049",0.0563,0.0681,0.0834,0.1891,0.1741,0.1181
"135","05051",0.5742,0.6075,0.5613,0.5683,0.6049,0.5261
"136","05053",0.2124,0.2991,0.1948,0.135,0.1277,0.2276
"137","05055",0.1627,0.1514,0.1009,0.0907,0.1515,0.2658
"138","05057",0.9312,0.9054,0.9191,0.9223,0.914,0.8501
"139","05059",0.4369,0.3539,0.4285,0.4209,0.4043,0.5137
"140","05061",0.8566,0.859,0.8637,0.8656,0.8631,0.7514
"141","05063",0.4152,0.5821,0.5546,0.5253,0.5552,0.3819
"142","05065",0.2869,0.1187,0.1235,0.0414,0.1184,0.3421
"143","05067",0.3707,0.4984,0.3321,0.3747,0.2865,0.6034
"144","05069",0.7168,0.653,0.609,0.6275,0.6457,0.9338
"145","05071",0.7054,0.7501,0.7071,0.7335,0.7647,0.5656
"146","05073",0.6799,0.562,0.5288,0.4365,0.5307,0.8065
"147","05075",0.0716,0.0346,0.0458,0.1032,0.0901,0.1655
"148","05077",0.6375,0.6635,0.6507,0.49,0.7698,0.9208
"149","05079",0.4557,0.6836,0.432,0.6772,0.639,0.7495
"150","05081",0.5022,0.3068,0.3037,0.3407,0.3505,0.6489
"151","05083",0.2528,0.3189,0.4626,0.5272,0.4132,0.3616
"152","05085",0.4079,0.3831,0.4094,0.4234,0.4556,0.4443
"153","05087",0.5057,0.4589,0.4766,0.5358,0.5256,0.3705
"154","05089",0.0757,0.0372,0.0869,0.0895,0.0573,0.1655
"155","05091",0.535,0.6473,0.3585,0.4244,0.3792,0.7066
"156","05093",0.7165,0.7056,0.6297,0.6934,0.7638,0.8151
"157","05095",0.6035,0.7119,0.4814,0.5648,0.4706,0.8536
"158","05097",0.4761,0.2498,0.3066,0.3824,0.4578,0.289
"159","05099",0.7799,0.366,0.4639,0.3639,0.377,0.767
"160","05101",0.0949,0.0983,0.0605,0.0478,0.0614,0.2046
"161","05103",0.4614,0.5477,0.6584,0.688,0.5078,0.8444
"162","05105",0.2207,0.1273,0.1525,0.0981,0.1041,0.2702
"163","05107",0.6936,0.6104,0.6686,0.6339,0.5677,0.9478
"164","05109",0.5557,0.4942,0.602,0.6119,0.588,0.4243
"165","05111",0.4289,0.2597,0.2875,0.2665,0.3053,0.4367
"166","05113",0.4878,0.5884,0.4916,0.5384,0.5196,0.4007
"167","05115",0.4261,0.5884,0.6374,0.6705,0.6711,0.4854
"168","05117",0.2949,0.3876,0.2041,0.2012,0.2174,0.4682
"169","05119",0.7843,0.8656,0.8383,0.8418,0.8481,0.8666
"170","05121",0.3796,0.2428,0.0513,0.0535,0.2706,0.2336
"171","05123",0.5232,0.7896,0.837,0.8516,0.6428,0.9262
"172","05125",0.3054,0.4153,0.4486,0.5215,0.5524,0.4914
"173","05127",0.6617,0.5426,0.6176,0.6253,0.4877,0.4777
"174","05129",0.0675,0.1581,0.1398,0.1719,0.2057,0.2966
"175","05131",0.8219,0.8386,0.8329,0.8309,0.8351,0.6938
"176","05133",0.9047,0.9363,0.9341,0.9328,0.936,0.8195
"177","05135",0.1544,0.1607,0.3362,0.2467,0.1057,0.2508
"178","05137",0.1191,0.0894,0.1124,0.1312,0.0751,0.212
"179","05139",0.5378,0.7345,0.6931,0.6797,0.6934,0.7877
"180","05141",0.1681,0.1311,0.2926,0.156,0.1086,0.2148
"181","05143",0.7843,0.844,0.8459,0.8402,0.8348,0.69
"182","05145",0.3331,0.4376,0.418,0.4731,0.4973,0.3845
"183","05147",0.4038,0.3376,0.3266,0.3203,0.3346,0.6862
"184","05149",0.8414,0.8475,0.8252,0.8386,0.8332,0.6251
"185","06001",0.9808,0.9837,0.9815,0.9812,0.9806,0.9621
"186","06003",0.7563,0.7854,0.7841,0.6784,0.609,0.8686
"187","06005",0.6461,0.6343,0.6603,0.673,0.6192,0.5977
"188","06007",0.8146,0.7982,0.7826,0.7826,0.7953,0.6655
"189","06009",0.5388,0.5693,0.568,0.4986,0.5135,0.5439
"190","06011",0.9828,0.9856,0.9838,0.9838,0.9847,0.9459
"191","06013",0.9423,0.956,0.9522,0.9554,0.9564,0.9115
"192","06015",0.8611,0.837,0.845,0.8294,0.8017,0.7801
"193","06017",0.7146,0.7141,0.6969,0.7077,0.6937,0.5907
"194","06019",0.9875,0.9888,0.9892,0.9901,0.9892,0.9679
"195","06021",0.9474,0.9468,0.9491,0.9542,0.9542,0.8717
"196","06023",0.7226,0.7326,0.7138,0.7252,0.7459,0.6416
"197","06025",0.9958,0.9971,0.9984,0.9984,0.9984,0.994
"198","06027",0.848,0.8653,0.8507,0.8472,0.8535,0.7801
"199","06029",0.9745,0.9821,0.9799,0.9793,0.9799,0.9526
"200","06031",0.9834,0.9872,0.9825,0.9822,0.9828,0.9583
"201","06033",0.7812,0.8243,0.815,0.8344,0.8319,0.6929
"202","06035",0.7156,0.8249,0.8064,0.8058,0.7832,0.7377
"203","06037",0.9929,0.9939,0.9933,0.993,0.9933,0.9736
"204","06039",0.9812,0.9853,0.9847,0.9841,0.9847,0.9507
"205","06041",0.8525,0.8494,0.8418,0.8456,0.8415,0.6747
"206","06043",0.4398,0.5852,0.5912,0.5966,0.618,0.5656
"207","06045",0.8697,0.8761,0.8797,0.8809,0.8841,0.7495
"208","06047",0.9885,0.9894,0.9911,0.9908,0.992,0.972
"209","06049",0.7796,0.7597,0.7943,0.772,0.7822,0.5923
"210","06051",0.8735,0.8889,0.9004,0.8997,0.8762,0.7377
"211","06053",0.9894,0.9926,0.9924,0.9924,0.993,0.9653
"212","06055",0.9203,0.9455,0.9459,0.9465,0.9491,0.8654
"213","06057",0.5961,0.5967,0.5979,0.5817,0.5524,0.4605
"214","06059",0.9732,0.9739,0.9726,0.9729,0.9723,0.9239
"215","06061",0.7426,0.7683,0.7587,0.7558,0.7437,0.6617
"216","06063",0.492,0.5658,0.5591,0.5533,0.547,0.5137
"217","06065",0.9675,0.9767,0.9745,0.9742,0.9736,0.9468
"218","06067",0.9452,0.9557,0.9542,0.9548,0.9535,0.9064
"219","06069",0.9799,0.984,0.9787,0.978,0.9771,0.9507
"220","06071",0.9786,0.9824,0.9803,0.9825,0.9825,0.9701
"221","06073",0.9582,0.9595,0.9586,0.957,0.9561,0.8978
"222","06075",0.9859,0.9786,0.9777,0.9764,0.9742,0.9239
"223","06077",0.978,0.9828,0.9819,0.9809,0.9812,0.9615
"224","06079",0.8417,0.8392,0.8462,0.8488,0.8405,0.7024
"225","06081",0.9687,0.971,0.971,0.9713,0.9682,0.9325
"226","06083",0.9589,0.9669,0.9669,0.9663,0.9672,0.9058
"227","06085",0.9831,0.984,0.9822,0.9819,0.9815,0.9621
"228","06087",0.9359,0.9369,0.9338,0.9331,0.9325,0.8195
"229","06089",0.6477,0.6196,0.6371,0.6071,0.6202,0.564
"230","06091",0.5585,0.6435,0.667,0.5638,0.2646,0.3682
"231","06093",0.7308,0.7211,0.6851,0.709,0.6928,0.6155
"232","06095",0.9522,0.9633,0.9561,0.9557,0.958,0.9392
"233","06097",0.8863,0.9026,0.8968,0.8956,0.8981,0.767
"234","06099",0.9566,0.9672,0.9672,0.9678,0.9701,0.9211
"235","06101",0.9509,0.9637,0.9612,0.9621,0.9643,0.8962
"236","06103",0.8493,0.8631,0.8434,0.8513,0.8469,0.7126
"237","06105",0.2707,0.3803,0.3569,0.5342,0.5304,0.5439
"238","06107",0.9872,0.9901,0.9911,0.9917,0.9927,0.9694
"239","06109",0.5566,0.6021,0.6154,0.5705,0.5505,0.5541
"240","06111",0.9582,0.9624,0.9621,0.9634,0.9628,0.8978
"241","06113",0.9506,0.9554,0.9526,0.9507,0.9497,0.8934
"242","06115",0.9305,0.9341,0.9293,0.9226,0.9303,0.853
"243","08014",0.83555,0.8009,0.78766,0.77834,0.77734,0.67836
"244","08003",0.9385,0.9191,0.9089,0.9067,0.9331,0.888
"245","08005",0.8671,0.9073,0.8911,0.8905,0.8946,0.7992
"246","08007",0.6257,0.5776,0.5973,0.6132,0.6224,0.6073
"247","08009",0.5136,0.45,0.5428,0.6195,0.68,0.4758
"248","08011",0.8805,0.8781,0.8886,0.879,0.8313,0.8224
"249","08015",0.6535,0.5327,0.5982,0.5107,0.4432,0.4535
"250","08017",0.6531,0.5553,0.6613,0.595,0.6931,0.493
"251","08019",0.3222,0.3042,0.2254,0.2763,0.4833,0.3736
"252","08021",0.9484,0.9226,0.928,0.9344,0.9175,0.8988
"253","08023",0.9869,0.9802,0.9341,0.9755,0.9787,0.9497
"254","08025",0.828,0.9137,0.9201,0.879,0.8507,0.8552
"255","08027",0.1515,0.1183,0.1331,0.4632,0.5552,0.4411
"256","08029",0.7414,0.669,0.6192,0.6571,0.6644,0.5382
"257","08031",0.9678,0.9532,0.943,0.9386,0.9382,0.8511
"258","08033",0.4538,0.133,0.1729,0.0987,0.127,0.5589
"259","08035",0.5289,0.5235,0.5597,0.5142,0.503,0.5274
"260","08037",0.8977,0.9121,0.8927,0.8873,0.8886,0.7222
"261","08039",0.3038,0.2568,0.4082,0.4078,0.2025,0.4055
"262","08041",0.7719,0.7641,0.7571,0.7539,0.7539,0.7015
"263","08043",0.6971,0.7106,0.7908,0.6673,0.6765,0.5656
"264","08045",0.8452,0.8927,0.8762,0.8685,0.8685,0.7091
"265","08047",0.3773,0.322,0.1611,0.3324,0.2763,0.4367
"266","08049",0.5308,0.5556,0.4731,0.517,0.5333,0.4341
"267","08051",0.5812,0.6705,0.5014,0.5282,0.3426,0.4211
"268","08053",0.4942,0.0977,0.0277,0.0713,0.1404,0.4233
"269","08055",0.82,0.8087,0.5938,0.4416,0.7147,0.7747
"270","08057",0.3598,0.1861,0.6202,0.6304,0.6772,0.3934
"271","08061",0.1952,0.2593,0.3021,0.3181,0.384,0.1445
"272","08063",0.8047,0.8189,0.8023,0.8281,0.8058,0.5815
"273","08065",0.9496,0.9382,0.8841,0.8889,0.8682,0.7171
"274","08067",0.6719,0.5391,0.5536,0.5323,0.4801,0.5802
"275","08069",0.6522,0.6091,0.5712,0.5447,0.5982,0.5172
"276","08071",0.8605,0.7998,0.8303,0.8112,0.8481,0.859
"277","08073",0.5891,0.7014,0.8574,0.8535,0.8548,0.69
"278","08075",0.7353,0.6893,0.7501,0.7466,0.7752,0.6104
"279","08077",0.6388,0.654,0.5603,0.5791,0.5982,0.5363
"280","08079",0.1589,0.0518,0.1407,0.334,0.2728,0.5115
"281","08081",0.7149,0.7036,0.6864,0.7004,0.6975,0.5541
"282","08083",0.6987,0.6123,0.5285,0.5571,0.5536,0.656
"283","08085",0.7914,0.8026,0.7647,0.7883,0.8048,0.6114
"284","08087",0.9343,0.9229,0.929,0.9271,0.9306,0.8119
"285","08089",0.9283,0.8243,0.8883,0.8838,0.8863,0.8625
"286","08091",0.3305,0.3163,0.3922,0.3467,0.3317,0.1945
"287","08093",0.2907,0.5295,0.2381,0.2069,0.1964,0.3845
"288","08095",0.7818,0.8259,0.8736,0.7514,0.8379,0.6964
"289","08097",0.6617,0.6715,0.5368,0.5088,0.4941,0.4682
"290","08099",0.9337,0.887,0.8895,0.8962,0.9032,0.8071
"291","08101",0.8726,0.8329,0.852,0.8103,0.7606,0.8673
"292","08103",0.5611,0.7374,0.673,0.4511,0.5963,0.4841
"293","08105",0.9219,0.8984,0.8988,0.915,0.9201,0.8663
"294","08107",0.4668,0.5009,0.5559,0.5938,0.5492,0.3794
"295","08109",0.9694,0.935,0.9312,0.921,0.9153,0.8036
"296","08111",0.5605,0.2199,0.7058,0.2824,0.4285,0.6232
"297","08113",0.6949,0.7021,0.6033,0.4266,0.5657,0.4443
"298","08115",0.6579,0.598,0.3687,0.5119,0.5536,0.5691
"299","08117",0.8003,0.7845,0.7609,0.7574,0.7526,0.5363
"300","08119",0.2222,0.4118,0.2907,0.2989,0.3528,0.4271
"301","08121",0.5767,0.6546,0.5135,0.432,0.5084,0.4233
"302","08125",0.7961,0.8348,0.8278,0.8329,0.8437,0.6327
"303","09001",0.8859,0.8911,0.9019,0.9013,0.9077,0.7826
"304","09003",0.8703,0.8822,0.8816,0.8848,0.8905,0.7934
"305","09005",0.4821,0.4672,0.5065,0.5183,0.5374,0.3908
"306","09007",0.5971,0.5738,0.5635,0.5804,0.5842,0.4981
"307","09009",0.8474,0.8516,0.8621,0.8634,0.8676,0.7718
"308","09011",0.6831,0.7469,0.7539,0.7342,0.7558,0.6251
"309","09013",0.5146,0.4726,0.4779,0.4709,0.5002,0.4854
"310","09015",0.6716,0.6613,0.6714,0.7014,0.7007,0.5181
"311","10001",0.7464,0.7915,0.7313,0.7402,0.7819,0.7877
"312","10003",0.8382,0.8539,0.8609,0.8602,0.8504,0.8256
"313","10005",0.7936,0.7889,0.7851,0.7775,0.7679,0.627
"314","11001",0.964,0.8994,0.9115,0.9214,0.9223,0.9405
"315","12001",0.7471,0.7896,0.7424,0.745,0.7615,0.789
