year,fips,income_adjusted_to_2000
2001,00000,30779
2001,01000,24393
2001,01001,23979
2001,01003,26493
2001,01005,19450
2001,01007,17323
2001,01009,20644
2001,01011,16312
2001,01013,20453
2001,01015,22538
2001,01017,21157
2001,01019,19128
2001,01021,20386
2001,01023,19374
2001,01025,19398
2001,01027,19721
2001,01029,19884
2001,01031,24639
2001,01033,21121
2001,01035,19465
2001,01037,19350
2001,01039,20916
2001,01041,21503
2001,01043,22872
2001,01045,21708
2001,01047,19695
2001,01049,20547
2001,01051,23382
2001,01053,18756
2001,01055,21710
2001,01057,19036
2001,01059,20709
2001,01061,21330
2001,01063,18066
2001,01065,16865
2001,01067,20809
2001,01069,26115
2001,01071,21585
2001,01073,30656
2001,01075,19622
2001,01077,22772
2001,01079,20138
2001,01081,20768
2001,01083,22410
2001,01085,18717
2001,01087,16345
2001,01089,29400
2001,01091,21354
2001,01093,18398
2001,01095,22728
2001,01097,22516
2001,01099,19744
2001,01101,27591
2001,01103,25047
2001,01105,17013
2001,01107,19810
2001,01109,21524
2001,01111,18939
2001,01113,21012
2001,01115,21967
2001,01117,34169
2001,01119,17102
2001,01121,19718
2001,01123,21722
2001,01125,24700
2001,01127,22079
2001,01129,18678
2001,01131,16508
2001,01133,20561
2001,02000,32735
2001,02010,NA
2001,02013,32387
2001,02016,21219
2001,02020,36862
2001,02050,23756
2001,02060,31636
2001,02063,NA
2001,02066,NA
2001,02068,38431
2001,02070,25952
2001,02090,29246
2001,02100,30368
2001,02105,NA
2001,02110,38485
2001,02122,29618
2001,02130,38045
2001,02150,29898
2001,02158,16347
2001,02164,28094
2001,02170,28662
2001,02180,23678
2001,02185,44905
2001,02188,25034
2001,02195,NA
2001,02198,NA
2001,02201,21247
2001,02220,32846
2001,02230,NA
2001,02231,NA
2001,02232,30630
2001,02240,23438
2001,02261,31505
2001,02275,NA
2001,02280,34876
2001,02282,27523
2001,02290,23626
2001,02901,NA
2001,02903,NA
2001,02904,NA
2001,02905,NA
2001,02907,NA
2001,02908,NA
2001,02910,NA
2001,02912,NA
2001,02916,NA
2001,02919,NA
2001,02920,NA
2001,02921,NA
2001,02922,NA
2001,02923,NA
2001,02924,NA
2001,02925,NA
2001,02926,NA
2001,02928,NA
2001,02929,NA
2001,04000,26292
2001,04001,15914
2001,04003,21649
2001,04005,24286
2001,04007,20026
2001,04009,14820
2001,04011,20644
2001,04012,17006
2001,04013,28988
2001,04015,19846
2001,04017,16241
2001,04019,26041
2001,04021,17822
2001,04023,19284
2001,04025,22034
2001,04027,18286
2001,05000,23240
2001,05001,23276
2001,05003,20962
2001,05005,22260
2001,05007,32785
2001,05009,20671
2001,05011,19630
2001,05013,19599
2001,05015,18870
2001,05017,18613
2001,05019,19576
2001,05021,19452
2001,05023,21718
2001,05025,22296
2001,05027,21126
2001,05029,22167
2001,05031,21938
2001,05033,18919
2001,05035,20992
2001,05037,19402
2001,05039,19379
2001,05041,19298
2001,05043,20003
2001,05045,22706
2001,05047,20218
2001,05049,16492
2001,05051,23807
2001,05053,22686
2001,05055,19551
2001,05057,20516
2001,05059,18861
2001,05061,21530
2001,05063,21684
2001,05065,18781
2001,05067,21389
2001,05069,20561
2001,05071,18764
2001,05073,20326
2001,05075,18793
2001,05077,17026
2001,05079,15869
2001,05081,19636
2001,05083,19496
2001,05085,23769
2001,05087,19984
2001,05089,16889
2001,05091,21149
2001,05093,25579
2001,05095,19135
2001,05097,18447
2001,05099,19965
2001,05101,16411
2001,05103,19358
2001,05105,21455
2001,05107,18572
2001,05109,19097
2001,05111,19868
2001,05113,18202
2001,05115,21408
2001,05117,19611
2001,05119,31543
2001,05121,18213
2001,05123,16868
2001,05125,23761
2001,05127,19423
2001,05129,15998
2001,05131,24548
2001,05133,20852
2001,05135,17375
2001,05137,17410
2001,05139,26333
2001,05141,18554
2001,05143,21949
2001,05145,19455
2001,05147,19078
2001,05149,20669
2001,06000,33144
2001,06001,38381
2001,06003,33181
2001,06005,25942
2001,06007,24162
2001,06009,27327
2001,06011,24125
2001,06013,45647
2001,06015,18457
2001,06017,37526
2001,06019,22939
2001,06021,20951
2001,06023,25179
2001,06025,20219
2001,06027,29300
2001,06029,21828
2001,06031,18060
2001,06033,24230
2001,06035,18661
2001,06037,30100
2001,06039,19650
2001,06041,71768
2001,06043,23710
2001,06045,27197
2001,06047,20322
2001,06049,22021
2001,06051,29252
2001,06053,30891
2001,06055,39960
2001,06057,33051
2001,06059,38204
2001,06061,39561
2001,06063,28191
2001,06065,24920
2001,06067,30803
2001,06069,27044
2001,06071,23070
2001,06073,33415
2001,06075,55371
2001,06077,25615
2001,06079,29654
2001,06081,57098
2001,06083,33112
2001,06085,50121
2001,06087,38672
2001,06089,26839
2001,06091,25034
2001,06093,23864
2001,06095,29476
2001,06097,37222
2001,06099,24261
2001,06101,24910
2001,06103,20209
2001,06105,21657
2001,06107,21084
2001,06109,25072
2001,06111,34754
2001,06113,29093
2001,06115,21061
2001,08000,33972
2001,08003,22276
2001,08005,40442
2001,08007,24100
2001,08009,25390
2001,08011,20466
2001,08014,NA
2001,08015,22928
2001,08017,31658
2001,08019,34985
2001,08021,17203
2001,08023,20117
2001,08025,17061
2001,08027,25248
2001,08029,21371
2001,08031,38754
2001,08033,20629
2001,08035,41805
2001,08037,42546
2001,08039,31984
2001,08041,30346
2001,08043,19992
2001,08045,31018
2001,08047,42469
2001,08049,27162
2001,08051,26059
2001,08053,23450
2001,08055,19100
2001,08057,20747
2001,08061,33636
2001,08063,25649
2001,08065,22039
2001,08067,28343
2001,08069,31281
2001,08071,21587
2001,08073,18905
2001,08075,25629
2001,08077,26622
2001,08079,30936
2001,08081,24442
2001,08083,22917
2001,08085,23597
2001,08087,23402
2001,08089,23135
2001,08091,33379
2001,08093,30023
2001,08095,27069
2001,08097,77828
2001,08099,23294
2001,08101,23639
2001,08103,23268
2001,08105,23035
2001,08107,44190
2001,08109,17265
2001,08111,30584
2001,08113,45651
2001,08115,26965
2001,08117,35924
2001,08119,29362
2001,08121,23319
2001,08125,31345
2001,09000,43956
2001,09001,64641
2001,09003,37873
2001,09005,40814
2001,09007,40209
2001,09009,35862
2001,09011,34261
2001,09013,35516
2001,09015,29839
2001,10000,35944
2001,10001,26223
2001,10003,40922
2001,10005,28073
2001,11000,43682
2001,11001,43682
2001,12000,29612
2001,12001,25488
2001,12003,20570
2001,12005,26027
2001,12007,19229
2001,12009,27754
2001,12011,31520
2001,12013,17725
2001,12015,26044
2001,12017,22725
2001,12019,27607
2001,12021,45198
2001,12023,20867
2001,12027,16924
2001,12029,16606
2001,12031,29085
2001,12033,24848
2001,12035,26061
2001,12037,23151
2001,12039,21286
2001,12041,21722
2001,12043,17519
2001,12045,18368
2001,12047,14303
2001,12049,18168
2001,12051,20016
2001,12053,23952
2001,12055,20921
2001,12057,28829
2001,12059,18938
2001,12061,41257
2001,12063,19764
2001,12065,26183
2001,12067,16028
2001,12069,26125
2001,12071,30416
2001,12073,28516
2001,12075,20500
2001,12077,18774
2001,12079,17779
2001,12081,29824
2001,12083,23625
2001,12085,44871
2001,12086,27602
2001,12087,40098
2001,12089,31829
2001,12091,29549
2001,12093,18617
2001,12095,26210
2001,12097,21088
2001,12099,44502
2001,12101,23636
2001,12103,31949
2001,12105,25027
2001,12107,20205
2001,12109,39045
2001,12111,23398
2001,12113,26529
2001,12115,38509
2001,12117,31789
2001,12119,16988
2001,12121,20087
2001,12123,21803
2001,12125,14273
2001,12127,24922
2001,12129,24128
2001,12131,21493
2001,12133,18718
2001,13000,28973
2001,13001,19294
2001,13003,18333
2001,13005,19840
2001,13007,21724
2001,13009,21833
2001,13011,23013
2001,13013,23085
2001,13015,26194
2001,13017,21042
2001,13019,21329
2001,13021,27604
2001,13023,22996
2001,13025,19165
2001,13027,21094
2001,13029,26796
2001,13031,19667
2001,13033,18025
2001,13035,22551
2001,13037,18050
2001,13039,21466
2001,13043,20623
2001,13045,23060
2001,13047,22905
2001,13049,15497
2001,13051,27931
2001,13053,17879
2001,13055,18515
2001,13057,30459
2001,13059,22205
2001,13061,23515
2001,13063,21714
2001,13065,16699
2001,13067,38077
2001,13069,20493
2001,13071,19842
2001,13073,29891
2001,13075,18937
2001,13077,26979
2001,13079,19861
2001,13081,19844
2001,13083,21356
2001,13085,27676
2001,13087,21732
2001,13089,31564
2001,13091,19204
2001,13093,19230
2001,13095,22440
2001,13097,26179
2001,13099,22126
2001,13101,17632
2001,13103,23098
2001,13105,21301
2001,13107,19390
2001,13109,21815
2001,13111,21543
2001,13113,36826
2001,13115,24523
2001,13117,37294
2001,13119,23527
2001,13121,50375
2001,13123,20902
2001,13125,20602
2001,13127,29479
2001,13129,22333
2001,13131,20336
2001,13133,24684
2001,13135,31712
2001,13137,22987
2001,13139,25220
2001,13141,14447
2001,13143,21345
2001,13145,29291
2001,13147,21955
2001,13149,20223
2001,13151,27652
2001,13153,26413
2001,13155,20574
2001,13157,24291
2001,13159,23499
2001,13161,20533
2001,13163,19163
2001,13165,17988
2001,13167,18639
2001,13169,23217
2001,13171,22002
2001,13173,19292
2001,13175,22905
2001,13177,23964
2001,13179,18785
2001,13181,19950
2001,13183,17282
2001,13185,22715
2001,13187,21837
2001,13189,23508
2001,13191,17780
2001,13193,18917
2001,13195,23930
2001,13197,19627
2001,13199,20037
2001,13201,23399
2001,13205,21644
2001,13207,24880
2001,13209,18297
2001,13211,27087
2001,13213,19983
2001,13215,27262
2001,13217,23798
2001,13219,31453
2001,13221,23008
2001,13223,22055
2001,13225,22525
2001,13227,27571
2001,13229,20970
2001,13231,23486
2001,13233,20225
2001,13235,23342
2001,13237,24981
2001,13239,21518
2001,13241,23698
2001,13243,19040
2001,13245,23399
2001,13247,28058
2001,13249,21157
2001,13251,18255
2001,13253,23395
2001,13255,23245
2001,13257,22464
2001,13259,20022
2001,13261,20949
2001,13263,19709
2001,13265,17390
2001,13267,19048
2001,13269,20153
2001,13271,17830
2001,13273,20730
2001,13275,24977
2001,13277,22591
2001,13279,20448
2001,13281,23155
2001,13283,16296
2001,13285,24599
2001,13287,19058
2001,13289,18089
2001,13291,22176
2001,13293,20689
2001,13295,21683
2001,13297,24281
2001,13299,20401
2001,13301,18490
2001,13303,19215
2001,13305,20210
2001,13307,21524
2001,13309,14461
2001,13311,22765
2001,13313,27511
2001,13315,18985
2001,13317,20886
2001,13319,20506
2001,13321,20716
2001,15000,29428
2001,15001,22342
2001,15003,31475
2001,15007,25146
2001,15901,25801
2001,16000,25115
2001,16001,32843
2001,16003,21102
2001,16005,22059
2001,16007,18415
2001,16009,21393
2001,16011,19653
2001,16013,47335
2001,16015,22817
2001,16017,21693
2001,16019,26127
2001,16021,18103
2001,16023,27854
2001,16025,26487
2001,16027,20339
2001,16029,21233
2001,16031,24434
2001,16033,26706
2001,16035,21050
2001,16037,24383
2001,16039,22650
2001,16041,19468
2001,16043,18526
2001,16045,19599
2001,16047,27104
2001,16049,19931
2001,16051,19750
2001,16053,23681
2001,16055,24570
2001,16057,23400
2001,16059,20404
2001,16061,25342
2001,16063,21352
2001,16065,14162
2001,16067,19165
2001,16069,26381
2001,16071,18091
2001,16073,20428
2001,16075,21130
2001,16077,20629
2001,16079,19487
2001,16081,21518
2001,16083,23551
2001,16085,27726
2001,16087,20112
2001,17000,33390
2001,17001,25678
2001,17003,17273
2001,17005,24622
2001,17007,27532
2001,17009,17902
2001,17011,27322
2001,17013,23236
2001,17015,25710
2001,17017,24408
2001,17019,27773
2001,17021,25300
2001,17023,23299
2001,17025,22225
2001,17027,27378
2001,17029,24005
2001,17031,35374
2001,17033,23601
2001,17035,24748
2001,17037,27177
2001,17039,27188
2001,17041,27630
2001,17043,45706
2001,17045,24740
2001,17047,21959
2001,17049,26152
2001,17051,19510
2001,17053,29652
2001,17055,21587
2001,17057,22873
2001,17059,20350
2001,17061,21503
2001,17063,32776
2001,17065,20692
2001,17067,24101
2001,17069,19445
2001,17071,23294
2001,17073,26461
2001,17075,25189
2001,17077,23451
2001,17079,22191
2001,17081,24129
2001,17083,25978
2001,17085,28342
2001,17087,17755
2001,17089,31830
2001,17091,25571
2001,17093,31049
2001,17095,24852
2001,17097,48191
2001,17099,26026
2001,17101,24836
2001,17103,24005
2001,17105,27101
2001,17107,23631
2001,17109,22563
2001,17111,35082
2001,17113,31259
2001,17115,29470
2001,17117,24384
2001,17119,27336
2001,17121,24062
2001,17123,26300
2001,17125,25115
2001,17127,22199
2001,17129,29710
2001,17131,25190
2001,17133,30698
2001,17135,23021
2001,17137,24776
2001,17139,29389
2001,17141,26353
2001,17143,28728
2001,17145,19869
2001,17147,30492
2001,17149,21584
2001,17151,18942
2001,17153,18648
2001,17155,25665
2001,17157,20924
2001,17159,23279
2001,17161,27451
2001,17163,26338
2001,17165,22603
2001,17167,31334
2001,17169,24495
2001,17171,20319
2001,17173,22705
2001,17175,27101
2001,17177,27348
2001,17179,28320
2001,17181,22171
2001,17183,22923
2001,17185,23051
2001,17187,22476
2001,17189,28953
