year,fips,income_adjusted_to_2000
2010,00000,32251
2010,01000,26919
2010,01001,26771
2010,01003,29295
2010,01005,22081
2010,01007,19868
2010,01009,22189
2010,01011,18598
2010,01013,22683
2010,01015,24580
2010,01017,21779
2010,01019,22340
2010,01021,21864
2010,01023,22159
2010,01025,22672
2010,01027,22163
2010,01029,22251
2010,01031,28104
2010,01033,25160
2010,01035,20866
2010,01037,18922
2010,01039,23419
2010,01041,23847
2010,01043,24284
2010,01045,26092
2010,01047,22209
2010,01049,21317
2010,01051,27242
2010,01053,21292
2010,01055,24060
2010,01057,20815
2010,01059,22159
2010,01061,22960
2010,01063,21101
2010,01065,22912
2010,01067,24516
2010,01069,28171
2010,01071,23477
2010,01073,33458
2010,01075,21180
2010,01077,24671
2010,01079,21999
2010,01081,23858
2010,01083,27104
2010,01085,24507
2010,01087,20259
2010,01089,33319
2010,01091,24212
2010,01093,20360
2010,01095,23618
2010,01097,25370
2010,01099,21644
2010,01101,28381
2010,01103,25778
2010,01105,20700
2010,01107,23050
2010,01109,25201
2010,01111,21915
2010,01113,22503
2010,01115,23708
2010,01117,33572
2010,01119,21044
2010,01121,22082
2010,01123,25937
2010,01125,25756
2010,01127,26302
2010,01129,23631
2010,01131,20532
2010,01133,22053
2010,02000,39356
2010,02010,NA
2010,02013,28120
2010,02016,32627
2010,02020,44984
2010,02050,27172
2010,02060,57187
2010,02063,NA
2010,02066,NA
2010,02068,49409
2010,02070,34910
2010,02090,36770
2010,02100,33038
2010,02105,33744
2010,02110,43776
2010,02122,34834
2010,02130,43418
2010,02150,39208
2010,02158,20207
2010,02164,33409
2010,02170,32113
2010,02180,32180
2010,02185,40748
2010,02188,31468
2010,02195,39523
2010,02198,27591
2010,02201,NA
2010,02220,41679
2010,02230,58500
2010,02231,NA
2010,02232,NA
2010,02240,32263
2010,02261,39857
2010,02275,31004
2010,02280,NA
2010,02282,38310
2010,02290,32937
2010,02901,NA
2010,02903,NA
2010,02904,NA
2010,02905,NA
2010,02907,NA
2010,02908,NA
2010,02910,NA
2010,02912,NA
2010,02916,NA
2010,02919,NA
2010,02920,NA
2010,02921,NA
2010,02922,NA
2010,02923,NA
2010,02924,NA
2010,02925,NA
2010,02926,NA
2010,02928,NA
2010,02929,NA
2010,04000,26828
2010,04001,21185
2010,04003,27408
2010,04005,27529
2010,04007,25022
2010,04009,19421
2010,04011,24013
2010,04012,20835
2010,04013,28769
2010,04015,20547
2010,04017,19530
2010,04019,27095
2010,04021,18926
2010,04023,23272
2010,04025,23237
2010,04027,21900
2010,05000,25654
2010,05001,27120
2010,05003,23425
2010,05005,23440
2010,05007,39467
2010,05009,22715
2010,05011,22236
2010,05013,20625
2010,05015,19692
