year,fips,income_adjusted_to_2000
2015,00000,35402
2015,01000,28207
2015,01001,28464
2015,01003,30766
2015,01005,22933
2015,01007,20979
2015,01009,23911
2015,01011,18411
2015,01013,24939
2015,01015,24813
2015,01017,22887
2015,01019,24611
2015,01021,23223
2015,01023,25509
2015,01025,24292
2015,01027,22627
2015,01029,24921
2015,01031,28659
2015,01033,25750
2015,01035,21523
2015,01037,20520
2015,01039,23715
2015,01041,26337
2015,01043,27023
2015,01045,25147
2015,01047,23448
2015,01049,22201
2015,01051,28291
2015,01053,21860
2015,01055,24716
2015,01057,23268
2015,01059,22917
2015,01061,23756
2015,01063,21922
2015,01065,24618
2015,01067,27485
2015,01069,28290
2015,01071,24672
2015,01073,35506
2015,01075,22698
2015,01077,25296
2015,01079,23149
2015,01081,25261
2015,01083,27876
2015,01085,27426
2015,01087,21451
2015,01089,34159
2015,01091,25910
2015,01093,22042
2015,01095,24990
2015,01097,26177
2015,01099,22567
2015,01101,29354
2015,01103,26563
2015,01105,20688
2015,01107,22580
2015,01109,25146
2015,01111,23196
2015,01113,22017
2015,01115,25854
2015,01117,36926
2015,01119,21412
2015,01121,23095
2015,01123,27213
2015,01125,26266
2015,01127,27117
2015,01129,24506
2015,01131,21470
2015,01133,23078
2015,02000,41729
2015,02010,NA
2015,02013,36016
2015,02016,37823
2015,02020,46290
2015,02050,29184
2015,02060,79330
2015,02063,NA
2015,02066,NA
2015,02068,57476
2015,02070,39461
2015,02090,39045
2015,02100,42799
2015,02105,41707
2015,02110,46231
2015,02122,37120
2015,02130,47096
2015,02150,43938
2015,02158,20464
2015,02164,39803
2015,02170,34138
2015,02180,34620
2015,02185,74801
2015,02188,31122
2015,02195,48072
2015,02198,28652
2015,02201,NA
2015,02220,49207
2015,02230,51434
2015,02231,NA
2015,02232,NA
2015,02240,34632
2015,02261,42491
2015,02275,34671
2015,02280,NA
2015,02282,43402
2015,02290,36079
2015,02901,NA
2015,02903,NA
2015,02904,NA
2015,02905,NA
2015,02907,NA
2015,02908,NA
2015,02910,NA
2015,02912,NA
2015,02916,NA
2015,02919,NA
2015,02920,NA
2015,02921,NA
2015,02922,NA
2015,02923,NA
2015,02924,NA
2015,02925,NA
2015,02926,NA
2015,02928,NA
2015,02929,NA
2015,04000,28700
2015,04001,21556
2015,04003,26490
2015,04005,31182
2015,04007,25639
2015,04009,20821
2015,04011,24747
2015,04012,21882
2015,04013,30963
2015,04015,21286
2015,04017,20052
2015,04019,28112
2015,04021,20606
2015,04023,24016
2015,04025,25909
2015,04027,22816
2015,05000,28850
2015,05001,30067
2015,05003,23627
2015,05005,25061
2015,05007,58374
2015,05009,24008
2015,05011,25486
2015,05013,23132
2015,05015,22123
2015,05017,23920
2015,05019,23744
2015,05021,21823
2015,05023,26204
2015,05025,26432
2015,05027,25215
2015,05029,26596
2015,05031,25677
2015,05033,22302
2015,05035,24789
2015,05037,23700
2015,05039,22391
2015,05041,26771
2015,05043,24303
2015,05045,25569
2015,05047,22790
2015,05049,18879
2015,05051,26929
2015,05053,25616
2015,05055,23482
2015,05057,20966
2015,05059,20814
2015,05061,24380
2015,05063,23800
2015,05065,20722
2015,05067,25085
2015,05069,23467
2015,05071,20089
2015,05073,24145
2015,05075,22193
2015,05077,17890
2015,05079,18072
2015,05081,24049
2015,05083,23372
2015,05085,26646
2015,05087,23802
2015,05089,21615
2015,05091,22787
2015,05093,21138
2015,05095,21464
2015,05097,19646
2015,05099,22769
2015,05101,19417
2015,05103,24722
2015,05105,23936
2015,05107,20404
2015,05109,22400
2015,05111,21103
2015,05113,20683
2015,05115,23858
2015,05117,23251
2015,05119,34854
2015,05121,21304
2015,05123,18271
2015,05125,28489
2015,05127,20672
2015,05129,19744
2015,05131,28812
2015,05133,21765
2015,05135,23192
2015,05137,21554
2015,05139,30367
2015,05141,21727
2015,05143,27016
2015,05145,23937
2015,05147,23998
2015,05149,22753
2015,06000,39559
2015,06001,45375
2015,06003,48227
2015,06005,29248
2015,06007,28590
2015,06009,30908
2015,06011,28921
2015,06013,49473
2015,06015,24058
2015,06017,42833
2015,06019,28149
2015,06021,28664
2015,06023,29970
2015,06025,26328
2015,06027,38340
2015,06029,26821
2015,06031,23857
2015,06033,26802
2015,06035,23670
2015,06037,39106
2015,06039,24972
2015,06041,81707
2015,06043,31816
2015,06045,31561
2015,06047,25785
2015,06049,30882
2015,06051,30734
2015,06053,36888
2015,06055,46346
2015,06057,39434
