year,fips,income_adjusted_to_2000
1995,00000,26749
1995,01000,22540
1995,01001,21925
1995,01003,23968
1995,01005,18030
1995,01007,17395
1995,01009,18738
1995,01011,15486
1995,01013,17649
1995,01015,21184
1995,01017,18843
1995,01019,17772
1995,01021,18984
1995,01023,18781
1995,01025,19207
1995,01027,20333
1995,01029,19552
1995,01031,21762
1995,01033,21385
1995,01035,18727
1995,01037,16742
1995,01039,18977
1995,01041,19663
1995,01043,20273
1995,01045,20994
1995,01047,18524
1995,01049,18974
1995,01051,21903
1995,01053,17895
1995,01055,20551
1995,01057,19068
1995,01059,20259
1995,01061,20316
1995,01063,15867
1995,01065,16606
1995,01067,19565
1995,01069,23401
1995,01071,20175
1995,01073,27219
1995,01075,19131
1995,01077,22441
1995,01079,18765
1995,01081,20343
1995,01083,21668
1995,01085,15671
1995,01087,16347
1995,01089,26879
1995,01091,19718
1995,01093,18791
1995,01095,23065
1995,01097,20782
1995,01099,18595
1995,01101,26237
1995,01103,24381
1995,01105,15256
1995,01107,17436
1995,01109,20299
1995,01111,17752
1995,01113,18787
1995,01115,19827
1995,01117,30025
1995,01119,16067
1995,01121,18152
1995,01123,21652
1995,01125,22835
1995,01127,20839
1995,01129,17852
1995,01131,14697
1995,01133,20425
1995,02000,29913
1995,02010,NA
1995,02013,22793
1995,02016,31250
1995,02020,32887
1995,02050,20545
1995,02060,44063
1995,02063,NA
1995,02066,NA
1995,02068,28559
1995,02070,26227
1995,02090,27097
1995,02100,31218
1995,02105,NA
1995,02110,37610
1995,02122,27454
1995,02130,36438
1995,02150,26502
1995,02158,13348
1995,02164,19371
1995,02170,25659
1995,02180,22584
1995,02185,48305
1995,02188,21507
1995,02195,NA
1995,02198,NA
1995,02201,21695
1995,02220,28764
1995,02230,NA
1995,02231,NA
1995,02232,25685
1995,02240,23216
1995,02261,30469
1995,02275,NA
1995,02280,28032
1995,02282,26822
1995,02290,20558
1995,02901,NA
1995,02903,NA
1995,02904,NA
1995,02905,NA
1995,02907,NA
1995,02908,NA
1995,02910,NA
1995,02912,NA
1995,02916,NA
1995,02919,NA
1995,02920,NA
1995,02921,NA
1995,02922,NA
1995,02923,NA
1995,02924,NA
1995,02925,NA
1995,02926,NA
1995,02928,NA
1995,02929,NA
1995,04000,23515
1995,04001,12758
1995,04003,19005
1995,04005,20442
1995,04007,18437
1995,04009,14629
1995,04011,20584
1995,04012,16628
1995,04013,25981
1995,04015,17755
1995,04017,14365
1995,04019,22894
1995,04021,16470
1995,04023,16221
1995,04025,20518
1995,04027,20250
1995,05000,21078
1995,05001,22970
1995,05003,20684
1995,05005,21028
1995,05007,26160
1995,05009,19708
1995,05011,18718
1995,05013,16513
1995,05015,18898
1995,05017,17018
1995,05019,18038
1995,05021,17837
1995,05023,19298
1995,05025,18675
1995,05027,19971
1995,05029,19745
1995,05031,20647
1995,05033,17546
1995,05035,19105
1995,05037,18961
1995,05039,19079
1995,05041,18149
1995,05043,19216
1995,05045,21890
1995,05047,19080
1995,05049,14593
1995,05051,23221
1995,05053,19970
1995,05055,18206
1995,05057,18240
1995,05059,17301
1995,05061,21547
1995,05063,19773
1995,05065,16385
1995,05067,19172
1995,05069,19300
1995,05071,17793
1995,05073,15891
1995,05075,17430
1995,05077,14920
1995,05079,14721
1995,05081,19681
1995,05083,18275
1995,05085,21833
1995,05087,18066
1995,05089,17027
1995,05091,18931
1995,05093,18858
1995,05095,17777
1995,05097,16440
1995,05099,17149
1995,05101,13800
1995,05103,18292
1995,05105,19323
1995,05107,16564
1995,05109,19034
1995,05111,18771
1995,05113,17544
1995,05115,20111
1995,05117,18829
1995,05119,27481
1995,05121,16547
1995,05123,16993
1995,05125,21145
1995,05127,17676
1995,05129,15196
1995,05131,23528
1995,05133,19460
1995,05135,16774
