year,fips,income_adjusted_to_2000
2005,00000,31718
2005,01000,26484
2005,01001,25687
2005,01003,28977
2005,01005,21097
2005,01007,18897
2005,01009,21756
2005,01011,16245
2005,01013,21640
2005,01015,24385
2005,01017,21466
2005,01019,20524
2005,01021,21685
2005,01023,19455
2005,01025,21086
2005,01027,22879
2005,01029,21632
2005,01031,26312
2005,01033,23619
2005,01035,20290
2005,01037,21045
2005,01039,21903
2005,01041,23994
2005,01043,24720
2005,01045,25182
2005,01047,21495
2005,01049,21019
2005,01051,25677
2005,01053,20203
2005,01055,23057
2005,01057,19519
2005,01059,22021
2005,01061,22322
2005,01063,20888
2005,01065,20775
2005,01067,23185
2005,01069,27988
2005,01071,23418
2005,01073,33619
2005,01075,19906
2005,01077,24082
2005,01079,21336
2005,01081,23073
2005,01083,24417
2005,01085,21488
2005,01087,18431
2005,01089,31588
2005,01091,23798
2005,01093,20949
2005,01095,23582
2005,01097,24109
2005,01099,21227
2005,01101,30140
2005,01103,26097
2005,01105,19977
2005,01107,22935
2005,01109,24204
2005,01111,21012
2005,01113,21689
2005,01115,24248
2005,01117,36529
2005,01119,18313
2005,01121,22381
2005,01123,23957
2005,01125,26254
2005,01127,25263
2005,01129,20533
2005,01131,17701
2005,01133,22224
2005,02000,34554
2005,02010,NA
2005,02013,29768
2005,02016,27772
2005,02020,39457
2005,02050,24799
2005,02060,38814
2005,02063,NA
2005,02066,NA
2005,02068,40921
2005,02070,28274
2005,02090,32617
2005,02100,30714
2005,02105,NA
2005,02110,39100
2005,02122,29893
2005,02130,39166
2005,02150,33298
2005,02158,17277
2005,02164,26220
2005,02170,28792
2005,02180,26618
2005,02185,31655
2005,02188,26177
2005,02195,NA
2005,02198,NA
2005,02201,23904
2005,02220,34221
2005,02230,NA
2005,02231,NA
2005,02232,31181
2005,02240,30268
2005,02261,34385
2005,02275,NA
2005,02280,33854
2005,02282,34469
2005,02290,26125
2005,02901,NA
2005,02903,NA
2005,02904,NA
2005,02905,NA
2005,02907,NA
2005,02908,NA
2005,02910,NA
2005,02912,NA
2005,02916,NA
2005,02919,NA
2005,02920,NA
2005,02921,NA
2005,02922,NA
2005,02923,NA
2005,02924,NA
2005,02925,NA
2005,02926,NA
2005,02928,NA
2005,02929,NA
2005,04000,28587
2005,04001,18016
2005,04003,24704
2005,04005,26100
2005,04007,22300
2005,04009,17338
2005,04011,22305
2005,04012,19665
2005,04013,31479
2005,04015,21268
2005,04017,17875
2005,04019,27339
2005,04021,21362
2005,04023,21307
2005,04025,24306
2005,04027,21416
2005,05000,24961
2005,05001,24117
2005,05003,21974
2005,05005,23040
2005,05007,37711
2005,05009,21930
2005,05011,20686
2005,05013,20066
2005,05015,20024
2005,05017,19929
2005,05019,20766
2005,05021,20827
2005,05023,21914
2005,05025,23521
2005,05027,22518
2005,05029,22673
2005,05031,23123
2005,05033,20194
2005,05035,22082
2005,05037,20449
2005,05039,20552
2005,05041,21273
2005,05043,22650
2005,05045,23476
2005,05047,20939
2005,05049,16482
2005,05051,25346
2005,05053,23491
2005,05055,20613
2005,05057,19652
2005,05059,20579
2005,05061,22141
2005,05063,23083
2005,05065,18852
2005,05067,19675
2005,05069,22113
2005,05071,18671
2005,05073,21293
2005,05075,18874
2005,05077,16413
2005,05079,16678
2005,05081,21049
2005,05083,20591
2005,05085,24590
2005,05087,21503
2005,05089,18531
2005,05091,21888
2005,05093,20491
2005,05095,20312
2005,05097,18629
2005,05099,21471
2005,05101,17112
2005,05103,21385
2005,05105,21715
2005,05107,19485
2005,05109,20718
2005,05111,21331
2005,05113,18569
2005,05115,22973
2005,05117,20305
2005,05119,34533
2005,05121,19311
2005,05123,17606
2005,05125,25406
2005,05127,18968
2005,05129,17816
2005,05131,26499
2005,05133,19897
2005,05135,19632
2005,05137,18332
2005,05139,28976
2005,05141,18882
2005,05143,24567
2005,05145,21020
2005,05147,19279
2005,05149,20855
2005,06000,34428
2005,06001,38135
2005,06003,29967
2005,06005,26589
2005,06007,24901
2005,06009,28143
2005,06011,23981
2005,06013,46139
2005,06015,19510
2005,06017,38114
2005,06019,24494
2005,06021,22086
2005,06023,26473
2005,06025,21374
2005,06027,32144
2005,06029,23066
2005,06031,20792
2005,06033,23700
2005,06035,19757
2005,06037,32564
2005,06039,21404
2005,06041,71613
2005,06043,26314
2005,06045,26517
2005,06047,22002
2005,06049,24270
2005,06051,34272
2005,06053,31827
2005,06055,38966
2005,06057,34756
2005,06059,41664
2005,06061,39431
2005,06063,29202
2005,06065,25913
2005,06067,31264
2005,06069,28059
2005,06071,24423
2005,06073,36736
2005,06075,57858
2005,06077,26331
2005,06079,31400
2005,06081,57492
2005,06083,36734
2005,06085,47063
2005,06087,36820
2005,06089,26047
2005,06091,23271
2005,06093,23924
2005,06095,30064
2005,06097,35582
2005,06099,25164
2005,06101,25664
2005,06103,21856
2005,06105,20385
2005,06107,22701
2005,06109,25986
2005,06111,36729
2005,06113,30461
2005,06115,23502
2005,08000,33424
2005,08003,22604
2005,08005,36828
2005,08007,23741
2005,08009,25505
2005,08011,19142
2005,08014,34443.4
2005,08015,23239
2005,08017,31157
2005,08019,39994
2005,08021,18215
2005,08023,19159
2005,08025,15006
2005,08027,24530
2005,08029,22122
2005,08031,40776
2005,08033,20256
2005,08035,41270
2005,08037,43402
2005,08039,32540
2005,08041,30273
2005,08043,19294
2005,08045,32416
2005,08047,42813
2005,08049,28160
2005,08051,27924
2005,08053,26735
2005,08055,20571
2005,08057,27450
2005,08061,27219
2005,08063,24537
2005,08065,22306
2005,08067,32033
2005,08069,30194
2005,08071,23084
2005,08073,19636
2005,08075,24512
2005,08077,27063
2005,08079,27713
2005,08081,27465
2005,08083,23908
2005,08085,25532
2005,08087,23008
2005,08089,23514
2005,08091,34787
2005,08093,27916
2005,08095,22499
2005,08097,86587
2005,08099,23323
2005,08101,23466
2005,08103,29692
2005,08105,22892
2005,08107,41762
2005,08109,19173
2005,08111,27942
2005,08113,47054
2005,08115,26433
2005,08117,35276
2005,08119,30359
2005,08121,22144
2005,08125,33182
2005,09000,43983
2005,09001,65722
2005,09003,38509
2005,09005,39505
