year,fips,income_adjusted_to_2000
1999,00000,29743
1999,01000,24187
1999,01001,23715
1999,01003,26381
1999,01005,19594
1999,01007,16947
1999,01009,20291
1999,01011,16534
1999,01013,18906
1999,01015,22256
1999,01017,20582
1999,01019,18593
1999,01021,20111
1999,01023,20034
1999,01025,20220
1999,01027,19777
1999,01029,19512
1999,01031,24793
1999,01033,21563
1999,01035,19920
1999,01037,18285
1999,01039,20124
1999,01041,22172
1999,01043,22718
1999,01045,21888
1999,01047,19206
1999,01049,20808
1999,01051,23980
1999,01053,18689
1999,01055,21594
1999,01057,19401
1999,01059,20829
1999,01061,21272
1999,01063,17447
1999,01065,17262
1999,01067,20439
1999,01069,24946
1999,01071,21262
1999,01073,30124
1999,01075,19507
1999,01077,22444
1999,01079,20473
1999,01081,21068
1999,01083,22395
1999,01085,17512
1999,01087,16321
1999,01089,28996
1999,01091,22156
1999,01093,19699
1999,01095,22028
1999,01097,22194
1999,01099,19774
1999,01101,28109
1999,01103,25518
1999,01105,17236
1999,01107,19743
1999,01109,21989
1999,01111,18643
1999,01113,19780
1999,01115,21554
1999,01117,33519
1999,01119,17375
1999,01121,19135
1999,01123,22156
1999,01125,24984
1999,01127,21908
1999,01129,18266
1999,01131,16208
1999,01133,20668
1999,02000,31047
1999,02010,NA
1999,02013,22354
1999,02016,24515
1999,02020,35083
1999,02050,20501
1999,02060,34213
1999,02063,NA
1999,02066,NA
1999,02068,40698
1999,02070,28265
1999,02090,28533
1999,02100,32514
1999,02105,NA
1999,02110,36920
1999,02122,27251
1999,02130,35390
1999,02150,28329
1999,02158,15103
1999,02164,21460
1999,02170,26107
1999,02180,23255
1999,02185,42281
1999,02188,23329
1999,02195,NA
1999,02198,NA
1999,02201,22630
1999,02220,29934
1999,02230,NA
1999,02231,NA
1999,02232,28414
1999,02240,24001
1999,02261,32106
1999,02275,NA
1999,02280,30267
1999,02282,26190
1999,02290,20486
1999,02901,NA
1999,02903,NA
1999,02904,NA
1999,02905,NA
1999,02907,NA
1999,02908,NA
1999,02910,NA
1999,02912,NA
1999,02916,NA
1999,02919,NA
1999,02920,NA
1999,02921,NA
1999,02922,NA
1999,02923,NA
1999,02924,NA
1999,02925,NA
1999,02926,NA
1999,02928,NA
1999,02929,NA
1999,04000,25874
1999,04001,14618
1999,04003,20332
1999,04005,23300
1999,04007,19704
1999,04009,14920
1999,04011,21685
1999,04012,16437
1999,04013,28918
1999,04015,18958
1999,04017,15347
1999,04019,24840
1999,04021,17597
1999,04023,17689
1999,04025,21871
1999,04027,18028
1999,05000,22671
1999,05001,23844
1999,05003,22028
1999,05005,22255
1999,05007,30860
1999,05009,21491
1999,05011,18385
1999,05013,18643
1999,05015,19195
1999,05017,18421
1999,05019,18585
1999,05021,19464
1999,05023,21627
1999,05025,21710
1999,05027,21109
1999,05029,22210
1999,05031,22405
1999,05033,18647
1999,05035,20818
1999,05037,18745
1999,05039,19990
1999,05041,19240
1999,05043,19934
1999,05045,23151
1999,05047,20046
1999,05049,16416
1999,05051,23892
1999,05053,22586
1999,05055,19492
1999,05057,20013
1999,05059,18526
1999,05061,21962
1999,05063,21754
1999,05065,18315
1999,05067,20276
1999,05069,19874
1999,05071,18507
1999,05073,19123
1999,05075,17985
1999,05077,15985
1999,05079,16221
1999,05081,20220
1999,05083,18869
1999,05085,22995
1999,05087,19889
1999,05089,17188
1999,05091,21672
1999,05093,19287
1999,05095,18267
1999,05097,18283
1999,05099,18889
1999,05101,15115
1999,05103,19127
1999,05105,20523
1999,05107,17408
1999,05109,18708
1999,05111,18692
1999,05113,18196
1999,05115,20953
1999,05117,19952
1999,05119,30214
1999,05121,16989
1999,05123,17114
1999,05125,22903
1999,05127,19540
1999,05129,15863
1999,05131,25277
1999,05133,20316
1999,05135,17375
1999,05137,17764
1999,05139,24874
1999,05141,17803
1999,05143,22198
1999,05145,19204
1999,05147,18308
1999,05149,20080
1999,06000,31899
1999,06001,36050
1999,06003,26261
1999,06005,23136
1999,06007,22632
1999,06009,24776
1999,06011,26798
1999,06013,42235
1999,06015,18768
1999,06017,36057
1999,06019,22484
1999,06021,19782
1999,06023,23539
1999,06025,19886
1999,06027,26199
1999,06029,21206
1999,06031,17515
1999,06033,23767
1999,06035,18623
1999,06037,29859
1999,06039,19021
1999,06041,65645
1999,06043,22662
1999,06045,25052
1999,06047,20018
1999,06049,22715
1999,06051,25782
1999,06053,30469
1999,06055,36701
1999,06057,29385
1999,06059,36614
1999,06061,37200
1999,06063,25585
1999,06065,24148
1999,06067,29038
1999,06069,27899
1999,06071,22570
1999,06073,32490
1999,06075,51247
1999,06077,24571
1999,06079,27538
1999,06081,54609
1999,06083,32322
1999,06085,45908
1999,06087,36135
1999,06089,25211
1999,06091,24037
