year,fips,income_adjusted_to_2000
2014,00000,34101
2014,01000,27115
2014,01001,27010
2014,01003,29341
2014,01005,21660
2014,01007,20374
2014,01009,23057
2014,01011,17524
2014,01013,23832
2014,01015,23886
2014,01017,21948
2014,01019,23207
2014,01021,22149
2014,01023,25232
2014,01025,23418
2014,01027,21462
2014,01029,23857
2014,01031,27442
2014,01033,25071
2014,01035,20746
2014,01037,19443
2014,01039,22990
2014,01041,24639
2014,01043,25425
2014,01045,24593
2014,01047,22109
2014,01049,21015
2014,01051,26933
2014,01053,21454
2014,01055,23726
2014,01057,21938
2014,01059,21666
2014,01061,22621
2014,01063,20637
2014,01065,23139
2014,01067,26165
2014,01069,27386
2014,01071,24040
2014,01073,33932
2014,01075,21826
2014,01077,24639
2014,01079,23287
2014,01081,24377
2014,01083,27096
2014,01085,26455
2014,01087,20697
2014,01089,32985
2014,01091,25151
2014,01093,21248
2014,01095,23562
2014,01097,25171
2014,01099,21277
2014,01101,28249
2014,01103,26056
2014,01105,19440
2014,01107,22381
2014,01109,24265
2014,01111,22164
2014,01113,21109
2014,01115,24882
2014,01117,35606
2014,01119,21349
2014,01121,22534
2014,01123,25467
2014,01125,25803
2014,01127,26170
2014,01129,23901
2014,01131,20665
2014,01133,22156
2014,02000,40552
2014,02010,NA
2014,02013,29412
2014,02016,37966
2014,02020,44453
2014,02050,28815
2014,02060,84378
2014,02063,NA
2014,02066,NA
2014,02068,57430
2014,02070,39338
2014,02090,37908
2014,02100,38629
2014,02105,41265
2014,02110,45424
2014,02122,36866
2014,02130,45364
2014,02150,41827
2014,02158,21509
2014,02164,38664
2014,02170,33437
2014,02180,34225
2014,02185,73314
2014,02188,31205
2014,02195,47247
2014,02198,27997
2014,02201,NA
2014,02220,47979
2014,02230,57855
2014,02231,NA
2014,02232,NA
2014,02240,33001
2014,02261,40573
2014,02275,34199
2014,02280,NA
2014,02282,47179
2014,02290,37024
2014,02901,NA
2014,02903,NA
2014,02904,NA
2014,02905,NA
2014,02907,NA
2014,02908,NA
2014,02910,NA
2014,02912,NA
2014,02916,NA
2014,02919,NA
2014,02920,NA
2014,02921,NA
2014,02922,NA
2014,02923,NA
2014,02924,NA
2014,02925,NA
2014,02926,NA
2014,02928,NA
2014,02929,NA
2014,04000,27714
2014,04001,20728
2014,04003,25697
2014,04005,29546
2014,04007,24570
2014,04009,20739
2014,04011,26147
2014,04012,20282
2014,04013,29856
2014,04015,20829
2014,04017,19491
2014,04019,27416
2014,04021,20020
2014,04023,23653
2014,04025,25106
2014,04027,21477
2014,05000,28033
2014,05001,29960
2014,05003,22801
2014,05005,24991
2014,05007,54717
2014,05009,23654
2014,05011,24695
2014,05013,22007
2014,05015,22763
2014,05017,24580
2014,05019,23279
2014,05021,22446
2014,05023,25988
2014,05025,25420
2014,05027,25922
2014,05029,26883
2014,05031,25204
2014,05033,21942
2014,05035,24373
2014,05037,24347
2014,05039,21572
2014,05041,25188
2014,05043,24210
2014,05045,25149
2014,05047,22748
2014,05049,19026
2014,05051,26324
2014,05053,24696
2014,05055,23354
2014,05057,21090
2014,05059,20536
2014,05061,24115
2014,05063,22925
2014,05065,20276
2014,05067,25882
2014,05069,23310
2014,05071,19902
2014,05073,24579
2014,05075,23342
2014,05077,16530
2014,05079,17615
2014,05081,23432
2014,05083,23615
2014,05085,26140
2014,05087,23386
2014,05089,20264
2014,05091,22407
2014,05093,20694
2014,05095,22484
2014,05097,19490
2014,05099,21678
2014,05101,19131
2014,05103,24082
2014,05105,23038
2014,05107,20366
2014,05109,21499
2014,05111,21184
2014,05113,20748
2014,05115,23202
2014,05117,25338
2014,05119,33586
2014,05121,22080
2014,05123,18415
2014,05125,28047
2014,05127,20024
2014,05129,19707
2014,05131,28197
2014,05133,21762
2014,05135,22739
2014,05137,21194
2014,05139,32448
2014,05141,21515
2014,05143,25768
2014,05145,23703
2014,05147,25853
2014,05149,22472
2014,06000,37231
2014,06001,42032
2014,06003,46727
2014,06005,28009
2014,06007,26688
2014,06009,29009
2014,06011,25634
2014,06013,45977
2014,06015,22867
2014,06017,40977
2014,06019,26652
2014,06021,26787
2014,06023,28298
2014,06025,24743
2014,06027,36517
2014,06029,26480
2014,06031,23252
2014,06033,25506
2014,06035,22162
2014,06037,36911
2014,06039,24613
2014,06041,76305
2014,06043,29883
2014,06045,30213
2014,06047,24939
2014,06049,29589
2014,06051,30241
2014,06053,34345
2014,06055,43128
2014,06057,38191
2014,06059,40948
2014,06061,40604
2014,06063,31942
2014,06065,25146
2014,06067,32022
2014,06069,29589
2014,06071,24360
2014,06073,37157
2014,06075,71074
2014,06077,26703
2014,06079,34629
2014,06081,67113
2014,06083,38173
2014,06085,56847
2014,06087,40108
2014,06089,27960
2014,06091,28073
2014,06093,26850
2014,06095,30229
2014,06097,36621
2014,06099,26927
2014,06101,27194
2014,06103,24993
2014,06105,23423
2014,06107,25591
2014,06109,28269
2014,06111,38126
2014,06113,34059
2014,06115,25226
2014,08000,36777
2014,08003,23727
2014,08005,38517
2014,08007,27620
2014,08009,28646
2014,08011,17763
2014,08014,36719
2014,08015,28066
2014,08017,35485
2014,08019,38315
2014,08021,21071
2014,08023,20640
2014,08025,13264
2014,08027,28770
2014,08029,24308
2014,08031,48910
2014,08033,24303
2014,08035,48679
2014,08037,44635
2014,08039,35876
2014,08041,31345
2014,08043,21708
2014,08045,36808
2014,08047,30783
2014,08049,31192
2014,08051,29423
2014,08053,30901
2014,08055,25767
2014,08057,31006
2014,08061,36839
2014,08063,25632
2014,08065,22650
2014,08067,42575
2014,08069,32810
2014,08071,26139
2014,08073,19600
2014,08075,34236
2014,08077,29011
2014,08079,42671
2014,08081,29548
2014,08083,28855
2014,08085,25069
2014,08087,28950
2014,08089,23649
2014,08091,37859
2014,08093,27165
2014,08095,29819
2014,08097,91382
2014,08099,27635
2014,08101,24193
2014,08103,33692
2014,08105,27735
2014,08107,47766
2014,08109,21546
2014,08111,37081
2014,08113,53154
2014,08115,36986
2014,08117,40841
2014,08119,32425
2014,08121,29097
2014,08125,34993
2014,09000,47757
2014,09001,74316
2014,09003,41118
2014,09005,40788
2014,09007,43746
2014,09009,35841
2014,09011,36540
2014,09013,36658
2014,09015,29288
2014,10000,33447
2014,10001,27144
2014,10003,35654
2014,10005,32809
2014,11000,51129
2014,11001,51129
2014,12000,31469
2014,12001,27874
2014,12003,20530
2014,12005,28355
2014,12007,21864
2014,12009,28596
2014,12011,31590
2014,12013,17605
2014,12015,26888
2014,12017,25186
2014,12019,28050
