year,fips,income_adjusted_to_2000
2004,00000,31277
2004,01000,25943
2004,01001,25267
2004,01003,28034
2004,01005,20695
2004,01007,19045
2004,01009,21541
2004,01011,16527
2004,01013,21569
2004,01015,24255
2004,01017,21500
2004,01019,20369
2004,01021,21234
2004,01023,19776
2004,01025,20872
2004,01027,21784
2004,01029,21138
2004,01031,26599
2004,01033,22900
2004,01035,19767
2004,01037,21332
2004,01039,22283
2004,01041,23074
2004,01043,24406
2004,01045,23722
2004,01047,21232
2004,01049,21739
2004,01051,25430
2004,01053,19336
2004,01055,22951
2004,01057,19520
2004,01059,21805
2004,01061,21736
2004,01063,20108
2004,01065,20202
2004,01067,21755
2004,01069,27513
2004,01071,22901
2004,01073,33126
2004,01075,19383
2004,01077,23547
2004,01079,21494
2004,01081,22944
2004,01083,23801
2004,01085,21212
2004,01087,18225
2004,01089,30871
2004,01091,22981
2004,01093,20136
2004,01095,23501
2004,01097,23052
2004,01099,21109
2004,01101,29950
2004,01103,25936
2004,01105,18836
2004,01107,21722
2004,01109,23721
2004,01111,20991
2004,01113,21678
2004,01115,23401
2004,01117,34828
2004,01119,18228
2004,01121,22091
2004,01123,23252
2004,01125,25518
2004,01127,24136
2004,01129,20399
2004,01131,17904
2004,01133,21676
2004,02000,33773
2004,02010,NA
2004,02013,28740
2004,02016,26950
2004,02020,38528
2004,02050,25267
2004,02060,36320
2004,02063,NA
2004,02066,NA
2004,02068,39063
2004,02070,27786
2004,02090,31152
2004,02100,30646
2004,02105,NA
2004,02110,38191
2004,02122,29528
2004,02130,37866
2004,02150,32359
2004,02158,17120
2004,02164,29065
2004,02170,28294
2004,02180,26455
2004,02185,34961
2004,02188,24528
2004,02195,NA
2004,02198,NA
2004,02201,23680
2004,02220,33545
2004,02230,NA
2004,02231,NA
2004,02232,30348
2004,02240,28563
2004,02261,33442
2004,02275,NA
2004,02280,32601
2004,02282,34945
2004,02290,25403
2004,02901,NA
2004,02903,NA
2004,02904,NA
2004,02905,NA
2004,02907,NA
2004,02908,NA
2004,02910,NA
2004,02912,NA
2004,02916,NA
2004,02919,NA
2004,02920,NA
2004,02921,NA
2004,02922,NA
2004,02923,NA
2004,02924,NA
2004,02925,NA
2004,02926,NA
2004,02928,NA
2004,02929,NA
2004,04000,27574
2004,04001,17420
2004,04003,24023
2004,04005,25484
2004,04007,21735
2004,04009,16686
2004,04011,21382
2004,04012,19398
2004,04013,30290
2004,04015,20954
2004,04017,17286
2004,04019,26563
2004,04021,19745
2004,04023,20794
2004,04025,23300
2004,04027,21438
2004,05000,24689
2004,05001,26718
2004,05003,21464
2004,05005,22622
2004,05007,35830
2004,05009,21753
2004,05011,21506
2004,05013,20011
2004,05015,20202
2004,05017,20255
2004,05019,20652
2004,05021,21594
2004,05023,21912
2004,05025,23671
2004,05027,21889
2004,05029,22784
2004,05031,23115
2004,05033,19650
2004,05035,22611
2004,05037,21882
2004,05039,20104
2004,05041,21411
2004,05043,22741
2004,05045,23111
2004,05047,21418
2004,05049,16344
2004,05051,24620
2004,05053,23149
2004,05055,21139
2004,05057,20428
2004,05059,20315
2004,05061,22577
2004,05063,22862
2004,05065,19464
2004,05067,21372
2004,05069,22327
2004,05071,19055
2004,05073,22233
2004,05075,20147
2004,05077,18619
2004,05079,17749
2004,05081,21451
2004,05083,20390
2004,05085,24778
2004,05087,21888
2004,05089,18324
2004,05091,21748
2004,05093,22996
2004,05095,20677
2004,05097,18940
2004,05099,21895
2004,05101,17712
2004,05103,20949
2004,05105,21840
2004,05107,20490
2004,05109,20329
2004,05111,22314
2004,05113,18479
2004,05115,22357
2004,05117,22477
2004,05119,33241
2004,05121,19707
2004,05123,18380
2004,05125,25262
2004,05127,19517
2004,05129,18215
2004,05131,26398
2004,05133,20312
2004,05135,19324
