year,fips,income_adjusted_to_2000
1996,00000,27263
1996,01000,22705
1996,01001,22183
1996,01003,24590
1996,01005,17730
1996,01007,17491
1996,01009,19440
1996,01011,14980
1996,01013,17798
1996,01015,21209
1996,01017,19071
1996,01019,18206
1996,01021,18907
1996,01023,18316
1996,01025,19979
1996,01027,20168
1996,01029,18833
1996,01031,22012
1996,01033,21840
1996,01035,18871
1996,01037,17525
1996,01039,19024
1996,01041,19991
1996,01043,20248
1996,01045,20841
1996,01047,18317
1996,01049,19365
1996,01051,22289
1996,01053,18187
1996,01055,20764
1996,01057,19083
1996,01059,20560
1996,01061,20232
1996,01063,15820
1996,01065,16257
1996,01067,19700
1996,01069,23033
1996,01071,20178
1996,01073,27605
1996,01075,18967
1996,01077,22283
1996,01079,18697
1996,01081,20164
1996,01083,21543
1996,01085,15987
1996,01087,16366
1996,01089,27114
1996,01091,20027
1996,01093,18689
1996,01095,22256
1996,01097,21002
1996,01099,18955
1996,01101,26330
1996,01103,24445
1996,01105,15518
1996,01107,17868
1996,01109,20513
1996,01111,17840
1996,01113,18283
1996,01115,20271
1996,01117,30965
1996,01119,15950
1996,01121,18279
1996,01123,21335
1996,01125,22962
1996,01127,20843
1996,01129,17681
1996,01131,14576
1996,01133,20775
1996,02000,29664
1996,02010,NA
1996,02013,21792
1996,02016,27305
1996,02020,32984
1996,02050,20233
1996,02060,38010
1996,02063,NA
1996,02066,NA
1996,02068,29579
1996,02070,26159
1996,02090,26717
1996,02100,31529
1996,02105,NA
1996,02110,36762
1996,02122,26803
1996,02130,35696
1996,02150,26472
1996,02158,14098
1996,02164,19253
1996,02170,25384
1996,02180,22417
1996,02185,47569
1996,02188,21466
1996,02195,NA
1996,02198,NA
1996,02201,20569
1996,02220,29150
1996,02230,NA
1996,02231,NA
1996,02232,26291
1996,02240,22720
1996,02261,30513
1996,02275,NA
1996,02280,27974
1996,02282,25586
1996,02290,19612
1996,02901,NA
1996,02903,NA
1996,02904,NA
1996,02905,NA
1996,02907,NA
1996,02908,NA
1996,02910,NA
1996,02912,NA
1996,02916,NA
1996,02919,NA
1996,02920,NA
1996,02921,NA
1996,02922,NA
1996,02923,NA
1996,02924,NA
1996,02925,NA
1996,02926,NA
1996,02928,NA
1996,02929,NA
1996,04000,23924
1996,04001,13166
1996,04003,19371
1996,04005,20996
1996,04007,19097
1996,04009,15151
1996,04011,21168
1996,04012,16150
1996,04013,26556
1996,04015,17716
1996,04017,14730
1996,04019,23196
1996,04021,16760
1996,04023,16753
1996,04025,20692
1996,04027,18230
1996,05000,21415
1996,05001,23656
1996,05003,20913
1996,05005,21111
1996,05007,26925
1996,05009,19447
1996,05011,19073
1996,05013,16761
1996,05015,18317
1996,05017,18189
1996,05019,18540
1996,05021,18697
1996,05023,19719
1996,05025,19450
1996,05027,20448
1996,05029,20668
1996,05031,20785
1996,05033,17480
1996,05035,19636
1996,05037,19533
1996,05039,19312
1996,05041,18108
1996,05043,19262
1996,05045,22624
1996,05047,19267
1996,05049,14632
1996,05051,23239
1996,05053,20034
1996,05055,18463
1996,05057,18570
1996,05059,17372
1996,05061,21389
1996,05063,20073
1996,05065,16568
1996,05067,20003
1996,05069,19515
1996,05071,17697
1996,05073,16825
1996,05075,17786
1996,05077,16508
1996,05079,15673
1996,05081,19849
1996,05083,19045
1996,05085,22122
1996,05087,18625
1996,05089,16620
1996,05091,19688
1996,05093,20139
1996,05095,18885
1996,05097,16995
1996,05099,17410
1996,05101,13996
1996,05103,18580
1996,05105,20068
1996,05107,17081
1996,05109,18809
1996,05111,19204
1996,05113,17586
1996,05115,20567
1996,05117,20134
1996,05119,27859
1996,05121,16650
1996,05123,17221
1996,05125,22299
1996,05127,17802
1996,05129,15376
1996,05131,23540
1996,05133,19685
1996,05135,16992
1996,05137,16299
1996,05139,23170
1996,05141,17228
1996,05143,21111
1996,05145,18250
1996,05147,19477
1996,05149,18688
1996,06000,28519
1996,06001,31490
1996,06003,22711
1996,06005,22181
1996,06007,21293
1996,06009,22202
1996,06011,25921
1996,06013,37003
1996,06015,17112
1996,06017,30881
1996,06019,21487
1996,06021,19965
1996,06023,22091
1996,06025,18711
1996,06027,24033
1996,06029,20962
1996,06031,18401
1996,06033,22121
1996,06035,18777
1996,06037,27395
1996,06039,18356
1996,06041,53753
1996,06043,20910
1996,06045,23278
1996,06047,19683
1996,06049,20641
1996,06051,22818
1996,06053,28145
1996,06055,32279
1996,06057,24954
1996,06059,32834
1996,06061,32524
1996,06063,23893
1996,06065,22344
1996,06067,26690
1996,06069,25241
1996,06071,21012
1996,06073,28192
1996,06075,42430
1996,06077,22676
1996,06079,24619
1996,06081,44138
1996,06083,29416
1996,06085,37426
1996,06087,31358
1996,06089,23280
1996,06091,21862
1996,06093,21320
1996,06095,24944
1996,06097,30517
1996,06099,21794
1996,06101,23966
1996,06103,18212
1996,06105,19384
1996,06107,19936
1996,06109,21154
1996,06111,30374
1996,06113,26650
1996,06115,17763
1996,08000,28985
1996,08003,21487
1996,08005,35565
1996,08007,18215
1996,08009,22322
1996,08011,18590
1996,08014,NA
1996,08015,20265
1996,08017,22359
1996,08019,28774
1996,08021,15365
1996,08023,18211
1996,08025,13754
1996,08027,20648
1996,08029,19247
1996,08031,32650
1996,08033,19701
1996,08035,43530
1996,08037,34921
1996,08039,27955
1996,08041,26546
1996,08043,17814
1996,08045,25981
1996,08047,32218
1996,08049,25380
1996,08051,21094
1996,08053,23366
1996,08055,16673
1996,08057,19824
1996,08061,27523
1996,08063,25597
1996,08065,20736
1996,08067,25480
1996,08069,26774
1996,08071,18499
1996,08073,17968
1996,08075,23453
1996,08077,22853
1996,08079,21588
1996,08081,23752
1996,08083,21032
1996,08085,21177
1996,08087,22049
1996,08089,20827
1996,08091,24635
1996,08093,26638
1996,08095,23360
1996,08097,57083
1996,08099,20117
1996,08101,21887
1996,08103,21034
1996,08105,23314
1996,08107,30208
1996,08109,16818
1996,08111,21194
1996,08113,31165
1996,08115,27240
1996,08117,31619
1996,08119,28109
1996,08121,26313
1996,08125,24277
1996,09000,36530
1996,09001,50245
1996,09003,33225
1996,09005,33435
1996,09007,33528
1996,09009,31249
1996,09011,30316
1996,09013,29913
1996,09015,25659
1996,10000,28865
1996,10001,23963
1996,10003,31670
1996,10005,23487
1996,11000,37280
1996,11001,37280
1996,12000,26965
1996,12001,23575
1996,12003,18253
1996,12005,23386
1996,12007,18296
1996,12009,24672
1996,12011,29918
1996,12013,15774
1996,12015,23926
1996,12017,20211
1996,12019,25843
1996,12021,39461
1996,12023,19263
1996,12027,18168
1996,12029,15634
1996,12031,26858
1996,12033,22869
1996,12035,23077
1996,12037,18376
1996,12039,18466
1996,12041,17896
1996,12043,15596
1996,12045,19782
1996,12047,15509
1996,12049,17232
1996,12051,19486
1996,12053,21661
1996,12055,20350
1996,12057,26255
1996,12059,17135
1996,12061,35921
1996,12063,18339
1996,12065,20503
1996,12067,16495
1996,12069,24010
1996,12071,26190
1996,12073,25896
1996,12075,18274
1996,12077,16857
1996,12079,16463
1996,12081,28206
1996,12083,21474
1996,12085,39475
1996,12086,24415
1996,12087,33172
1996,12089,27084
1996,12091,26485
1996,12093,17847
1996,12095,25043
