year,fips,poverty_rate
2001,00000,11.7
2001,01000,15.7
2001,01001,10.8
2001,01003,11.1
2001,01005,24.2
2001,01007,18.2
2001,01009,13.6
2001,01011,32.9
2001,01013,21.6
2001,01015,16.3
2001,01017,16.3
2001,01019,16.9
2001,01021,16.3
2001,01023,19.5
2001,01025,20
2001,01027,15.7
2001,01029,16.5
2001,01031,15.5
2001,01033,14.8
2001,01035,23.5
2001,01037,15.5
2001,01039,18.7
2001,01041,19.7
2001,01043,14.2
2001,01045,16.4
2001,01047,25.2
2001,01049,16.7
2001,01051,13.4
2001,01053,19.9
2001,01055,17
2001,01057,16.9
2001,01059,18.5
2001,01061,20.1
2001,01063,28.4
2001,01065,24.6
2001,01067,17.1
2001,01069,16
2001,01071,14.9
2001,01073,13.6
2001,01075,17.2
2001,01077,14.7
2001,01079,15.1
2001,01081,15.6
2001,01083,12.7
2001,01085,25.3
2001,01087,28.5
2001,01089,10.4
2001,01091,21.3
2001,01093,19.8
2001,01095,15.7
2001,01097,18.3
2001,01099,19.2
2001,01101,17.3
2001,01103,12.4
2001,01105,33.2
2001,01107,20.4
2001,01109,23.2
2001,01111,18.4
2001,01113,18.8
2001,01115,14.1
2001,01117,6.9
2001,01119,29.8
2001,01121,17.9
2001,01123,17.1
2001,01125,16.1
2001,01127,16.2
2001,01129,17.9
2001,01131,30.6
2001,01133,19.8
2001,02000,8.7
2001,02013,13.5
2001,02016,6.3
2001,02020,6.9
2001,02050,22.7
2001,02060,5.5
2001,02068,4.6
2001,02070,18.8
2001,02090,6.7
2001,02100,11.1
2001,02110,6.2
2001,02122,9.2
2001,02130,7.7
2001,02150,7.6
2001,02164,18.8
2001,02170,8.8
2001,02180,17.1
2001,02185,9
2001,02188,15.5
2001,02201,15.9
2001,02220,6.8
2001,02232,9.4
2001,02240,18
2001,02261,8.2
2001,02270,29.1
2001,02280,8.4
2001,02282,8.6
2001,02290,17.8
2001,04000,13.2
2001,04001,29.5
2001,04003,17.4
2001,04005,15.8
2001,04007,17.9
2001,04009,22.5
2001,04011,10.8
2001,04012,22
2001,04013,11.1
2001,04015,16.2
2001,04017,24.2
2001,04019,13.5
2001,04021,16.4
2001,04023,21.8
2001,04025,13
2001,04027,21.6
2001,05000,15.9
2001,05001,16.7
2001,05003,17.3
2001,05005,14.1
2001,05007,10
2001,05009,15.5
2001,05011,21.1
2001,05013,15.5
2001,05015,16.6
2001,05017,30.1
2001,05019,17.5
2001,05021,16.6
2001,05023,15.2
2001,05025,14
2001,05027,19.2
2001,05029,16.4
2001,05031,15.2
2001,05033,14.2
2001,05035,21.9
2001,05037,19.2
2001,05039,20.2
2001,05041,23.1
2001,05043,17.3
2001,05045,11.5
2001,05047,16.5
2001,05049,21.3
2001,05051,15.8
2001,05053,10.8
2001,05055,14.2
2001,05057,19.3
2001,05059,14.7
2001,05061,16.6
2001,05063,15
2001,05065,20.1
2001,05067,22
2001,05069,20.4
2001,05071,18
2001,05073,23.1
2001,05075,19
2001,05077,32.2
2001,05079,29
2001,05081,16.6
2001,05083,16.3
2001,05085,10.7
2001,05087,18.2
2001,05089,19
2001,05091,18.9
2001,05093,21.6
2001,05095,24.3
2001,05097,19.5
2001,05099,19.6
2001,05101,21.6
2001,05103,18.4
2001,05105,15
2001,05107,29
2001,05109,16.9
2001,05111,20.4
2001,05113,19.8
2001,05115,15.6
2001,05117,15.6
2001,05119,12.9
2001,05121,18.4
2001,05123,26.9
2001,05125,9.2
2001,05127,20.3
2001,05129,26.2
2001,05131,14.1
2001,05133,19.1
2001,05135,21.6
2001,05137,20.8
2001,05139,16.8
2001,05141,18.6
2001,05143,14.1
2001,05145,15.9
2001,05147,24.3
2001,05149,16.6
2001,06000,12.9
2001,06001,8.8
2001,06003,15.7
2001,06005,10.1
2001,06007,16.7
2001,06009,10.2
2001,06011,14.9
2001,06013,6.5
2001,06015,21.6
2001,06017,7.3
2001,06019,20.8
2001,06021,17.1
2001,06023,15.8
2001,06025,24.2
2001,06027,10.8
2001,06029,18.6
2001,06031,20.8
2001,06033,16.2
2001,06035,17.5
2001,06037,16.3
2001,06039,21.2
2001,06041,6.3
2001,06043,12.7
2001,06045,14.9
2001,06047,19.3
2001,06049,18.3
2001,06051,8.8
2001,06053,13.2
2001,06055,7.3
2001,06057,8.1
2001,06059,9.8
2001,06061,5.5
2001,06063,10.8
2001,06065,12.7
2001,06067,12.1
2001,06069,8.9
2001,06071,15.2
2001,06073,10.9
2001,06075,9.8
2001,06077,14.4
2001,06079,10.9
2001,06081,5.4
2001,06083,12.3
2001,06085,6.8
2001,06087,10.5
2001,06089,13.8
2001,06091,10
2001,06093,16.2
2001,06095,8.1
2001,06097,7.3
2001,06099,14
2001,06101,13.9
2001,06103,17
2001,06105,17.1
2001,06107,23.2
2001,06109,12.2
2001,06111,9.1
2001,06113,11.7
2001,06115,18.7
2001,08000,8.7
2001,08003,18.6
2001,08005,6
2001,08007,12.6
2001,08009,17.5
2001,08011,22.6
2001,08014,7.0600000000000005
2001,08015,11.4
2001,08017,11.8
2001,08019,6.2
2001,08021,21.3
2001,08023,25.8
2001,08025,35.9
2001,08027,11.6
2001,08029,14.2
2001,08031,12.7
2001,08033,13.9
2001,08035,2.1
2001,08037,6.6
2001,08039,5.1
2001,08041,8.3
2001,08043,15.5
2001,08045,8
2001,08047,6.1
2001,08049,7.3
2001,08051,12.2
2001,08053,11.5
2001,08055,21.7
2001,08057,13.4
2001,08061,12
2001,08063,13.4
2001,08065,10.6
2001,08067,10.3
2001,08069,7.4
2001,08071,16.8
2001,08073,15.9
2001,08075,12.4
2001,08077,10.7
2001,08079,10.4
2001,08081,9.4
2001,08083,15.3
2001,08085,12.5
2001,08087,12.4
2001,08089,17.6
2001,08091,8.6
2001,08093,6.7
2001,08095,10.5
2001,08097,5.2
2001,08099,18
2001,08101,13.7
2001,08103,10.1
2001,08105,17.3
2001,08107,6.5
2001,08109,30.3
2001,08111,15.8
2001,08113,8.6
2001,08115,11.9
2001,08117,6.5
2001,08119,6.6
2001,08121,11.5
2001,08125,12.4
2001,09000,7.1
2001,09001,6.2
2001,09003,8
2001,09005,5
2001,09007,4.7
2001,09009,8.6
2001,09011,6.3
2001,09013,4.7
2001,09015,7.9
2001,10000,8.4
2001,10001,10.3
2001,10003,7.2
2001,10005,10.5
2001,11000,17.5
2001,11001,17.5
2001,12000,12.6
2001,12001,15.1
2001,12003,13.7
2001,12005,12.9
2001,12007,18.2
2001,12009,9.7
2001,12011,11
2001,12013,21.7
2001,12015,10.2
2001,12017,13.4
2001,12019,7.3
2001,12021,9.7
2001,12023,17.2
2001,12027,21.6
2001,12029,21.9
2001,12031,11.3
2001,12033,15.8
2001,12035,9.4
2001,12037,17.7
2001,12039,19.3
2001,12041,17.5
2001,12043,17
2001,12045,20.5
2001,12047,26.2
2001,12049,23.6
2001,12051,20.1
2001,12053,12.2
2001,12055,15.2
2001,12057,12.1
2001,12059,21.4
2001,12061,10.3
2001,12063,17.9
2001,12065,17.7
2001,12067,23.5
2001,12069,11
2001,12071,10.3
2001,12073,12.6
2001,12075,17.9
2001,12077,20.7
2001,12079,20.5
2001,12081,10.4
2001,12083,14.9
2001,12085,9.1
2001,12086,18.2
2001,12087,10.4
2001,12089,8.8
2001,12091,9.8
2001,12093,17.8
2001,12095,11.9
2001,12097,13.1
2001,12099,10.4
2001,12101,11.7
2001,12103,10.7
2001,12105,13.9
2001,12107,19.7
2001,12109,7.8
2001,12111,13.1
2001,12113,10.3
2001,12115,8.4
2001,12117,8
2001,12119,15.4
2001,12121,17.5
2001,12123,18.1
2001,12125,21.4
2001,12127,12.1
2001,12129,13
2001,12131,15.8
2001,12133,19
2001,13000,12.7
2001,13001,17.4
2001,13003,22.3
2001,13005,18
2001,13007,22.1
2001,13009,17.8
2001,13011,12.9
2001,13013,9.9
2001,13015,9.7
2001,13017,20.1
2001,13019,17.4
2001,13021,17.5
2001,13023,15
2001,13025,16.7
2001,13027,24.1
2001,13029,9.3
2001,13031,19.4
2001,13033,20.5
2001,13035,13.6
2001,13037,27.4
2001,13039,9.9
2001,13043,22.9
2001,13045,12.4
2001,13047,10.2
2001,13049,20.2
2001,13051,15.3
2001,13053,23.6
2001,13055,15.3
2001,13057,5.8
2001,13059,18.2
2001,13061,27
2001,13063,12.9
2001,13065,23
2001,13067,8.2
2001,13069,21.7
2001,13071,21
2001,13073,6.3
2001,13075,18.9
2001,13077,8.2
2001,13079,14.5
2001,13081,23.5
2001,13083,13.1
2001,13085,9.7
2001,13087,21.6
2001,13089,11.6
2001,13091,19.5
2001,13093,21.5
2001,13095,21.3
2001,13097,8.6
2001,13099,23.5
2001,13101,22.9
2001,13103,9.2
2001,13105,15.2
2001,13107,22.6
2001,13109,22.1
2001,13111,14.8
2001,13113,4.2
2001,13115,14.5
2001,13117,4.9
2001,13119,14.3
2001,13121,14.1
2001,13123,14.3
2001,13125,14.7
2001,13127,14.1
2001,13129,12.1
2001,13131,19.7
2001,13133,17.6
2001,13135,6.4
2001,13137,12.1
2001,13139,11.1
2001,13141,26.8
2001,13143,14.9
2001,13145,9.2
2001,13147,13.5
2001,13149,15.1
2001,13151,5.7
2001,13153,9.8
2001,13155,18.6
2001,13157,12.2
2001,13159,13.2
2001,13161,17.7
2001,13163,19.9
2001,13165,22.7
2001,13167,25.8
2001,13169,10.2
2001,13171,14.7
2001,13173,21
2001,13175,16.9
2001,13177,9.6
2001,13179,16.7
2001,13181,15.9
2001,13183,21.5
2001,13185,17.3
2001,13187,12.9
2001,13189,17
2001,13191,18.9
2001,13193,25.3
2001,13195,12.4
2001,13197,20.4
2001,13199,17
2001,13201,19.2
2001,13205,22.5
2001,13207,11.8
2001,13209,21.1
2001,13211,12.1
2001,13213,12.6
2001,13215,16.2
2001,13217,10.5
2001,13219,6.5
2001,13221,12.1
2001,13223,6.3
2001,13225,18.4
2001,13227,10.4
2001,13229,17.8
2001,13231,10.6
2001,13233,14.8
2001,13235,18.1
2001,13237,14.1
2001,13239,23.3
2001,13241,13
2001,13243,25.9
2001,13245,18.7
2001,13247,9.1
2001,13249,16.9
2001,13251,20.1
2001,13253,22.4
2001,13255,15
2001,13257,15
2001,13259,22.7
2001,13261,20.8
2001,13263,17.6
2001,13265,24.6
2001,13267,25.1
2001,13269,21.5
2001,13271,25.6
2001,13273,23
2001,13275,17
2001,13277,18.6
2001,13279,22
2001,13281,13.4
2001,13283,24.8
2001,13285,14.1
2001,13287,23.5
2001,13289,17.2
2001,13291,14
2001,13293,16.9
2001,13295,13.3
2001,13297,10.6
2001,13299,20.5
2001,13301,20.4
2001,13303,20
2001,13305,19.8
2001,13307,16.7
2001,13309,30.2
2001,13311,12.3
2001,13313,11.4
2001,13315,26
2001,13317,17.2
2001,13319,15.2
2001,13321,17.4
2001,15000,10.4
2001,15001,14.3
2001,15003,9.8
2001,15005,0
2001,15007,11.1
2001,15009,10.2
2001,16000,11.5
2001,16001,7.7
2001,16003,15.4
2001,16005,13.1
2001,16007,12.4
2001,16009,14.1
2001,16011,13
2001,16013,6.9
2001,16015,11
2001,16017,14.3
2001,16019,10.6
2001,16021,16.5
2001,16023,15.4
2001,16025,8.6
2001,16027,12.8
2001,16029,10.2
2001,16031,15.3
2001,16033,16.1
2001,16035,14.5
2001,16037,13.6
2001,16039,12.1
2001,16041,10.2
2001,16043,14.8
2001,16045,12.3
2001,16047,13.1
2001,16049,16.1
2001,16051,11.4
2001,16053,13.3
2001,16055,10.9
2001,16057,14.1
2001,16059,15.7
2001,16061,13.9
2001,16063,12.1
2001,16065,16.3
2001,16067,14.2
2001,16069,11.3
2001,16071,11
2001,16073,18
2001,16075,13.3
2001,16077,14.6
2001,16079,16.8
2001,16081,9.3
2001,16083,12.7
2001,16085,10.7
2001,16087,16
2001,17000,10.1
2001,17001,11.1
2001,17003,23.6
2001,17005,11.1
2001,17007,6.6
2001,17009,13.3
2001,17011,8.2
2001,17013,9.7
2001,17015,9.8
2001,17017,10.2
2001,17019,11.9
2001,17021,9.7
2001,17023,10.3
2001,17025,11.7
2001,17027,7.1
2001,17029,12.9
2001,17031,12.6
2001,17033,11.6
2001,17035,10.1
2001,17037,8.5
2001,17039,9.1
2001,17041,8.1
2001,17043,4.3
2001,17045,11.8
2001,17047,9.9
2001,17049,8.2
2001,17051,13.8
2001,17053,8.2
2001,17055,15
2001,17057,11
2001,17059,15.1
2001,17061,12.1
2001,17063,5.3
2001,17065,12.2
2001,17067,9.5
2001,17069,16.6
2001,17071,10.1
2001,17073,8.1
2001,17075,9.3
2001,17077,18.9
2001,17079,9.8
2001,17081,14
2001,17083,9
2001,17085,7.9
2001,17087,14.4
2001,17089,6.4
2001,17091,10.9
2001,17093,3.5
2001,17095,11.8
2001,17097,5.8
2001,17099,9.1
2001,17101,12.5
2001,17103,8.6
2001,17105,8.7
2001,17107,10.9
2001,17109,16.4
2001,17111,3.4
2001,17113,8
2001,17115,12.2
2001,17117,9.9
2001,17119,9.3
2001,17121,13.5
2001,17123,7.4
2001,17125,10.7
2001,17127,13.3
2001,17129,8.1
2001,17131,8.1
2001,17133,4
2001,17135,12.4
2001,17137,11
2001,17139,8.4
2001,17141,7.2
2001,17143,12
2001,17145,13.2
2001,17147,5.7
2001,17149,13.2
2001,17151,14.3
2001,17153,20.9
2001,17155,6.7
2001,17157,11.1
2001,17159,12
2001,17161,10.4
2001,17163,12.5
2001,17165,16.1
2001,17167,9.2
2001,17169,9.2
2001,17171,9.4
2001,17173,9.2
2001,17175,8.9
2001,17177,9.5
