year,fips,poverty_rate
1995,00000,13.8
1995,01000,17.6
1995,01001,13.4
1995,01003,12.4
1995,01005,24.9
1995,01007,18.1
1995,01009,13.7
1995,01011,33.7
1995,01013,25.4
1995,01015,17.5
1995,01017,18.4
1995,01019,15.8
1995,01021,17.5
1995,01023,23.6
1995,01025,23.3
1995,01027,14.7
1995,01029,15.3
1995,01031,14.9
1995,01033,14.1
1995,01035,28
1995,01037,16.1
1995,01039,20.9
1995,01041,22
1995,01043,13.9
1995,01045,17.3
1995,01047,33.8
1995,01049,16.5
1995,01051,13.7
1995,01053,23.8
1995,01055,17.8
1995,01057,17.4
1995,01059,17
1995,01061,18.9
1995,01063,40.1
1995,01065,30.8
1995,01067,18.4
1995,01069,17
1995,01071,15.9
1995,01073,16
1995,01075,18
1995,01077,13.5
1995,01079,16.6
1995,01081,17.8
1995,01083,13.8
1995,01085,35
1995,01087,34.4
1995,01089,11.6
1995,01091,27.3
1995,01093,16.7
1995,01095,14.8
1995,01097,23.2
1995,01099,21.2
1995,01101,19.6
1995,01103,12.1
1995,01105,41.3
1995,01107,25.7
1995,01109,25.5
1995,01111,19.6
1995,01113,19.4
1995,01115,14.4
1995,01117,7.1
1995,01119,35.9
1995,01121,20.7
1995,01123,17.4
1995,01125,18.4
1995,01127,16.1
1995,01129,21.2
1995,01131,40
1995,01133,16.9
1995,02000,10.1
1995,02013,10.3
1995,02016,6.6
1995,02020,8.7
1995,02050,30.4
1995,02060,4
1995,02068,5.7
1995,02070,17.6
1995,02090,8
1995,02100,12.8
1995,02110,5.4
1995,02122,10.1
1995,02130,6.1
1995,02150,7.7
1995,02164,19.8
1995,02170,10.1
1995,02180,22.8
1995,02185,4.3
1995,02188,20.4
1995,02201,11.2
1995,02220,6.7
1995,02232,9
1995,02240,16
1995,02261,8.3
1995,02270,38.9
1995,02280,8.2
1995,02282,5.8
1995,02290,25.9
1995,04000,16.3
1995,04001,39.4
1995,04003,20.7
1995,04005,20.3
1995,04007,19.4
1995,04009,23.6
1995,04011,10.2
1995,04012,24.4
1995,04013,13.8
1995,04015,16.4
1995,04017,29
1995,04019,16.9
1995,04021,21.7
1995,04023,26.7
1995,04025,13.6
1995,04027,26.5
1995,05000,18.2
1995,05001,19.8
1995,05003,21
1995,05005,14.7
1995,05007,9.3
1995,05009,15.1
1995,05011,22.5
1995,05013,17.7
1995,05015,15.2
1995,05017,37.8
1995,05019,20.6
1995,05021,19.1
1995,05023,16.8
1995,05025,17.2
1995,05027,23.6
1995,05029,17.9
1995,05031,16.8
1995,05033,16.4
1995,05035,26.9
1995,05037,25
1995,05039,22.2
1995,05041,30.9
1995,05043,20.3
1995,05045,10.9
1995,05047,17.4
1995,05049,26.8
1995,05051,17.3
1995,05053,12.4
1995,05055,15.5
1995,05057,22.6
1995,05059,17.3
1995,05061,17.4
1995,05063,16.7
1995,05065,22.2
1995,05067,24.3
1995,05069,26.5
1995,05071,19.1
1995,05073,31.5
