year,fips,poverty_rate
1997,00000,13.3
1997,01000,16.2
1997,01001,11.8
1997,01003,11.1
1997,01005,23.8
1997,01007,17.4
1997,01009,13.3
1997,01011,29.2
1997,01013,23.4
1997,01015,16.2
1997,01017,16.8
1997,01019,15.8
1997,01021,16.3
1997,01023,22.3
1997,01025,21.8
1997,01027,14.8
1997,01029,14.7
1997,01031,14.9
1997,01033,13.5
1997,01035,27.4
1997,01037,16.1
1997,01039,19.5
1997,01041,20.7
1997,01043,13
1997,01045,17.3
1997,01047,29.7
1997,01049,15.5
1997,01051,13.1
1997,01053,20.8
1997,01055,16.9
1997,01057,15.6
1997,01059,16.6
1997,01061,18.7
1997,01063,35.5
1997,01065,26.6
1997,01067,18.1
1997,01069,16.4
1997,01071,14.7
1997,01073,14.5
1997,01075,18
1997,01077,13.3
1997,01079,15.7
1997,01081,15
1997,01083,13.5
1997,01085,31.5
1997,01087,31.9
1997,01089,11
1997,01091,23.9
1997,01093,16
1997,01095,15
1997,01097,20.1
1997,01099,21.6
1997,01101,17.6
1997,01103,11.4
1997,01105,36.6
1997,01107,23.5
1997,01109,24.6
1997,01111,18.6
1997,01113,18.6
1997,01115,13.9
1997,01117,6.8
1997,01119,33.1
1997,01121,19.4
1997,01123,16.9
1997,01125,17
1997,01127,14.4
1997,01129,19
1997,01131,36.1
1997,01133,16.8
1997,02000,11.2
1997,02013,14.2
1997,02016,6.7
1997,02020,9.1
1997,02050,33.1
1997,02060,8.4
1997,02068,6.1
1997,02070,28.1
1997,02090,9.1
1997,02100,11.5
1997,02110,6.5
1997,02122,11.4
1997,02130,8.2
1997,02150,9.2
1997,02164,27.4
1997,02170,11.6
1997,02180,24.2
1997,02185,5.8
1997,02188,21
1997,02201,14.1
1997,02220,8.5
1997,02232,8.4
1997,02240,18.4
1997,02261,9.8
1997,02270,39.4
1997,02280,10.2
1997,02282,7.9
1997,02290,24.2
1997,04000,15.5
1997,04001,39.7
1997,04003,21.7
1997,04005,20
1997,04007,20.2
1997,04009,22.8
1997,04011,10.3
1997,04012,24.3
1997,04013,12.7
1997,04015,17.6
1997,04017,28.4
1997,04019,16.2
1997,04021,20
1997,04023,25.8
1997,04025,13.8
1997,04027,25.3
1997,05000,17.5
1997,05001,18.9
1997,05003,20
1997,05005,14.6
1997,05007,10.1
1997,05009,16.6
1997,05011,21.4
1997,05013,16.5
1997,05015,17.2
1997,05017,33.8
1997,05019,18.9
1997,05021,18
1997,05023,15.8
1997,05025,16.8
1997,05027,21.9
1997,05029,17.1
1997,05031,16.6
1997,05033,16.1
1997,05035,24.9
1997,05037,22.4
1997,05039,20.9
1997,05041,27.5
1997,05043,19.9
1997,05045,10.9
1997,05047,17.3
1997,05049,25.2
1997,05051,16.3
1997,05053,11.5
1997,05055,14.9
1997,05057,21.4
1997,05059,16.9
1997,05061,18.6
1997,05063,16.7
1997,05065,22.4
1997,05067,23.6
1997,05069,24.9
1997,05071,19
1997,05073,28.2
1997,05075,22.1
1997,05077,38
1997,05079,27.9
1997,05081,18.2
1997,05083,18.4
1997,05085,12.3
1997,05087,18.9
1997,05089,19.4
1997,05091,21.3
1997,05093,23.5
1997,05095,30.6
1997,05097,21.3
1997,05099,19.7
1997,05101,25.2
1997,05103,21.1
1997,05105,15.3
1997,05107,37.5
1997,05109,18.1
1997,05111,22.6
1997,05113,21.1
1997,05115,15.7
1997,05117,18.4
1997,05119,14.3
1997,05121,20.5
1997,05123,30.5
1997,05125,9.6
1997,05127,22.4
1997,05129,27.4
1997,05131,14.4
1997,05133,18.9
1997,05135,21.2
1997,05137,23.2
1997,05139,18.7
1997,05141,20.1
1997,05143,13.5
1997,05145,17.4
1997,05147,30.9
1997,05149,16.8
1997,06000,16
1997,06001,11.8
1997,06003,17.5
1997,06005,11.4
1997,06007,20.9
1997,06009,13
1997,06011,18.1
1997,06013,8.7
1997,06015,22.9
1997,06017,8.8
1997,06019,25.6
1997,06021,19.9
1997,06023,18.5
1997,06025,30.3
1997,06027,14
1997,06029,21
1997,06031,23.6
1997,06033,20.1
1997,06035,19.4
1997,06037,20.5
1997,06039,22.8
1997,06041,7
1997,06043,15.3
1997,06045,18.1
1997,06047,25.4
1997,06049,21.1
1997,06051,11.2
1997,06053,15.4
1997,06055,8.8
1997,06057,9.6
1997,06059,11
1997,06061,7.7
1997,06063,13.1
1997,06065,15
1997,06067,17.2
1997,06069,11.4
1997,06071,17.9
1997,06073,14.2
1997,06075,12.6
1997,06077,18.8
1997,06079,12.9
1997,06081,6.6
1997,06083,14.6
1997,06085,9
1997,06087,13.1
1997,06089,18.1
1997,06091,11.6
1997,06093,19
1997,06095,11.3
1997,06097,9.1
1997,06099,18.4
1997,06101,17.2
1997,06103,20
1997,06105,19.4
1997,06107,27.9
1997,06109,14.8
1997,06111,10.3
1997,06113,15.8
1997,06115,25.5
1997,08000,10.2
1997,08003,23
1997,08005,6.4
1997,08007,13.7
1997,08009,19.1
1997,08011,24.5
1997,08014,9.025
1997,08015,13.1
1997,08017,10.8
1997,08019,5.2
1997,08021,28.6
1997,08023,33.5
1997,08025,32.2
1997,08027,14.5
1997,08029,16.2
1997,08031,16.4
1997,08033,14
1997,08035,1.9
