year,fips,poverty_rate
2017,00000,13.4
2017,01000,16.9
2017,01001,13.4
2017,01003,10.1
2017,01005,33.4
2017,01007,20.2
2017,01009,12.8
2017,01011,34.4
2017,01013,21.3
2017,01015,17.7
2017,01017,18.2
2017,01019,17.2
2017,01021,16.8
2017,01023,23.7
2017,01025,23.3
2017,01027,18.1
2017,01029,16.1
2017,01031,15.5
2017,01033,15.4
2017,01035,23.7
2017,01037,17.4
2017,01039,17.7
2017,01041,19.9
2017,01043,13.8
2017,01045,17.7
2017,01047,27.9
2017,01049,19.5
2017,01051,12
2017,01053,23.3
2017,01055,18.1
2017,01057,19.4
2017,01059,20.5
2017,01061,21.7
2017,01063,33.2
2017,01065,25.1
2017,01067,17
2017,01069,16.6
2017,01071,16.6
2017,01073,16.7
2017,01075,18.7
2017,01077,13.7
2017,01079,16.8
2017,01081,17.8
2017,01083,11.9
2017,01085,25.9
2017,01087,30.6
2017,01089,12.8
2017,01091,22.8
2017,01093,19.3
2017,01095,20.1
2017,01097,19.7
2017,01099,23.8
2017,01101,21.3
2017,01103,14.8
2017,01105,37.2
2017,01107,22.3
2017,01109,27.7
2017,01111,17
2017,01113,23.2
2017,01115,13.5
2017,01117,7.4
2017,01119,35.9
2017,01121,18.3
2017,01123,18.3
2017,01125,15.9
2017,01127,17.4
2017,01129,20.2
2017,01131,32
2017,01133,21.3
2017,02000,11
2017,02013,14.6
2017,02016,8.1
2017,02020,9.6
2017,02050,28.7
2017,02060,10.9
2017,02068,8
2017,02070,20.8
2017,02090,7.4
2017,02100,11.4
2017,02105,17.6
2017,02110,8.3
2017,02122,10.2
2017,02130,9.9
2017,02150,7.5
2017,02158,37.5
2017,02164,15.7
2017,02170,11.3
2017,02180,23.2
2017,02185,12.2
2017,02188,26
2017,02195,7.4
2017,02198,18.5
2017,02220,8.1
2017,02230,4.3
2017,02240,12.8
2017,02261,9.2
2017,02275,12.4
2017,02282,15.3
2017,02290,23.2
2017,04000,14.9
2017,04001,33.1
2017,04003,16.1
2017,04005,18.4
2017,04007,24.1
2017,04009,20.9
2017,04011,10.1
2017,04012,20.9
2017,04013,13.5
2017,04015,17.3
2017,04017,26.4
2017,04019,16.6
2017,04021,13
2017,04023,23.6
2017,04025,13.9
2017,04027,19
2017,05000,16.3
2017,05001,19.9
2017,05003,19.8
2017,05005,13.9
2017,05007,9.1
2017,05009,14.9
2017,05011,20.9
2017,05013,15.2
2017,05015,16.4
2017,05017,30.1
2017,05019,21.4
2017,05021,18.1
2017,05023,15.6
2017,05025,14.3
2017,05027,25.5
2017,05029,17.2
2017,05031,14.9
2017,05033,17.5
2017,05035,21.1
2017,05037,18.4
2017,05039,21
2017,05041,29
2017,05043,20.3
2017,05045,13.4
2017,05047,18
2017,05049,20.6
2017,05051,15.9
2017,05053,12.2
2017,05055,14.8
2017,05057,24.2
2017,05059,16.8
2017,05061,19.1
2017,05063,15.9
2017,05065,19.3
2017,05067,22.2
2017,05069,23.5
2017,05071,18.4
2017,05073,24.1
2017,05075,16.9
2017,05077,37.3
2017,05079,23.4
2017,05081,17
2017,05083,20.5
2017,05085,11.1
2017,05087,17
2017,05089,18.3
2017,05091,18.8
2017,05093,24.3
2017,05095,27.3
2017,05097,21.1
2017,05099,19.5
2017,05101,19.8
2017,05103,19.9
2017,05105,15.1
2017,05107,39.8
2017,05109,18.5
2017,05111,21
2017,05113,23.3
2017,05115,16.7
2017,05117,16.1
2017,05119,15
2017,05121,19.4
2017,05123,33.7
2017,05125,7.9
2017,05127,20.6
2017,05129,21.6
2017,05131,18.6
2017,05133,19.5
2017,05135,23.9
2017,05137,21.2
2017,05139,17.5
2017,05141,19.8
2017,05143,13.8
2017,05145,15.2
2017,05147,26.8
2017,05149,18.8
2017,06000,13.3
2017,06001,9.3
2017,06003,18.1
2017,06005,10.9
2017,06007,18.1
2017,06009,13.1
2017,06011,12.2
2017,06013,9.1
2017,06015,24.6
2017,06017,8.3
2017,06019,21.1
2017,06021,14.8
2017,06023,19.7
2017,06025,20.7
2017,06027,11.8
2017,06029,21.2
2017,06031,18.4
2017,06033,20.2
2017,06035,16.3
2017,06037,14.9
2017,06039,21.2
2017,06041,7.9
2017,06043,15.2
2017,06045,16.3
2017,06047,23
2017,06049,19.2
2017,06051,9.3
2017,06053,11.9
2017,06055,6.8
2017,06057,11
2017,06059,11.5
2017,06061,7.8
2017,06063,14.3
2017,06065,12.9
2017,06067,14.1
2017,06069,8.4
2017,06071,16
2017,06073,11.9
2017,06075,10.1
2017,06077,15.5
2017,06079,11.9
2017,06081,6.4
2017,06083,14.2
2017,06085,7.5
2017,06087,12.6
2017,06089,17
2017,06091,13.7
2017,06093,17.7
2017,06095,10
2017,06097,9.3
2017,06099,14
2017,06101,13.2
2017,06103,20.1
2017,06105,20.3
2017,06107,24
2017,06109,12.2
2017,06111,9.5
2017,06113,17.5
2017,06115,15.3
2017,08000,10.3
2017,08003,21.3
2017,08005,7.8
2017,08007,11.7
2017,08009,19.7
2017,08011,32
2017,08014,8.959999999999999
2017,08015,11.4
2017,08017,13.6
2017,08019,7.8
2017,08021,21.2
2017,08023,27.3
2017,08025,47.4
2017,08027,13.2
2017,08029,16.7
2017,08031,12.5
2017,08033,12.8
2017,08035,3.2
2017,08037,7.5
2017,08039,4.9
2017,08041,10.8
2017,08043,16.6
2017,08045,7.6
2017,08047,6.9
2017,08049,8.7
2017,08051,14.8
2017,08053,8.6
2017,08055,20.8
2017,08057,13.7
2017,08061,14
2017,08063,11.6
2017,08065,12.2
2017,08067,9.2
2017,08069,11
2017,08071,23.7
2017,08073,17.6
2017,08075,15.8
2017,08077,14.9
2017,08079,8.5
2017,08081,11
2017,08083,15.2
2017,08085,12.9
2017,08087,11.4
2017,08089,23.5
2017,08091,7.7
2017,08093,8.6
2017,08095,10.9
2017,08097,5.9
2017,08099,18.2
2017,08101,18.2
2017,08103,9.5
2017,08105,18.4
2017,08107,6.9
2017,08109,24.4
2017,08111,13.6
2017,08113,7.7
2017,08115,15.5
2017,08117,7.3
2017,08119,8.8
2017,08121,12.9
2017,08125,13
2017,09000,9.7
2017,09001,8.8
2017,09003,11
2017,09005,6.9
2017,09007,6.8
2017,09009,11
2017,09011,8.6
2017,09013,7.4
2017,09015,11.5
2017,10000,13
2017,10001,13.2
2017,10003,13.4
2017,10005,11.9
2017,11000,16.6
2017,11001,16.6
2017,12000,14.1
2017,12001,21.2
2017,12003,15.3
2017,12005,14.9
2017,12007,19.1
2017,12009,12.4
2017,12011,13.1
2017,12013,21.1
2017,12015,10.8
2017,12017,14.4
2017,12019,9.9
2017,12021,11.7
2017,12023,16.5
2017,12027,26.1
2017,12029,24.4
2017,12031,15.1
2017,12033,16.4
2017,12035,12
2017,12037,21.3
2017,12039,23.1
2017,12041,16.1
2017,12043,18.9
2017,12045,21.6
2017,12047,24
2017,12049,23.3
2017,12051,23.9
2017,12053,14
2017,12055,19.8
2017,12057,15.5
2017,12059,21.2
2017,12061,10.6
2017,12063,18
2017,12065,17.7
2017,12067,22.7
2017,12069,12.6
2017,12071,11.8
2017,12073,18
2017,12075,20.8
2017,12077,23
2017,12079,28.3
2017,12081,10.8
2017,12083,16.2
2017,12085,10.9
2017,12086,16.7
2017,12087,11.8
2017,12089,9.1
2017,12091,10.9
2017,12093,21.8
2017,12095,15.3
2017,12097,14
2017,12099,11.8
2017,12101,13
2017,12103,12.2
2017,12105,16.1
2017,12107,26.3
2017,12109,8.3
2017,12111,12.8
2017,12113,10.2
2017,12115,9.2
2017,12117,11.2
2017,12119,9.1
2017,12121,20.3
2017,12123,23.8
