year,fips,poverty_rate
1996,00000,13.7
1996,01000,16.7
1996,02000,10.6
1996,04000,16.3
1996,05000,17.6
1996,06000,16.7
1996,08000,10.5
1996,09000,9
1996,10000,9.8
1996,11000,21.9
1996,12000,14.2
1996,13000,15.3
1996,15000,11.7
1996,16000,11.9
1996,17000,12
1996,18000,9.3
1996,19000,9.5
1996,20000,10.8
1996,21000,17.5
1996,22000,20.7
1996,23000,12
1996,24000,9.7
1996,25000,9.8
1996,26000,12.2
1996,27000,8.8
1996,28000,20.8
1996,29000,12.6
1996,30000,15.1
1996,31000,9.4
1996,32000,9.6
1996,33000,6.3
1996,34000,9
1996,35000,20.6
1996,36000,16.3
1996,37000,12.8
1996,38000,11.5
1996,39000,11.7
1996,40000,17.1
1996,41000,12.3
1996,42000,11.5
1996,44000,11.8
1996,45000,15.2
1996,46000,13
1996,47000,14.8
1996,48000,17.5
1996,49000,9.4
1996,50000,11
1996,51000,11.5
1996,53000,11.5
1996,54000,19.9
1996,55000,8.7
1996,56000,11.1
