year,fips,poverty_rate
1998,00000,12.7
1998,01000,15.7
1998,01001,11.3
1998,01003,11
1998,01005,22.7
1998,01007,16.9
1998,01009,12.9
1998,01011,28
1998,01013,23.4
1998,01015,16.1
1998,01017,16.8
1998,01019,16.1
1998,01021,16
1998,01023,21.1
1998,01025,20.9
1998,01027,14.5
1998,01029,14.4
1998,01031,14.5
1998,01033,14
1998,01035,25.7
1998,01037,15.8
1998,01039,19.7
1998,01041,20.4
1998,01043,13.2
1998,01045,16.9
1998,01047,28
1998,01049,16.2
1998,01051,12.6
1998,01053,20.2
1998,01055,16.2
1998,01057,16.7
1998,01059,17
1998,01061,18.6
1998,01063,32.7
1998,01065,25.4
1998,01067,17.3
1998,01069,16.2
1998,01071,14.4
1998,01073,14.1
1998,01075,17.3
1998,01077,13.5
1998,01079,15.2
1998,01081,14.6
1998,01083,13
1998,01085,28.9
1998,01087,29.6
1998,01089,10.7
1998,01091,22.5
1998,01093,16
1998,01095,15.6
1998,01097,19
1998,01099,20.5
1998,01101,17
1998,01103,11.3
1998,01105,33.3
1998,01107,22.1
1998,01109,23.1
1998,01111,17.5
1998,01113,18
1998,01115,13.2
1998,01117,6.5
1998,01119,29.6
1998,01121,18.6
1998,01123,16.1
1998,01125,16.2
1998,01127,14.5
1998,01129,18.9
1998,01131,33.8
1998,01133,15.7
1998,02000,10.8
1998,02013,12.1
1998,02016,6.2
1998,02020,8.7
1998,02050,31
1998,02060,8
1998,02068,6.2
1998,02070,27.1
1998,02090,8.9
1998,02100,12.8
1998,02110,6.5
1998,02122,11.3
1998,02130,8.3
1998,02150,8.7
1998,02164,24.8
1998,02170,10.9
1998,02180,23.7
1998,02185,6.6
1998,02188,19.5
1998,02201,14
1998,02220,8.6
1998,02232,9.3
1998,02240,19.1
1998,02261,9.4
1998,02270,37.5
1998,02280,10.2
1998,02282,7.9
1998,02290,22.5
1998,04000,14.9
1998,04001,38.9
1998,04003,21.3
1998,04005,19.8
1998,04007,20.8
1998,04009,21.7
1998,04011,10.7
1998,04012,24.1
1998,04013,12
1998,04015,18
1998,04017,27.8
1998,04019,15.9
1998,04021,18.5
1998,04023,26.6
1998,04025,13.3
1998,04027,27.3
1998,05000,16.4
1998,05001,17.8
1998,05003,18.6
1998,05005,13.9
1998,05007,9.6
1998,05009,15.9
1998,05011,20.1
1998,05013,15.4
1998,05015,15.8
1998,05017,29.7
1998,05019,18.2
1998,05021,16.6
1998,05023,15.5
1998,05025,15.5
1998,05027,20.9
1998,05029,16.5
1998,05031,15.2
1998,05033,15.3
1998,05035,23.5
1998,05037,21
1998,05039,19.4
1998,05041,25.2
1998,05043,18.1
1998,05045,10.8
1998,05047,16.6
1998,05049,22.1
1998,05051,15.7
1998,05053,11.1
1998,05055,13.4
1998,05057,20.5
1998,05059,15.5
1998,05061,17.5
1998,05063,15.9
1998,05065,20
1998,05067,22.4
1998,05069,22.5
1998,05071,18.1
1998,05073,24.4
