"","covariates","treated","untreated","post_bal"
"1","exposure_","0.377914951989026","0.0439477557027226","0.359371119032789"
"2","svi_","0.666682716049383","0.494949183774835","0.678380634607505"
"3","tmean_","25.8631477149833","23.2571125381636","25.7773164364597"
"4","ppt_mean_","4.64164289334869","3.01478486606853","4.53686046669007"
"5","pct_hsg_","77.4420438957476","79.1921014226147","77.431127994746"
"6","pct_black_","0.302763977053241","0.0870959238758512","0.294903838474555"
"7","pct_hispanic_","0.0379001049296214","0.0699545513389003","0.040879227021623"
"8","pci_","25032.4581618656","24965.0564164827","24978.2909404756"
"9","pct_pov_","16.8465706447188","15.003941317145","16.7173943505808"
"10","mf_ratio_","0.984901961948452","0.991170076371669","0.985428892878514"
"11","pct_youth_","0.199943190822368","0.201506550078314","0.199707573094536"
"12","pct_elderly_","0.139257631732493","0.153277100534998","0.140406959980681"
"13","pop_density_","346.485364125733","247.968928372251","338.07872874245"
"14","pop_size_","86196.9903978052","93440.7714495953","91237.2140126842"
